host,accesses, distinct client count
pophuman.uab.cat, 6704, 2900, 
217.146.218.134, 33, 4, 
192.168.2.26, 75, 1, 
192.168.1.103, 2, 1, 
apollo.nematodegenomes.org, 340, 30, 
10.0.0.48, 656, 8, 
61.148.58.210:8080, 496, 117, 
biogenlink.digicon.com, 252, 51, 
csbl.bmb.uga.edu, 19108, 3191, 
133.26.84.46, 247, 4, 
www.rgenome.net, 1949, 551, 
genseq-h0.science.uva.nl, 592, 46, 
titin.ucd.ie, 478, 83, 
www.novodb.com:8080, 59, 7, 
137.215.73.215, 83, 3, 
www.avogenomics.com, 2, 1, 
www.homd.org, 1673, 622, 
www.genome.arizona.edu, 512, 322, 
www.flyrnai.org, 7609, 1348, 
jbrowse.hpcagrogenomics.wur.nl, 1091, 32, 
parasite.wormbase.org, 1878, 1026, 
gevd01.hosting.pasteur.fr, 193, 34, 
www.dictybase.org, 30, 21, 
192.168.56.101:8080, 5, 1, 
cnidarians.bu.edu, 84, 45, 
mirlab.sysu.edu.cn, 153, 60, 
10.0.0.29, 893, 4, 
jbrowse, 340, 17, 
www.solgenomics.net, 7877, 941, 
www.chogenome.org, 1899, 659, 
cho-epigenome.boku.ac.at, 1241, 118, 
bicresources.jcbose.ac.in, 1507, 304, 
furlonglab.embl.de, 1944, 504, 
rcug-galaxy1.mh-hannover.local, 800, 1, 
mib.amu.edu.pl, 83, 35, 
beagle.windows.ebi.ac.uk:8888, 557, 9, 
medicago.toulouse.inra.fr, 6227, 139, 
denovo.cnag.cat, 2815, 278, 
pseudomonas.com, 697, 375, 
genom.litbang.pertanian.go.id, 265, 100, 
jbrowse-qa.adpa3.local, 12, 2, 
bioinfolab.miamioh.edu, 831, 174, 
cap.ensemblgenomes.org, 1344, 185, 
localhost:8301, 6246, 279, 
141.244.134.147, 166, 35, 
wolferine.ucd.ie, 802, 96, 
210.46.80.146, 854, 279, 
www.gensas.org:8443, 1296, 159, 
www.burkholderia.com, 271, 138, 
132.66.114.84, 127, 7, 
141.244.40.114, 1244, 309, 
findfusions.org, 53, 3, 
sysbio.sysu.edu.cn, 442, 70, 
sunflowergenome.org, 1451, 460, 
docker:8080, 249, 1, 
10.42.0.7:8081, 2038, 2, 
epigenome.genetics.uga.edu, 7418, 1237, 
10.10.20.22, 127, 1, 
dictybase.org, 475, 227, 
localhost:8000, 6258, 77, 
www.pseudomonas.com, 1591, 899, 
wikigenomes.org, 464, 176, 
nut.ngs.boku.ac.at, 59, 3, 
dev.niagads.org, 1084, 38, 
localhost:8085, 269, 20, 
metazome.jgi.doe.gov, 3228, 436, 
myers.bioinformatics.nl, 136, 9, 
j3soft.ru:19980, 4, 1, 
hkudisc.synology.me, 29, 12, 
www.candidagenome.org, 2123, 1218, 
sc.reefgenomics.org, 7, 7, 
nereis.univ-lille1.fr:9997, 4, 1, 
vre.multiscalegenomics.eu, 847, 61, 
www.pristionchus.org, 1937, 176, 
genomicsal.es, 123, 29, 
129.194.89.207:8080, 104, 66, 
cassavabase.org, 88, 65, 
d-annotator.interomics.eu, 235, 22, 
222.200.187.174, 516, 12, 
hanamdg.sial.com:8080, 572, 3, 
sollab.cshl.edu, 1435, 275, 
jbrowse.igs.umaryland.edu, 96, 36, 
10.113.72.170, 510, 1, 
blade05.platomics.com, 138, 6, 
192.168.9.129, 1, 1, 
pathogenseq.lshtm.ac.uk, 1300, 424, 
jbrowse-test.sgn.cornell.edu, 707, 163, 
sweetpotato.plantbiology.msu.edu, 5447, 370, 
192.168.1.115, 2335, 15, 
lcs-yixiao.syr.edu, 11, 2, 
10.200.131.21, 61, 1, 
ijgvd.megabank.tohoku.ac.jp, 2647, 719, 
jbrowse.intranet.dow.com, 670, 46, 
openstack-192-168-101-219.genouest.org, 134, 5, 
efishgenomics.integrativebiology.msu.edu, 639, 105, 
10.0.0.253, 172, 5, 
tgwebdev.cam.uchc.edu, 301, 126, 
aspgd.broadinstitute.org, 621, 164, 
gbf.toulouse.inra.fr, 1197, 83, 
structurome.bb.iastate.edu, 1577, 130, 
www.icugi.org, 4117, 418, 
glass.phibred.com:8081, 11436, 14, 
172.16.2.203, 1, 1, 
bioinfo.bti.cornell.edu, 1514, 289, 
kitbase.ucdavis.edu, 1205, 416, 
10.93.132.25, 390, 5, 
180.208.58.19, 2379, 316, 
echinobase.org, 519, 89, 
dgdarcher504.chop.edu, 587, 3, 
localhost:8888, 2548, 104, 
www.bioinformatics.nl, 721, 188, 
www.alfalfatoolbox.org, 3151, 202, 
www.bio-bigdata.com, 1261, 247, 
ngs-path02.lumcnet.prod.intern:8888, 859, 1, 
pipelines.rgd.mcw.edu, 7403, 24, 
www.swissregulon.unibas.ch, 810, 464, 
10.157.216.34, 269, 6, 
10.157.217.77, 239, 4, 
thines-lab.senckenberg.de, 1020, 148, 
apollo.sgn.cornell.edu, 9773, 808, 
nobel.gedv.pasteur.fr, 2414, 23, 
128.192.99.108:8080, 544, 46, 
127.0.0.1, 2656, 193, 
www.serioladb.org, 96, 30, 
jbrowse.rijkzwaan.com, 1874, 7, 
genomes.stowers.org, 2149, 161, 
www.tomatogenome.net, 724, 229, 
atpbsmd.yokohama-cu.ac.jp, 41, 25, 
10.37.0.250, 935, 3, 
old-gep.wustl.edu, 1032, 64, 
grch37-cancer.dev.sanger.ac.uk, 43, 4, 
www.niagads.org, 5876, 665, 
dubcovskylab.ucdavis.edu, 4526, 552, 
birdbeta.isisph.com, 822, 1, 
tcap.pw.usda.gov, 197, 23, 
albiorix.bioenv.gu.se:8080, 1875, 316, 
jcdb.xtbg.ac.cn, 196, 65, 
bioweb1.es.dupont.com:1557, 313, 4, 
www.plabipd.de, 513, 194, 
maizeinflorescence.org, 245, 49, 
10.22.58.249, 467, 1, 
10.112.31.15, 914, 72, 
triticeaetoolbox.org, 1503, 389, 
localhost:8090, 4477, 100, 
langelabtools.wsu.edu, 121, 56, 
jbrowse.corp.zoetis.com:9080, 6, 1, 
www.citrusgenomedb.org, 1853, 523, 
apollo.phibred.com:8080, 414, 14, 
bioinfo-mac-8, 225, 1, 
10.0.0.100, 356, 3, 
bang, 165, 11, 
rgv.genouest.org, 328, 113, 
bovinegenome.org, 478, 195, 
matsui-lab.riken.jp, 7572, 330, 
r1masterl01, 10, 1, 
gwas-browser.nygenome.org, 105, 78, 
icebox.lbl.gov, 95, 12, 
150.164.24.16:8888, 173, 16, 
dnamethylome.org, 163, 78, 
aiptasia.reefgenomics.org, 449, 226, 
analysis.archerdx.com, 6370, 451, 
pegasus.cles.ex.ac.uk, 19, 11, 
assay.archerdx.com, 1431, 196, 
arete, 790, 31, 
cloud5.galaxyproject.org, 407, 49, 
bioserv-test, 423, 6, 
jbrowse.bios.co:1561, 43, 34, 
www.naked-mole-rat.org, 558, 174, 
taurus.mskcc.org, 4344, 6, 
194.199.242.6, 254, 11, 
staphbrowser.org, 108, 14, 
www.wikigenomes.org, 147, 66, 
www.facebase.org, 1444, 245, 
weatherby.genetics.utah.edu, 1368, 487, 
appdev.kbase.us, 11, 7, 
fly.med.harvard.edu, 199, 12, 
dynamiterice.org, 411, 79, 
phytozome-dev.jgi.doe.gov, 1327, 65, 
10.84.2.212, 20, 2, 
192.168.1.76, 8346, 25, 
cys.bios.niu.edu, 2012, 250, 
immunobase.org, 2196, 392, 
128.233.222.29, 651, 24, 
lulab.life.tsinghua.edu.cn, 1516, 782, 
n4-189-16.icb.ufmg.br:8888, 42, 9, 
edge-dev-master.lanl.gov, 72, 2, 
localhost:8081, 358, 12, 
verdant.iplantcollaborative.org, 416, 98, 
target.sbg.qb.fcen.uba.ar, 2543, 346, 
efam.nzcorp.net, 1793, 17, 
lis-stage.usda.iastate.edu, 383, 6, 
192.168.79.128, 29, 1, 
edge-prod.lanl.gov, 479, 2, 
asm-microsvcs01.l.synthgeno.global:8989, 125, 4, 
www.bowhead-whale.org, 902, 233, 
jbrowse.cgb.indiana.edu, 1738, 246, 
mines.legumeinfo.org, 2134, 220, 
botryllus.stanford.edu, 417, 85, 
localhost:9000, 14989, 49, 
thehive.otago.ac.nz:8080, 459, 50, 
aestivum.accwi.org.au:8080, 227, 61, 
asrp.danforthcenter.org, 440, 203, 
ci.kbase.us, 98, 7, 
wheat.pw.usda.gov, 3478, 892, 
cas-ie2-apollo.uoregon.edu, 128, 9, 
dirac.basc.science.depi.vic.gov.au, 110, 9, 
biodb.swu.edu.cn, 91, 12, 
jbrowse-dev2.acpfg.local, 735, 5, 
lymedisease.med.ucf.edu, 176, 87, 
ava4.usav1svgend26.ambrygenetics.local, 10, 1, 
rpbuvgalaxyd.ple.roche.com:8080, 23, 1, 
jbrowse.insilicogen.com, 772, 32, 
www.sgn.cornell.edu, 4456, 398, 
ecompressa.nig.ac.jp, 3, 1, 
www.genomevolution.org, 94, 57, 
als2077-unix1.science.oregonstate.edu, 495, 7, 
192.168.118.225:8080, 18, 2, 
sgn.cornell.edu, 660, 116, 
modem.hzau.edu.cn, 202, 75, 
findfusions.com, 256, 32, 
funbiotox.fafu.edu.cn, 73, 30, 
bigd.big.ac.cn, 3115, 187, 
210.72.156.24, 634, 142, 
www.cazy.org, 1341, 249, 
esharkgenome.imcb.a-star.edu.sg:8000, 1168, 10, 
163.26.2.35, 88, 51, 
jbrowse-dev, 22, 1, 
jbrowsevar.renlab.org, 760, 316, 
imethyl.iwate-megabank.org, 2448, 597, 
jbrowse.plantdhs.org, 48, 18, 
10.254.253.79, 44, 9, 
marmoset.dna.bio.keio.ac.jp, 156, 13, 
ds.genome.med.kyoto-u.ac.jp, 168, 4, 
apollo.ppglab.org, 208, 29, 
plantgenomics.snu.ac.kr, 1058, 283, 
10.71.115.12, 7, 3, 
192.168.52.128, 839, 2, 
shigen.nig.ac.jp, 377, 106, 
192.168.10.222, 375, 5, 
blade01.platomics.com, 13, 3, 
52.42.178.206, 70, 14, 
biocc.hrbmu.edu.cn:82, 623, 213, 
www.solgenomics.org, 258, 63, 
158.109.126.93, 579, 45, 
10.68.225.43, 20, 2, 
www.cgr.liv.ac.uk, 35, 17, 
134.245.63.238:8080, 878, 33, 
bdg.hfut.edu.cn, 795, 140, 
kumamushi.org, 97, 74, 
donald, 756, 49, 
peanutbase.org, 5930, 656, 
stab.st-andrews.ac.uk, 61, 14, 
133.26.84.168, 90, 2, 
pichiagenome-ext.boku.ac.at, 587, 58, 
141.20.62.214, 65, 9, 
genolab.inp-toulouse.fr, 84, 6, 
10.0.0.20, 35, 1, 
cherry.kazusa.or.jp, 354, 123, 
burkholderia.com, 96, 58, 
ngs.molgenrug.nl, 93, 27, 
studentpc2:8080, 8842, 6, 
crispr.technology, 1137, 242, 
10.254.253.2, 1, 1, 
203.230.60.182, 119, 9, 
abims.sb-roscoff.fr, 682, 11, 
apollo.ips2.u-psud.fr:8080, 217, 7, 
beta.plantdhs.org, 7, 2, 
138.37.58.86:8080, 32, 5, 
regadb.bahia.fiocruz.br, 207, 75, 
i.animalgenome.org, 721, 343, 
192.168.101.128:8080, 1, 1, 
localhost:8889, 109, 8, 
www.tetrans.ethz.ch, 142, 79, 
browser.porteco.org, 70, 27, 
pegasus-bioinfo.angers-nantes.inra.fr, 1642, 61, 
fungalgenomics.science.uu.nl:8080, 1491, 156, 
hinton-jbrowse.s3-website-eu-west-1.amazonaws.com, 433, 103, 
www.findfusions.org, 49, 5, 
mmodev2:8085, 119, 1, 
queitsch-jbrowse.gs.washington.edu, 472, 140, 
10.176.253.77, 71, 3, 
acedb3:8080, 6, 1, 
genome.igib.res.in, 666, 189, 
130.92.155.151:8085, 4, 3, 
hoekstrapero.rc.fas.harvard.edu, 230, 17, 
nb7-cosmic.sandbox.sanger.ac.uk, 160, 9, 
www.bovinegenome.org, 1038, 370, 
peach.igh.cnrs.fr, 1765, 20, 
compbio.tongji.edu.cn, 297, 13, 
152.7.99.249, 47, 12, 
mmodev2:8080, 129, 1, 
alfalfatoolbox.org, 1, 1, 
genome-browser.indiana.edu, 4, 4, 
heliodor.nki.nl, 261, 1, 
vert.fri.uni-lj.si, 67, 11, 
www.thines-lab.senckenberg.de, 131, 48, 
localhost:8098, 183, 14, 
chogenome.org, 310, 107, 
bioinfo.florimond-desprez.fr, 247, 4, 
depo.msu.ru:8088, 28, 1, 
134.130.28.14, 1209, 103, 
lis-dev.usda.iastate.edu, 28, 5, 
jbrowse.bioinformatics.danforthcenter.org, 132, 33, 
chlambase.org, 2027, 140, 
marmorkrebs.dkfz.de, 538, 79, 
jbrowse-hopbase.cgrb.oregonstate.edu, 1013, 216, 
jbrowse.alliancegenome.org, 3728, 1441, 
test.rgd.mcw.edu, 5, 3, 
192.168.20.71, 13, 1, 
chlorella.unl.edu, 94, 26, 
zed.tacc.utexas.edu, 19, 10, 
blue.usbod.astrazeneca.net, 3, 2, 
10.114.143.20, 820, 221, 
human3dproteome.com, 1875, 28, 
lfemjds.solgenomics.net, 4, 3, 
bang.enz.local, 230, 4, 
genomics.dementiasplatform.uk, 3, 2, 
192.168.56.128, 12, 1, 
epigen-zhong.discovery.wisc.edu, 377, 29, 
dove.ceh.uvic.ca, 245, 28, 
jbrowse.gaul.genzentrum.lmu.de, 9, 1, 
65.51.209.70, 3, 1, 
lvs-archer01, 27, 2, 
localhost:5800, 2656, 4, 
pennycress.umn.edu, 191, 108, 
134.121.88.135:8080, 85, 2, 
brcwebportal.cos.ncsu.edu, 87, 16, 
icuginew.feilab.net, 131, 12, 
code4dna.com, 848, 14, 
ftflowsvr01:8080, 522, 7, 
crdd.osdd.net, 138, 74, 
129.130.90.211, 26, 4, 
adenine.bradley.edu, 14846, 1346, 
localhost:55555, 118, 2, 
10.10.89.10, 18, 7, 
sc1galaxyd.eth.rsshpc1.sc1.roche.com:8080, 18, 1, 
216.47.151.240:8085, 1105, 10, 
cazy212.afmb.local, 759, 2, 
genomebrowser.uams.edu, 521, 95, 
zhoulab5.rccc.ou.edu, 126, 72, 
192.168.1.220:3023, 1, 1, 
morus.swu.edu.cn, 28, 14, 
rest.rgd.mcw.edu, 86, 53, 
61.130.10.146:3023, 45, 9, 
202.194.139.10, 43, 9, 
ncig-genomebrowser.anu.edu.au, 178, 136, 
192.168.224.24, 58, 5, 
bioinfo.njau.edu.cn, 103, 20, 
192.168.52.169, 54, 5, 
10.145.28.203, 39, 4, 
192.168.1.100, 17, 1, 
bcg.abrc.sinica.edu.tw:8080, 109, 3, 
150.26.108.148, 18, 2, 
bcg.abrc.sinica.edu.tw, 14, 1, 
arusha.nhgri.nih.gov, 870, 91, 
trident.stjude.org, 75, 25, 
192.168.34.39, 823, 14, 
exploreageno.me, 296, 3, 
wheat.it.csiro.au:8080, 62, 20, 
10.88.2.11, 18, 2, 
10.96.8.160, 5, 1, 
www.spinachbase.org, 2128, 279, 
urgi.versailles.inra.fr, 371, 69, 
120.24.1.57, 26, 2, 
cgr.liv.ac.uk, 26, 9, 
10.74.186.113, 126, 4, 
insilico.iari.res.in, 18, 13, 
10.4.19.128, 164, 3, 
210.34.81.56, 2184, 78, 
animal.nwsuaf.edu.cn, 28, 7, 
localhost:8383, 100, 3, 
biocluster.her.hcmr.gr, 429, 46, 
158.109.215.162, 165, 18, 
browse2.big.ac.cn, 260, 89, 
10.83.75.42, 184, 5, 
genome.monarchinitiative.org, 70, 32, 
www.lmb.cnptia.embrapa.br, 102, 9, 
antgenomes.org, 292, 33, 
petunia-webapollo.sgn.cornell.edu, 335, 63, 
jbrowse.solynta.com, 734, 23, 
10.84.2.11, 140, 6, 
analysis.preview.archerdx.com, 1096, 51, 
genexpdb.okstate.edu, 468, 55, 
plantsmallrnagenes.science.psu.edu, 1113, 67, 
genome.setac.org, 612, 242, 
localhost:8070, 53, 4, 
10.10.41.226, 18, 1, 
192.168.56.18, 335, 30, 
10.200.1.241, 839, 5, 
lipm-browsers.toulouse.inra.fr, 2793, 256, 
www.ashgenome.org, 55, 26, 
ssl.biomax.de, 88, 6, 
hardwoodgenomics.org, 306, 95, 
cgm.sjtu.edu.cn, 4123, 490, 
nod6:8080, 118, 2, 
rd-jbrowse.app.pmi, 72, 4, 
10.253.21.69, 219, 1, 
ricebase.org, 669, 239, 
10.200.150.118, 71, 47, 
dev.wormbase.org:9020, 1188, 126, 
aquarius.mskcc.org, 85, 4, 
bacster.phibred.com, 69, 4, 
smic.reefgenomics.org, 144, 87, 
faculty.cs.tamu.edu, 16, 7, 
thaney-curation.igs.umaryland.edu, 50, 3, 
132.236.156.159, 14, 5, 
rio.nzcorp.net, 545, 11, 
bioinfo.ihb.ac.cn, 575, 117, 
childslab.plantbiology.msu.edu, 531, 100, 
10.199.99.101, 9, 1, 
amor.cms.hu-berlin.de, 11, 9, 
headnode, 13, 2, 
amphimedon.qcloud.qcif.edu.au, 178, 78, 
aklppr31.pfr.co.nz.:8080, 1738, 2, 
quiver.archerdx.com, 168, 31, 
vw-genomebrowser.central.yale.internal, 93, 44, 
neuroseq.janelia.org, 197, 94, 
dev.gensas.org:8453, 350, 7, 
proteinq.com.ar, 5, 4, 
jbrowse.brachypodium.org, 234, 79, 
genome.enome.io, 44, 16, 
ibs-bosiljkat-ux1:8787, 8, 1, 
solgenomics.org, 192, 19, 
bcg.abrc.sinica.edu.tw:443, 504, 12, 
localhost:8384, 1, 1, 
www.rnanet.org, 682, 230, 
202.127.22.67, 1036, 161, 
115.146.89.73, 373, 44, 
www.omicsbean.com:8088, 1, 1, 
bf2i300.insa-lyon.fr:8080, 398, 36, 
rs30012539.reg.skane.se, 33, 1, 
bias4.nibb.ac.jp:8113, 220, 29, 
webapollo.bioinformatics.csiro.au, 912, 142, 
122.205.95.122, 13, 8, 
neutra.bzh.uni-heidelberg.de, 34, 17, 
aura.science.unitn.it, 8285, 506, 
www.ibinom.com, 31, 19, 
hpoly.nematodegenomes.org, 160, 17, 
147.100.164.47, 294, 88, 
192.168.138.94, 11, 1, 
combattb.sanbi.ac.za:9090, 8, 3, 
biored.ddns.net, 2298, 88, 
webapollo.science.uu.nl:8080, 328, 53, 
www.jcvi.org, 242, 48, 
geco.iplantcollaborative.org, 79, 3, 
sacibase.ibb.unesp.br, 733, 147, 
200.145.102.86:7000, 30, 9, 
115.145.203.19:8080, 56, 3, 
arcprds.enhnet.org, 53, 1, 
galaxy.cineca.it, 626, 45, 
www.titinviewer.net, 39, 5, 
150.254.122.197, 58, 7, 
202.120.41.217, 234, 38, 
192.168.12.24:8000, 12, 1, 
34.227.0.63, 1, 1, 
bugbears.ncbs.res.in, 13, 8, 
crrd.mcw.edu, 79, 37, 
dxarch04.ignyta.local, 909, 2, 
beans.cars.desu.edu, 16, 6, 
wu98.lab.databiology.io, 1, 1, 
dash, 2043, 35, 
arkham.exp.dc.uba.ar, 188, 60, 
tesla.pcbi.upenn.edu, 569, 54, 
labby, 83, 1, 
public.dobzhanskycenter.ru, 8, 8, 
dev.citrusgenomedb.org, 16, 2, 
sgn-test.sgn.cornell.edu, 124, 35, 
202.194.131.198, 144, 23, 
data.koalagenome.org, 106, 16, 
43.240.97.12, 47, 20, 
naked-mole-rat.org, 190, 88, 
ipomoea-genome.org, 442, 98, 
52.30.124.191, 22, 8, 
geno.sytes.net, 1, 1, 
127.0.0.1:8080, 585, 36, 
gif-server.biotech.iastate.edu, 88, 8, 
agripestbase.org, 58, 28, 
songyanglab.sysu.edu.cn, 475, 14, 
59.79.248.25, 377, 70, 
beta.pseudomonas.com, 60, 47, 
www.legumeinfo.org, 36, 7, 
ts41, 89, 2, 
133.48.62.140, 391, 50, 
koke.asrc.kanazawa-u.ac.jp, 135, 22, 
www.termitegenome.org:8080, 131, 71, 
192.168.12.4, 5, 1, 
192.168.0.67:8085, 10, 2, 
yzlab.lhgene.cn:8082, 109, 21, 
172.20.20.241, 981, 6, 
hhvarcherp01.tmh.tmhs, 86, 1, 
nabic.rda.go.kr, 570, 35, 
marinegenome.kr, 22, 8, 
13.113.77.198:8000, 262, 2, 
101.200.207.165:8080, 3, 2, 
v22.popgenie.org, 165, 63, 
marxianus.labkm.net, 1, 1, 
db.cbi.pku.edu.cn, 689, 45, 
candidagenome.org, 60, 41, 
192.168.50.14:1338, 282, 32, 
genomes.chemie.uni-greifswald.de:8080, 6, 5, 
rapsodyn-is.genouest.org, 88, 12, 
jbrowse.deenabio.com, 36, 10, 
daudin.icmb.utexas.edu, 20, 15, 
corallimorpharia.reefgenomics.org, 27, 15, 
srv00.recas.ba.infn.it, 568, 208, 
staph.unavarra.es:10080, 77, 9, 
bioinfosecond.vet.unimelb.edu.au, 85, 25, 
ibi.zju.edu.cn, 2132, 145, 
ssl.biomax.de:8810, 306, 30, 
jbrowse.clingon-bio.com, 2, 1, 
129.206.53.229, 2, 2, 
139.159.213.103:8888, 1, 1, 
archer, 264, 1, 
steinmetzlab.embl.de, 13, 3, 
219.245.195.47, 43, 11, 
fernbase.org, 296, 75, 
fernbase-webapollo.sgn.cornell.edu, 38, 6, 
129.130.89.51, 732, 18, 
plantomics.mind.meiji.ac.jp, 2347, 194, 
jbrowse.ag.epa.gov, 3, 1, 
192.168.12.24, 26, 1, 
146.118.64.11, 318, 101, 
proteogenomics.zhang-lab.org, 30, 19, 
seabird.igs.umaryland.edu, 1, 1, 
10.1.108.144, 42, 5, 
wu6208.test.databiology.io, 1, 1, 
mmo.sb-roscoff.fr, 260, 19, 
www.xenmine.org, 38, 30, 
gbr3, 792, 4, 
nemours.analysis.archerdx.com, 45, 7, 
ngspipelines-sigenae.toulouse.inra.fr:9065, 2, 2, 
128.146.132.84, 7, 1, 
www.minervarna.com, 14, 2, 
mandolin.caltech.edu, 156, 17, 
stripedbass.animalgenome.org, 91, 39, 
10.10.19.184, 80, 1, 
www.artichokegenome.unito.it, 141, 52, 
52.27.1.17, 17, 1, 
genome.lygos.com, 412, 6, 
133.48.62.144:8000, 67, 5, 
ccr.dna.uvic.ca, 1, 1, 
localhost:63342, 647, 17, 
andrews-mbp-3.atran.mssm.edu:55555, 2, 1, 
sjcbioweb01.driscolls.com, 13, 1, 
ilya.unm.edu, 12, 4, 
lims-hpc-m.latrobe.edu.au:36002, 9, 1, 
jbrowse.latrobe.edu.au, 345, 157, 
133.48.58.6:8080, 339, 7, 
118.159.189.228, 75, 2, 
tools.genxpro.net, 871, 285, 
apple.nwafu.edu.cn, 8, 3, 
192.168.56.1:8081, 6, 1, 
abrpi.genome.edu.au, 8, 8, 
wu215.lab.databiology.io, 1, 1, 
ftp.solgenomics.net, 48, 7, 
10.4.1.101, 270, 43, 
