host,mean,count
192.168.1.101,25.9608,255
www.flyrnai.org,25.9457,7611
legumeinfo.org,25.7704,5047
59.79.232.11,25.6798,1068
bindu.plasmodb.org,25.5240,853
amborella.uga.edu,25.5109,137
ihpe-249.univ-perp.fr,25.4080,125
glass.phibred.com:8081,25.3046,11436
10.0.0.15,25.1304,299
sas-us-leb-seq,25.0598,368
128.32.218.181:7070,25.0238,20918
dictybase.org,24.8547,475
denovo.cnag.cat,24.8504,2815
apollo.bi.up.ac.za:8080,24.8282,454
60.205.203.178:8082,24.5806,360
de.cyverse.org,24.4588,194
irhs-001,24.2724,323
10.68.99.186,24.1037,376
nfingb.leibniz-fli.de,24.0000,1017
134.192.131.251:8080,23.8239,142
216.47.151.96:8085,23.7310,2918
www.bio-bigdata.net,23.5714,273
bipaa.genouest.org,23.3589,17458
apollo.ips2.u-psud.fr:8080,23.3364,217
137.205.123.127,23.0627,1180
blade05.platomics.com,23.0217,138
192.168.140.186,22.9604,227
sunflowergenome.org,22.9400,1451
plantpolya.org,22.6851,181
194.199.242.6,22.4646,254
192.168.118.25,22.3223,422
lymedisease.med.ucf.edu,22.0000,176
www.collembolomics.nl,21.9500,380
localhost:8090,21.8955,4477
bicresources.jcbose.ac.in,21.8719,1507
hymenopteragenome.org:8080,21.8058,309
pegasus-bioinfo.angers-nantes.inra.fr,21.6839,1642
localhost:8098,21.6557,183
chewbacca.bi.up.ac.za:8080,21.4894,282
nereis.univ-lille1.fr:7564,21.4470,387
xebec.dbs.umt.edu,21.3538,130
brie.cshl.edu:8082,21.2564,117
203.230.60.182,21.0420,119
bioinf.eva.mpg.de,21.0000,4276
134.192.156.202:8080,21.0000,391
cr28603.uzbrussel.be:83,20.9643,532
structurome.bb.iastate.edu,20.5389,1579
iris.ensembl.org,20.5379,132
teabrowser.shengxin.ren,20.5133,863
beta.sgc.loc:3000,20.4477,516
tokyogw.bits.cc,20.4020,102
albiorix.bioenv.gu.se:8080,20.3659,1875
cr28603.uzbrussel.be,20.1232,5813
dev.jbrowse.southgreen.fr,20.0328,3386
www.biw.kuleuven.be,20.0000,129
vbrighttools01x.uzbrussel.be,19.9949,3691
mockaitis.ncgas.org,19.9854,756
localhost:11001,19.9522,502
www185.lamp.le.ac.uk,19.7568,222
test.cottongen.org,19.7313,227
lis-stage.usda.iastate.edu,19.7154,383
cgr-referencegenome.boku.ac.at,19.6687,652
efishgenomics.integrativebiology.msu.edu,19.6294,653
aestivum.accwi.org.au:8080,19.6245,229
dev-y.smestorage.com,19.4286,357
www.immunobase.org,19.0000,13068
immunobase.org,19.0000,2196
dna-marker.biocenter.helsinki.fi,19.0000,283
beta.immunobase.org,19.0000,166
192.168.12.160,19.0000,124
t1dbase.org,19.0000,330
www.t1dbase.org,19.0000,4591
prime-seq.ohsu.edu,18.9504,544
ann-nblrrome.tuebingen.mpg.de,18.8913,414
bhofmei.github.io,18.7523,109
192.168.16.248,18.6789,190
133.48.62.140,18.6573,391
134.130.28.14,18.6385,1209
cas-ie2-apollo.uoregon.edu,18.5938,128
141.244.40.114,18.5908,1244
www.hardwoodgenomics.org,18.3663,344
beagle.windows.ebi.ac.uk:8888,18.3519,557
jbrowse.molgenrug.nl,18.3379,2965
apollo.wormbase.org,18.3067,21229
betula.biosci.helsinki.fi:8080,18.2417,331
peanutbase.org,18.1722,5928
tubic.tju.edu.cn,18.1456,158
aspgd.broadinstitute.org,18.0322,621
86.50.169.181:8080,18.0000,351
192.168.56.1:8080,17.9477,172
cloud5.galaxyproject.org:8080,17.9319,367
54.175.12.55,17.8895,380
143.169.30.178,17.7995,399
wanglab.info,17.7986,144
134.192.156.201:8080,17.7794,408
159.226.89.116:8080,17.7736,106
147.99.34.11,17.7711,166
crispr.technology,17.7311,1138
158.109.126.93:7000,17.7233,206
115.146.85.22:8080,17.7125,574
www.melonomics.net,17.6683,2246
peanutbase-stage.usda.iastate.edu,17.4784,487
genomics.usal.es,17.4286,133
128.233.222.29,17.3880,652
nod6:8080,17.1356,118
www.niagads.org,17.0581,5888
marmoset.dna.bio.keio.ac.jp,17.0000,156
nicotiana-webapollo.sgn.cornell.edu,17.0000,651
jbrowse.smu.edu.cn,16.9556,135
www.peanutbase.org,16.9475,3484
bioinfo.imtech.res.in,16.8828,145
cloud5.galaxyproject.org,16.7881,420
fungalgenomics.science.uu.nl:8080,16.7056,1491
jbrowse.plant-biotech.biologie.privat,16.6222,585
jbrowse-hopbase.cgrb.oregonstate.edu,16.6219,1013
134.245.63.238:8080,16.3109,878
10.199.105.113,16.2766,423
rayfin.uoregon.edu,16.2134,239
metazome.jgi.doe.gov,16.1363,3228
jbrowse.cebitec.uni-bielefeld.de,16.0651,307
35.190.145.218,16.0194,155
dnamethylome.org,15.9571,163
beagle.windows.ebi.ac.uk:8889,15.8494,166
edge-prod.lanl.gov,15.8330,479
132.248.220.37,15.7954,259
apollo.phibred.com:8080,15.7874,414
galaxy.dna.affrc.go.jp,15.7247,247
brachypan.jgi.doe.gov,15.6085,1438
192.168.72.38,15.5714,175
115.145.138.237:8082,15.5301,266
jbrowse.bioinfotech.org,15.5215,303
brachypan-dev.jgi.doe.gov,15.4286,112
childslab.plantbiology.msu.edu,15.3635,531
parasite.wormbase.org,15.2380,1878
www.fernbase.org,15.2079,303
www.genomics.verinomics.com,15.1903,1256
52.83.249.161:8081,15.1761,335
hardwoodgenomics.org,15.1340,306
jbrowse-dev.jcvi.org,15.0612,327
igenomed4.stanford.edu,15.0143,210
biocc.hrbmu.edu.cn:82,15.0000,623
combattb.sanbi.ac.za,15.0000,1205
bbric-pipelines.toulouse.inra.fr,14.9178,6566
cancer-beta.sanger.ac.uk,14.9030,1237
jt6-cosmic.sandbox.sanger.ac.uk,14.8830,188
cosmic.dev.sanger.ac.uk,14.8730,433
cancer.sanger.ac.uk,14.8460,656960
128.192.99.108:8080,14.8051,544
www.bioinformatics.nl,14.7972,725
tnr2911.tnrad.local:8000,14.7912,431
ep.dbcls.jp,14.7725,189
10.49.95.73,14.7517,447
tools.genxpro.net,14.7164,871
192.168.211.77,14.6286,175
localhost:8888,14.5703,2548
ubuntulinux.westus.cloudapp.azure.com,14.5521,163
nb7-cosmic.sandbox.sanger.ac.uk,14.5500,160
tigriopus.synology.me:8080,14.5010,509
jbrowse.abolis.loc,14.4902,204
www.facebase.org,14.4155,1444
datacenter.oceanridgebio.com,14.3209,215
140.109.32.56,14.3050,200
tagrc.org,14.2941,153
www.medcomp.medicina.unipd.it,14.2075,106
fuchshai.geomar.de,14.1905,105
fernbase.org,14.1757,296
veeninglab.com,14.0923,195
csr.cuhk.edu.hk,14.0702,242
dmb-cosmic.sandbox.sanger.ac.uk,14.0588,102
193.219.91.103:12497,14.0575,174
www.termitegenome.org:8080,14.0000,131
www.gewusci.com,14.0000,190
srv00.recas.ba.infn.it,13.9877,567
cancer-legacy.sanger.ac.uk,13.9668,211
www.fishbrowser.org,13.8247,1078
bmap-dev.jgi.doe.gov,13.7973,301
bcrf-chlorella.unl.edu,13.7500,148
emboss.abc.hu,13.6429,196
jbrowse.abolis.loc:8888,13.6136,132
grch37-cancer.sanger.ac.uk,13.6120,598
tigriopus.synology.me:8085,13.5793,164
genedb-apollo.dev.sanger.ac.uk,13.5342,468
127.0.1.1:7777,13.4779,136
gpsdev.pdx.aws,13.3091,744
fly.med.harvard.edu,13.2513,199
160.36.205.61:8095,13.1697,383
133.39.75.173,13.1242,161
grch37-cancer-legacy.sanger.ac.uk,13.1197,1462
morlscrnaseq.org,13.0273,330
192.168.56.102,13.0222,270
www.lmb.cnptia.embrapa.br,12.8235,102
asrp.danforthcenter.org,12.8041,439
ngsdemo.persistent.co.in,12.7903,1540
mmo.sb-roscoff.fr,12.7846,260
jserizay.site,12.6779,503
192.168.1.5,12.6726,113
210.27.97.107:7777,12.6339,814
172.17.64.102:3232,12.5246,122
pieriandxproddevqa.pdx.aws,12.4651,802
crdd.osdd.net,12.4275,138
oboe.caltech.edu,12.3415,123
jbrowse.insilicogen.com,12.3299,767
pieriandxtest.pieriandx.com,12.3299,773
0.0.0.0:8080,12.2537,272
blast.ibbr.umd.edu,12.2426,4468
39.106.204.218,12.1516,838
ibeetle-base.uni-goettingen.de,12.1173,162
vs443.vll.se,12.0662,136
www.pseudomonas.com,12.0056,1593
bdg.hfut.edu.cn,12.0000,795
chlamy-organelles.ibpc.fr,12.0000,118
biol-schen03d.sols.uq.edu.au:8080,12.0000,102
ipomoea-genome.org,11.9842,442
10.10.181.247,11.8673,113
pseudomonas.com,11.8260,701
wheat.pw.usda.gov,11.7713,3472
dynamiterice.org,11.7616,411
192.168.1.229:8081,11.7395,261
aegilops.wheat.ucdavis.edu,11.7322,1251
mtb.dobzhanskycenter.org,11.6783,861
dev.lungmap.net,11.6014,148
lbb.cnpae.embrapa.br,11.5646,333
localhost:63342,11.4884,647
192.168.56.18:8080,11.3961,934
apollo.ppglab.org,11.3857,210
133.6.22.12,11.3797,374
210.34.81.56,11.3379,2184
localhost:8085,11.3309,269
www.rosaceae.org,11.2614,7149
158.109.126.93,11.2003,579
192.168.1.11:8085,11.1865,370
www.plabipd.de,11.1442,513
crispor.ccm.sickkids.ca,11.1336,1437
urgi148:8080,11.0313,128
www.gensas.org:8443,11.0276,1302
www.bowhead-whale.org,11.0000,902
bowhead-whale.org,11.0000,161
urgi.versailles.inra.fr,10.9704,371
133.48.58.6:8080,10.8643,339
www.echinobase.org,10.8215,23823
rtlvarca01.labcorp.com,10.7743,864
210.72.156.24,10.5773,634
data.sciapps.org,10.5644,202
10.2.40.78,10.5322,171
www.burkholderia.com,10.4908,271
knowpulse.usask.ca,10.4626,3329
bnlvarcaqa.labcorp.com,10.4024,164
gmod.github.io,10.3371,267
bioinfor.scu.edu.cn,10.3109,119
jbrowse.jcvi.org,10.2686,283
cmb.bnu.edu.cn:8088,10.2569,833
srivastavalab.rc.fas.harvard.edu,10.2561,285
localhost:8000,10.2329,6291
ghost.zool.kyoto-u.ac.jp,10.2171,152
archer.biopticka.local,10.1910,644
192.168.20.85,10.1772,254
analysis.archerdx.com,10.1761,6373
10.49.121.5,10.1664,745
140.109.48.70:9517,10.0556,810
medicinalplantgenomics.msu.edu,10.0463,2008
192.168.2.199,10.0149,336
zhoulab5.rccc.ou.edu,10.0000,126
172.20.20.228,10.0000,353
172.20.20.244,10.0000,178
togovar.biosciencedbc.jp,10.0000,1071
10.151.29.120,9.9929,141
192.168.1.76,9.9667,8351
dev.niagads.org,9.9586,1087
10.0.2.15,9.8654,364
ebbextern.uni-muenster.de:8443,9.8519,189
192.168.1.20,9.8497,366
thymine01,9.8155,206
10.0.0.100,9.7669,356
localhost:9002,9.7196,107
d15hswjloo3c4x.cloudfront.net,9.7133,4556
gds-reports-web.science-at-scale.io,9.6831,628
geneious-test:8888,9.6330,109
diw3fijgkc9gx.cloudfront.net,9.5843,3505
134.192.156.203:8080,9.5796,157
162.243.149.53:8887,9.4491,1886
shigen.nig.ac.jp,9.4074,378
ijgvd.megabank.tohoku.ac.jp,9.4060,2648
mycobrowser.epfl.ch,9.4006,192216
192.168.5.82,9.2361,881
194.199.55.39,9.2312,359
ytmac.nig.ac.jp:8080,9.2059,136
abims.sb-roscoff.fr,9.1965,682
togovar.org,9.1693,815
gbdev.nig.ac.jp,9.1452,744
211.192.85.237,9.0580,138
ftflowsvr01:8080,9.0498,522
bioinfo.ihb.ac.cn,9.0000,575
webapollo.science.uu.nl:8080,9.0000,328
192.168.1.115,8.9987,2338
www.whiteflygenomics.org,8.9707,4024
127.0.0.1:8888,8.8864,176
localhost:10080,8.8721,172
whiteflygenomics.org,8.8350,1588
bang,8.8242,165
weatherby.genetics.utah.edu,8.7821,1363
xenopus.lab.nig.ac.jp,8.6863,322
qa.genomenext.net,8.6581,155
10.37.0.250,8.6567,935
dev.gensas.org:8453,8.6543,350
130.85.169.215,8.6240,367
viewer.shigen.info,8.5822,4131
dev.novocraft.com,8.5763,1022
vpgsb-jbrowse.scidom.de,8.5612,139
192.168.56.18,8.5403,335
10.93.132.25,8.5051,390
web.bioinformatics.ic.ac.uk,8.4444,144
