trackCount separated into bins (last 12 months, > 100 hits)
host,'0-100,'100-200,'200-500,'500-1000,'1000-2000,'2000-5000,'5000-10000,'10000-20000,'>20000,trackCount,hits
172.29.2.74,112,0,0,0,1,0,0,0,0,113,
10.49.95.73,445,0,0,0,2,0,0,0,0,447,
dev-y.smestorage.com,356,0,0,0,1,0,0,0,0,357,
10.49.121.5,743,0,0,0,2,0,0,0,0,745,
dev-a.smestorage.com,326,0,0,0,3,0,0,0,0,329,
plant1.kazusa.or.jp,182,51,244,0,10,0,0,0,0,487,
childslab.plantbiology.msu.edu,529,0,0,0,2,0,0,0,0,531,
gph.niid.go.jp,2857,1,0,0,1,0,0,0,0,2859,
193.219.91.103:12497,173,0,0,0,1,0,0,0,0,174,
varitome.sgn.cornell.edu,122,109,27,0,1,0,0,0,0,259,
localhost:50070,152,0,0,0,4,0,0,0,0,156,
bcg.abrc.sinica.edu.tw:443,493,0,0,0,11,0,0,0,0,504,
192.168.56.102,269,0,0,0,1,0,0,0,0,270,
jbrestel.plasmodb.org,429,0,72,0,4,0,0,0,0,505,
192.168.3.253,176,2310,447,0,2,0,0,0,0,2935,
tubic.tju.edu.cn,157,0,0,0,1,0,0,0,0,158,
192.168.56.1,170,0,0,0,6,0,0,0,0,176,
ribosemap.biosci.gatech.edu,509,7,14,46,6,0,0,0,0,582,
10.75.206.133,110,0,0,0,4,0,0,0,0,114,
10.75.119.196,122,33,0,0,10,0,0,0,0,165,
ibi.zju.edu.cn,1953,87,85,5,2,0,0,0,0,2132,
colossus.biotec.or.th,692,60,992,0,1,0,0,0,0,1745,
icp-test.incpm.weizmann.ac.il,117,0,0,0,9,0,0,0,0,126,
localhost:2001,121,0,0,0,1,0,0,0,0,122,
seeders.iptime.org:4880,104,0,0,0,5,0,0,0,0,109,
140.109.183.233,639,0,0,0,5,0,0,0,0,644,
10.71.115.210,224,0,0,0,6,0,0,0,0,230,
192.168.118.25,420,0,0,0,2,0,0,0,0,422,
crispor.ccm.sickkids.ca,1433,0,0,0,4,0,0,0,0,1437,
192.168.56.1:8080,171,0,0,0,1,0,0,0,0,172,
147.99.34.11,165,0,0,0,1,0,0,0,0,166,
jbrowse.cgb.indiana.edu,1254,397,85,0,2,0,0,0,0,1738,
suhanggo.seeders.co.kr,766,0,0,0,2,0,0,0,0,768,
coppolalab.ucla.edu,179,0,0,0,3,0,0,0,0,182,
159.65.161.187,152,0,0,0,2,0,0,0,0,154,
jbrowse.ilweb01.lt.local,2421,0,0,0,1,0,0,0,0,2422,
ngsdemo.persistent.co.in,1536,0,0,0,4,0,0,0,0,1540,
kp141-242,460,0,0,0,4,0,0,0,0,464,
128.32.118.203,324,49,0,0,1,0,0,0,0,374,
mtb.dobzhanskycenter.org,858,0,0,0,3,0,0,0,0,861,
nereis.univ-lille1.fr:7564,384,0,0,0,3,0,0,0,0,387,
jbrowse-dev.jcvi.org,326,0,0,0,1,0,0,0,0,327,
teabrowser.shengxin.ren,861,0,0,0,2,0,0,0,0,863,
jbrowse.dev.yeastgenome.org,9,0,325,0,1,0,0,0,0,335,
140.116.56.177,1119,5,330,63,165,0,0,0,0,1682,
beta.sgc.loc:3000,514,0,0,0,2,0,0,0,0,516,
192.168.16.248,189,0,0,0,1,0,0,0,0,190,
hintonserv.bioscience.liv.ac.uk,120,71,0,0,1,0,0,0,0,192,
localhost:3000,2243,0,48,34,28,0,0,0,0,2353,
triticeaetoolbox.org,1502,0,0,0,1,0,0,0,0,1503,
localhost:11001,500,0,0,0,2,0,0,0,0,502,
tagrc.org,152,0,0,0,1,0,0,0,0,153,
bindu.plasmodb.org,844,0,0,0,9,0,0,0,0,853,
www.picb.ac.cn,960,1212,671,0,197,0,0,0,0,3040,
ge.geneconversion.org,173,0,0,0,4,0,0,0,0,177,
18.188.225.24,405,0,6,0,5,0,0,0,0,416,
192.168.1.101,253,0,0,0,2,0,0,0,0,255,
172.17.107.172,182,72,194,142,1,0,0,0,0,591,
137.189.43.55,770,164,380,0,2,0,0,0,0,1316,
202.127.22.67,937,0,0,98,1,0,0,0,0,1036,
140.113.203.184:8080,156,4,33,160,1,0,0,0,0,354,
192.168.1.20,365,0,0,0,1,0,0,0,0,366,
192.168.118.133,139,0,2,28,1,0,0,0,0,170,
localhost:65008,101,0,0,0,9,0,0,0,0,110,
124.16.129.42,966,70,75,36,25,0,0,0,0,1172,
192.168.72.38,174,0,0,0,1,0,0,0,0,175,
192.168.160.133,125,0,0,0,3,0,0,0,0,128,
ep.dbcls.jp,188,0,0,0,1,0,0,0,0,189,
planc-te.cp.utfpr.edu.br,182,0,0,0,3,0,0,0,0,185,
ubuntulinux.westus.cloudapp.azure.com,162,0,0,0,1,0,0,0,0,163,
plantpolya.org,180,0,0,0,1,0,0,0,0,181,
togovar_test.l5dev.jp,349,0,0,0,4,0,0,0,0,353,
genexpdb.okstate.edu,28,0,383,56,1,0,0,0,0,468,
fox.rgd.mcw.edu:8080,89,24,0,0,1,0,0,0,0,114,
jbrowse.oceancloud.cn,194,0,0,0,9,0,0,0,0,203,
10.10.116.28,78,0,21,0,2,0,0,0,0,101,
cloud.limgroup.eu,636,424,0,457,1873,0,0,0,0,3390,
jbrowse,6,0,0,0,334,0,0,0,0,340,
54.40.223.139:8080,31,0,0,0,167,0,0,0,0,198,
jbrowse.merck.com:8080,140,0,0,0,164,0,0,0,0,304,
plantseq.org,115,19,0,0,546,0,0,0,0,680,
137.205.123.127,1117,33,29,1,1,0,0,0,0,1181,
192.126.123.68,70,16,5,23,116,0,0,0,0,230,
137.189.43.160:8080,348,694,1969,486,301,0,0,0,0,3798,
staging.wormbase.org,8353,0,12,919,223,0,0,0,0,9507,
dev.wormbase.org:9020,1113,0,0,70,5,0,0,0,0,1188,
www.wormbase.org,1430472,1,1,22764,7799,0,0,0,0,1461037,
54.210.66.87,444,0,0,0,127,0,0,0,0,571,
strawberry-garden.kazusa.or.jp,165,0,0,0,32,0,0,0,0,197,
peach.igh.cnrs.fr:8080,0,1,0,5,226,0,0,0,0,232,
peach.igh.cnrs.fr,36,76,0,1000,653,0,0,0,0,1765,
gbr3,322,0,0,0,470,0,0,0,0,792,
jbrowse.informatics.jax.org,12187,0,0,0,1154,0,0,0,0,13341,
202.195.250.105,769,43,93,5,12,0,0,0,0,922,
wormbase.org,222785,0,3,7643,0,0,0,0,0,230431,
sibyl.wormbase.org,140,0,0,2,0,0,0,0,0,142,
10.10.83.81,163,0,0,197,0,0,0,0,0,360,
bioinfo.njau.edu.cn,70,3,28,2,0,0,0,0,0,103,
www.bovinegenome.org,0,0,0,1038,0,0,0,0,0,1038,
bovinegenome.org,8,0,176,294,0,0,0,0,0,478,
jbrowse.jhhlab.tw,161,0,92,515,0,0,0,0,0,768,
140.113.203.185,69,0,21,217,0,0,0,0,0,307,
128.206.116.5:8080,44,3,10,102,0,0,0,0,0,159,
sjcbiobox.driscolls.com:81,8,0,0,154,0,0,0,0,0,162,
wukong,121,0,0,218,0,0,0,0,0,339,
furlonglab.embl.de,1544,1,0,399,0,0,0,0,0,1944,
10.84.2.11,16,12,0,112,0,0,0,0,0,140,
10.4.1.101,58,0,177,33,0,0,0,0,0,268,
141.244.134.147:11000,122,9,24,55,0,0,0,0,0,210,
47.94.223.5,343,20,20,171,0,0,0,0,0,554,
visual.ic4r.org,2126,0,287,18123,0,0,0,0,0,20536,
jbrower.vardetect.com,43,0,0,84,0,0,0,0,0,127,
39.107.244.151,1,0,0,134,0,0,0,0,0,135,
61.148.58.210:8080,45,2,112,339,0,0,0,0,0,498,
hub-test.bu.edu,83,6,60,4,0,0,0,0,0,153,
hymenopteragenome.org,1486,0,628,8,0,0,0,0,0,2122,
jbrowse.intranet.dow.com,420,124,64,62,0,0,0,0,0,670,
glent-qa-1.be.bayercropscience,993,336,59,136,0,0,0,0,0,1524,
glent-qa-1.emea.agrogroup.net,89,73,0,6,0,0,0,0,0,168,
nucmap.bigd.big.ac.cn,133,32,40,9,0,0,0,0,0,214,
edge-prod.lanl.gov,476,0,2,1,0,0,0,0,0,479,
128.206.234.23:8080,0,0,13,133,0,0,0,0,0,146,
39.106.57.70,136,1,0,237,0,0,0,0,0,374,
mmodev.sb-roscoff.fr,335,13,225,173,0,0,0,0,0,746,
www.yeastss.org,103,0,20,0,0,0,0,0,0,123,
yeastss.org,155,0,29,0,0,0,0,0,0,184,
103.61.226.71,84,250,40,0,0,0,0,0,0,374,
crobiad.agwine.adelaide.edu.au,64,680,38,0,0,0,0,0,0,782,
130.220.208.2,324,422,55,0,0,0,0,0,0,801,
10.0.0.29,299,0,594,0,0,0,0,0,0,893,
jbrowse.amyris.local,1755,94,50,0,0,0,0,0,0,1899,
gwas-browser.nygenome.org,0,0,105,0,0,0,0,0,0,105,
dev.facebase.org,431,0,1,0,0,0,0,0,0,432,
152.7.99.230,225,0,1,0,0,0,0,0,0,226,
137.189.43.109,779,44,641,0,0,0,0,0,0,1464,
10.113.72.170,217,134,159,0,0,0,0,0,0,510,
bio.driscolls.com,31,28,63,0,0,0,0,0,0,122,
www.alfalfatoolbox.org,3026,0,123,0,0,0,0,0,0,3149,
localhost:63342,636,0,11,0,0,0,0,0,0,647,
192.168.34.39,3,0,820,0,0,0,0,0,0,823,
129.130.89.51,599,35,98,0,0,0,0,0,0,732,
matsui-lab.riken.jp,7138,74,369,0,0,0,0,0,0,7581,
apollo.vectorbase.org,6501,1014,1237,0,0,0,0,0,0,8752,
bioinfo.nwafu.edu.cn,292,430,63,0,0,0,0,0,0,785,
queitsch-jbrowse.gs.washington.edu,0,0,472,0,0,0,0,0,0,472,
solgenomics.net,236803,185,2154,0,0,0,0,0,0,239142,
www.solgenomics.org,254,0,4,0,0,0,0,0,0,258,
www.sgn.cornell.edu,4405,1,50,0,0,0,0,0,0,4456,
www.solgenomics.net,7806,10,59,0,0,0,0,0,0,7875,
sgn.cornell.edu,657,1,2,0,0,0,0,0,0,660,
sgn-test.sgn.cornell.edu,99,21,4,0,0,0,0,0,0,124,
elrh6gene01.dow.com,83,0,74,0,0,0,0,0,0,157,
jbrowse-test.sgn.cornell.edu,445,252,10,0,0,0,0,0,0,707,
solgenomics.org,191,0,1,0,0,0,0,0,0,192,
yzlab.lhgene.cn:8082,0,36,73,0,0,0,0,0,0,109,
medicago.toulouse.inra.fr,233,3,5991,0,0,0,0,0,0,6227,
regulomics.mimuw.edu.pl,44,72,783,0,0,0,0,0,0,899,
mirlab.sysu.edu.cn,35,26,92,0,0,0,0,0,0,153,
10.112.31.15,0,0,910,0,0,0,0,0,0,910,
webapollo2.vectorbase.org,592,78,110,0,0,0,0,0,0,780,
plantsmallrnagenes.science.psu.edu,919,22,170,0,0,0,0,0,0,1111,
141.244.134.147,0,0,166,0,0,0,0,0,0,166,
jbrowse.bioinfotech.org,299,0,4,0,0,0,0,0,0,303,
titin.ucd.ie,174,210,94,0,0,0,0,0,0,478,
14.139.59.222:8080,333,1162,1,0,0,0,0,0,0,1496,
137.189.43.231,415,40,280,0,0,0,0,0,0,735,
www.bio-bigdata.com,0,0,1270,0,0,0,0,0,0,1270,
bio-bigdata.hrbmu.edu.cn,0,0,332,0,0,0,0,0,0,332,
wolferine.ucd.ie,730,51,21,0,0,0,0,0,0,802,
140.254.156.169,202,6,191,0,0,0,0,0,0,399,
cho-epigenome.boku.ac.at,0,0,1241,0,0,0,0,0,0,1241,
donald,32,114,610,0,0,0,0,0,0,756,
eclipse.biotec.or.th,32,42,74,0,0,0,0,0,0,148,
150.164.24.16:8888,62,66,45,0,0,0,0,0,0,173,
lipm-browsers.toulouse.inra.fr,2681,30,82,0,0,0,0,0,0,2793,
180.208.58.19,298,114,1965,0,0,0,0,0,0,2377,
pichiagenome-ext.boku.ac.at,422,90,75,0,0,0,0,0,0,587,
sysbio.sysu.edu.cn,132,35,275,0,0,0,0,0,0,442,
sysbio.gzzoc.com,538,39,583,0,0,0,0,0,0,1160,
binkley.candidagenome.org,34,0,120,0,0,0,0,0,0,154,
www.candidagenome.org,593,0,1531,0,0,0,0,0,0,2124,
bmi.xmu.edu.cn,264,11,24,0,0,0,0,0,0,299,
nobel.gedv.pasteur.fr,1611,784,19,0,0,0,0,0,0,2414,
sacibase.ibb.unesp.br,715,2,16,0,0,0,0,0,0,733,
jbrowse.molgenrug.nl,2956,0,9,0,0,0,0,0,0,2965,
genomes.stowers.org,546,1360,244,0,0,0,0,0,0,2150,
test.parasite.wormbase.org,97,6,17,0,0,0,0,0,0,120,
simrbase.stowers.org,1606,41,107,0,0,0,0,0,0,1754,
paramecium.i2bc.paris-saclay.fr,11553,531,323,0,0,0,0,0,0,12407,
10.245.128.39,117,88,35,0,0,0,0,0,0,240,
dev.jbrowse.southgreen.fr,3240,106,40,0,0,0,0,0,0,3386,
jbrowse.cirad.fr,0,0,261,0,0,0,0,0,0,261,
sohi.ecology.kyoto-u.ac.jp,320,14,674,0,0,0,0,0,0,1008,
bioinfo.cgiarad.org,99,0,18,0,0,0,0,0,0,117,
beagle.windows.ebi.ac.uk:8888,556,0,1,0,0,0,0,0,0,557,
apollo.wormbase.org,21132,0,97,0,0,0,0,0,0,21229,
ange-data-02.calcul.i2bc.paris-saclay.fr,368,1,9,0,0,0,0,0,0,378,
192.168.0.119,139,3,3,0,0,0,0,0,0,145,
jbrowse.southgreen.fr,13087,2707,105,0,0,0,0,0,0,15899,
epigen-zhong.discovery.wisc.edu,48,249,80,0,0,0,0,0,0,377,
10.9.5.14:8080,106,0,196,0,0,0,0,0,0,302,
10.100.22.6,844,53,80,0,0,0,0,0,0,977,
141.244.133.122,137,231,14,0,0,0,0,0,0,382,
rcug-galaxy1.mh-hannover.local,590,204,6,0,0,0,0,0,0,800,
192.168.0.118,575,84,2,0,0,0,0,0,0,661,
202.194.139.32,1794,72,1,0,0,0,0,0,0,1867,
rgd.mcw.edu,30600,72635,0,0,0,0,0,0,0,103235,
www.rgd.mcw.edu,617,347,0,0,0,0,0,0,0,964,
dev.rgd.mcw.edu,249,338,0,0,0,0,0,0,0,587,
pipelines.rgd.mcw.edu,3442,3958,0,0,0,0,0,0,0,7400,
sollab.cshl.edu,996,439,0,0,0,0,0,0,0,1435,
tomatolab.cshl.edu,310,174,0,0,0,0,0,0,0,484,
172.20.4.59:3002,93,125,0,0,0,0,0,0,0,218,
10.42.0.7:8081,1966,72,0,0,0,0,0,0,0,2038,
lulab.life.tsinghua.edu.cn,409,1107,0,0,0,0,0,0,0,1516,
mmb.irbbarcelona.org,48,77,0,0,0,0,0,0,0,125,
vre.multiscalegenomics.eu,362,485,0,0,0,0,0,0,0,847,
blade05.platomics.com,124,14,0,0,0,0,0,0,0,138,
blade05,89,13,0,0,0,0,0,0,0,102,
www.cottongen.org,891,292,0,0,0,0,0,0,0,1183,
delta.big.ac.cn,1,819,0,0,0,0,0,0,0,820,
test.cottongen.org,218,9,0,0,0,0,0,0,0,227,
maizegenomics.plantbiology.msu.edu,0,122,0,0,0,0,0,0,0,122,
10.114.143.20,437,383,0,0,0,0,0,0,0,820,
bioinformatics.forsyth.org,504,1,0,0,0,0,0,0,0,505,
jbrowse-dev2.acpfg.local,4,732,0,0,0,0,0,0,0,736,
jbrowse-dev2,10,126,0,0,0,0,0,0,0,136,
210.75.224.168:8080,248,365,0,0,0,0,0,0,0,613,
www.bioinformatics.nl,715,10,0,0,0,0,0,0,0,725,
apollo.tgac.ac.uk,887,1381,0,0,0,0,0,0,0,2268,
jbrowse.brachypodium.org,0,234,0,0,0,0,0,0,0,234,
ange-data-08.calcul.i2bc.paris-saclay.fr,2211,1,0,0,0,0,0,0,0,2212,
172.20.8.18,560,33,0,0,0,0,0,0,0,593,
jbrowse-rgv.genouest.org,89,192,0,0,0,0,0,0,0,281,
bbric-pipelines.toulouse.inra.fr,6299,267,0,0,0,0,0,0,0,6566,
wcntusmjwzyxx:8082,132,180,0,0,0,0,0,0,0,312,
192.168.0.188,86,21,0,0,0,0,0,0,0,107,
10.11.16.11,89,66,0,0,0,0,0,0,0,155,
simrbase.stowers.org:8080,186,1,0,0,0,0,0,0,0,187,
jbrowse-test.xenbase.org,3266,885,0,0,0,0,0,0,0,4151,
jbrowse.xenbase.org,13585,5826,0,0,0,0,0,0,0,19411,
heliodor.nki.nl,182,79,0,0,0,0,0,0,0,261,
10.200.1.241,667,172,0,0,0,0,0,0,0,839,
pombase-dev.bioinformatics.nz,60,193,0,0,0,0,0,0,0,253,
www.pombase.org,70,2457,0,0,0,0,0,0,0,2527,
prime-seq.ohsu.edu,536,8,0,0,0,0,0,0,0,544,
cr28603.uzbrussel.be,5812,1,0,0,0,0,0,0,0,5813,
cpt.tamu.edu,6632,155,0,0,0,0,0,0,0,6787,
cr28603.uzbrussel.be:83,531,1,0,0,0,0,0,0,0,532,
phylogicangs,135,18,0,0,0,0,0,0,0,153,
bioinfo.imtech.res.in,133,12,0,0,0,0,0,0,0,145,
bipaa.genouest.org,17388,70,0,0,0,0,0,0,0,17458,
annotation-prod.scilifelab.se:8080,2645,3,0,0,0,0,0,0,0,2648,
www.rosaceae.org,7011,138,0,0,0,0,0,0,0,7149,
test.rosaceae.org,265,2,0,0,0,0,0,0,0,267,
www.tomatogenome.net,0,724,0,0,0,0,0,0,0,724,
glass.phibred.com:8081,10993,443,0,0,0,0,0,0,0,11436,
www185.lamp.le.ac.uk,190,32,0,0,0,0,0,0,0,222,
www252.lamp.le.ac.uk,0,191,0,0,0,0,0,0,0,191,
dev.multiscalegenomics.eu,190,42,0,0,0,0,0,0,0,232,
sweetpotato.plantbiology.msu.edu,756,4694,0,0,0,0,0,0,0,5450,
115.146.85.22:8080,571,3,0,0,0,0,0,0,0,574,
nod6.umbr.cas.cz,318,2,0,0,0,0,0,0,0,320,
www.heliagene.org,8945,36,0,0,0,0,0,0,0,8981,
www.forestrylab.org,3198,16,0,0,0,0,0,0,0,3214,
genseq-h0.science.uva.nl,334,258,0,0,0,0,0,0,0,592,
59.79.232.11,1055,13,0,0,0,0,0,0,0,1068,
10.0.2.15,363,1,0,0,0,0,0,0,0,364,
bioinfo.florimond-desprez.fr,187,60,0,0,0,0,0,0,0,247,
u031331.science.uva.nl,212,71,0,0,0,0,0,0,0,283,
plasticite:8080,301,37,0,0,0,0,0,0,0,338,
plasticite.supagro.inra.fr:8080,1108,233,0,0,0,0,0,0,0,1341,
koke.asrc.kanazawa-u.ac.jp,109,28,0,0,0,0,0,0,0,137,
jbrowse.latrobe.edu.au,2,343,0,0,0,0,0,0,0,345,
genome.igib.res.in,545,119,0,0,0,0,0,0,0,664,
gds-reports-web.science-at-scale.io,627,1,0,0,0,0,0,0,0,628,
dove.ceh.uvic.ca,236,9,0,0,0,0,0,0,0,245,
160.36.205.61:8095,374,9,0,0,0,0,0,0,0,383,
dubcovskylab.ucdavis.edu,4365,149,0,0,0,0,0,0,0,4514,
hinton-jbrowse.s3-website-eu-west-1.amazonaws.com,421,12,0,0,0,0,0,0,0,433,
jbrowse.intermine.org,7515,6,0,0,0,0,0,0,0,7521,
hpoly.nematodegenomes.org,160,0,0,0,0,0,0,0,0,160,
128.233.222.29,652,0,0,0,0,0,0,0,0,652,
192.168.64.23,168,0,0,0,0,0,0,0,0,168,
peach.fafu.edu.cn,606,0,0,0,0,0,0,0,0,606,
137.189.133.76,367,0,0,0,0,0,0,0,0,367,
www.niagads.org,5888,0,0,0,0,0,0,0,0,5888,
cegresources.icrisat.org,115,0,0,0,0,0,0,0,0,115,
myers.bioinformatics.nl,136,0,0,0,0,0,0,0,0,136,
pineapple.angiosperms.org,258,0,0,0,0,0,0,0,0,258,
10.200.50.178,225,0,0,0,0,0,0,0,0,225,
phytozome-dev.jgi.doe.gov,1327,0,0,0,0,0,0,0,0,1327,
phytozome.jgi.doe.gov,569734,0,0,0,0,0,0,0,0,569734,
code4dna.com,848,0,0,0,0,0,0,0,0,848,
jbrowse.bioinformatics.danforthcenter.org,132,0,0,0,0,0,0,0,0,132,
192.168.1.102,118,0,0,0,0,0,0,0,0,118,
denovo.cnag.cat,2815,0,0,0,0,0,0,0,0,2815,
als2077-unix1.science.oregonstate.edu,490,0,0,0,0,0,0,0,0,490,
antgenomes.org,292,0,0,0,0,0,0,0,0,292,
211.69.140.130,1316,0,0,0,0,0,0,0,0,1316,
10.0.0.15,299,0,0,0,0,0,0,0,0,299,
www.genomics.verinomics.com,1256,0,0,0,0,0,0,0,0,1256,
paramecium-beta.i2bc.paris-saclay.fr,2943,0,0,0,0,0,0,0,0,2943,
njp-dev.jgi.doe.gov,961,0,0,0,0,0,0,0,0,961,
azolla.science.uu.nl,145,0,0,0,0,0,0,0,0,145,
129.194.89.207:8080,104,0,0,0,0,0,0,0,0,104,
www.citrusgenomedb.org,1848,0,0,0,0,0,0,0,0,1848,
aklppr31.pfr.co.nz.:8080,1716,0,0,0,0,0,0,0,0,1716,
147.46.172.224,111,0,0,0,0,0,0,0,0,111,
143.169.30.178,399,0,0,0,0,0,0,0,0,399,
www.facebase.org,1444,0,0,0,0,0,0,0,0,1444,
apollo-stage.nal.usda.gov,1205,0,0,0,0,0,0,0,0,1205,
apollo-dev.nal.usda.gov,186,0,0,0,0,0,0,0,0,186,
158.109.57.222,724,0,0,0,0,0,0,0,0,724,
apollo.nal.usda.gov,1548,0,0,0,0,0,0,0,0,1548,
192.168.25.167,249,0,0,0,0,0,0,0,0,249,
128.32.218.181:7070,20918,0,0,0,0,0,0,0,0,20918,
133.26.84.46,247,0,0,0,0,0,0,0,0,247,
10.68.99.186,376,0,0,0,0,0,0,0,0,376,
genomebrowser.uams.edu,521,0,0,0,0,0,0,0,0,521,
aestivum.accwi.org.au:8080,229,0,0,0,0,0,0,0,0,229,
133.48.62.140,391,0,0,0,0,0,0,0,0,391,
192.168.0.69:8080,518,0,0,0,0,0,0,0,0,518,
10.0.0.253,172,0,0,0,0,0,0,0,0,172,
apollo.sgn.cornell.edu,9759,0,0,0,0,0,0,0,0,9759,
147.99.112.52,775,0,0,0,0,0,0,0,0,775,
irhs-001,323,0,0,0,0,0,0,0,0,323,
210.27.97.108,583,0,0,0,0,0,0,0,0,583,
marmorkrebs.dkfz.de,538,0,0,0,0,0,0,0,0,538,
cap.ensemblgenomes.org,1344,0,0,0,0,0,0,0,0,1344,
tcap.pw.usda.gov,197,0,0,0,0,0,0,0,0,197,
arete,790,0,0,0,0,0,0,0,0,790,
10.74.186.113,126,0,0,0,0,0,0,0,0,126,
lithium.kaust.edu.sa,175,0,0,0,0,0,0,0,0,175,
www.chogenome.org,1898,0,0,0,0,0,0,0,0,1898,
chogenome.org,310,0,0,0,0,0,0,0,0,310,
bioinformatics.erc.monash.edu,254,0,0,0,0,0,0,0,0,254,
134.245.63.238:8080,878,0,0,0,0,0,0,0,0,878,
hymenopteragenome.org:8080,309,0,0,0,0,0,0,0,0,309,
genedenovoweb.ticp.net:81,554,0,0,0,0,0,0,0,0,554,
wheat.pw.usda.gov,3472,0,0,0,0,0,0,0,0,3472,
p00701.genebay.co.jp:8443,215,0,0,0,0,0,0,0,0,215,
gevd01.hosting.pasteur.fr,193,0,0,0,0,0,0,0,0,193,
dash,2045,0,0,0,0,0,0,0,0,2045,
csbl.bmb.uga.edu,19108,0,0,0,0,0,0,0,0,19108,
parasite.wormbase.org,1878,0,0,0,0,0,0,0,0,1878,
52.90.201.28,259,0,0,0,0,0,0,0,0,259,
www.pristionchus.org,1937,0,0,0,0,0,0,0,0,1937,
sinin.kps.ku.ac.th,301,0,0,0,0,0,0,0,0,301,
