host,host count, client count, distinct client count
10.235.225.248:8080, 87, 87, 1, 
apollo.nematodegenomes.org, 221, 221, 15, 
cap.ensemblgenomes.org, 2649, 2649, 227, 
127.0.0.1, 3906, 3906, 84, 
bioinfo.imtech.res.in, 290, 290, 123, 
pichiagenome.boku.ac.at, 794, 794, 327, 
wolferine.ucd.ie, 1476, 1476, 147, 
asgdb.org, 20, 20, 4, 
palm-genome.cirad.fr, 3, 3, 2, 
gensas.bioinfo.wsu.edu:8080, 127, 127, 26, 
147.100.164.47, 125, 125, 10, 
linux23.iah.ac.uk, 157, 157, 21, 
genomics.usal.es, 685, 685, 79, 
hazelnut.blast.mocklerlab.org, 112, 112, 53, 
hymenopteragenome.org, 2515, 2515, 802, 
dubcovskylab.ucdavis.edu, 7191, 7191, 357, 
172.20.174.113, 4440, 4440, 21, 
bioinformatics.tecnoparco.org, 19, 19, 9, 
srv00.recas.ba.infn.it, 526, 526, 128, 
donald, 734, 734, 82, 
10.42.0.1:8050, 521, 521, 2, 
server1.pgb.liv.ac.uk, 39, 39, 8, 
www.syntheticyeastresource.com, 250, 250, 89, 
jbrowse.brachypodium.org, 309, 309, 111, 
vert.biolab.si, 34, 34, 4, 
www.rgenome.net, 2012, 2012, 442, 
www.cgr.liv.ac.uk:8088, 40, 40, 4, 
10.0.13.185, 18, 18, 1, 
aiptasia.reefgenomics.org, 637, 637, 220, 
www.pseudomonas.com, 1361, 1361, 685, 
mmb.irbbarcelona.org, 2127, 2127, 74, 
dv-node-02.age.mpg.de:8080, 213, 213, 2, 
bang.enz.local, 2312, 2312, 16, 
mmb.pcb.ub.edu, 10, 10, 2, 
mib.amu.edu.pl, 154, 154, 40, 
planmine.mpi-cbg.de:8088, 9836, 9836, 703, 
plmine.mpi-cbg.de:8088, 4582, 4582, 44, 
hymenopteragenome.org:8080, 525, 525, 218, 
157.92.24.249, 940, 940, 65, 
jcvi.org, 438, 438, 195, 
epigenome.genetics.uga.edu, 5257, 5257, 635, 
koke.asrc.kanazawa-u.ac.jp, 71, 71, 17, 
192.168.1.51, 161, 161, 2, 
172.25.92.187:999, 68, 68, 1, 
bf2i300.insa-lyon.fr:7080, 19, 19, 6, 
childslab.plantbiology.msu.edu, 1055, 1055, 96, 
staging.wormbase.org, 1231, 1231, 144, 
songyanglab.sysu.edu.cn, 680, 680, 122, 
www.homd.org, 2159, 2159, 540, 
jbrowse.genereg.net, 52, 52, 11, 
10.10.56.31:8080, 254, 254, 7, 
10.0.0.48, 1980, 1980, 17, 
ukapdlnx005.ukapd.astrazeneca.net, 134, 134, 27, 
150.164.24.16:8888, 65, 65, 20, 
localhost:8081, 1830, 1830, 43, 
crdd.osdd.net, 163, 163, 75, 
taurus.mskcc.org, 361, 361, 5, 
www.heliagene.org, 6251, 6251, 234, 
jbrowse.intranet.dow.com, 1652, 1652, 60, 
dev.palm-genome-http.cirad.fr, 4, 4, 1, 
brecandb.igib.res.in, 337, 337, 153, 
dev.dhcp.bhsai.net:8023, 337, 337, 1, 
u031331.science.uva.nl, 740, 740, 41, 
tomatolab.cshl.edu, 447, 447, 147, 
archer.enzymatics.com, 10, 10, 3, 
mmo.sb-roscoff.fr, 78, 78, 14, 
54.199.148.45, 3, 3, 1, 
ion.ctegd.uga.edu, 63, 63, 6, 
155.41.205.107, 16, 16, 1, 
www.plabipd.de, 556, 556, 151, 
cazy208.afmb.local, 381, 381, 3, 
rgv.genouest.org, 282, 282, 115, 
155.253.6.64, 1093, 1093, 30, 
129.15.40.234:7997, 137, 137, 7, 
bovinegenome.org, 1354, 1354, 538, 
triticeaetoolbox.org, 1373, 1373, 364, 
dgr.dasmaninstitute.org, 242, 242, 70, 
54.200.4.180, 101, 101, 20, 
cnidarians.bu.edu, 84, 84, 48, 
biocomplx.phibred.com, 1258, 1258, 12, 
weatherby.genetics.utah.edu:8080, 329, 329, 60, 
asrp.danforthcenter.org, 689, 689, 290, 
localhost:84, 314, 314, 1, 
bioseq:84, 45, 45, 2, 
192.168.50.234, 11, 11, 2, 
weatherby.genetics.utah.edu, 592, 592, 272, 
10.4.4.74, 1465, 1465, 4, 
beetlebase.org, 314, 314, 232, 
browse2.big.ac.cn, 471, 471, 191, 
ec2-52-87-214-145.compute-1.amazonaws.com, 1, 1, 1, 
localhost:8080, 24935, 24935, 397, 
asparagus.uga.edu, 509, 509, 70, 
lithium.kaust.edu.sa, 341, 341, 19, 
165.91.108.136, 122, 122, 13, 
geco.iplantcollaborative.org, 2283, 2283, 36, 
syntheticyeastresource.com, 77, 77, 42, 
localhost:8301, 8263, 8263, 255, 
192.168.1.182, 63, 63, 1, 
hpoly.nematodegenomes.org, 319, 319, 18, 
smegmatis.wadsworth.org, 526, 526, 103, 
172.17.1.56, 1, 1, 1, 
sacibase.ibb.unesp.br, 737, 737, 107, 
bivouac.rockefeller.edu, 85, 85, 50, 
jbrowse.plantdhs.org, 3309, 3309, 641, 
www.niagads.org, 3966, 3966, 536, 
xdev12.l.synthgeno.global, 14, 14, 2, 
ec2-52-3-164-181.compute-1.amazonaws.com, 34, 34, 12, 
54.85.2.5, 2648, 2648, 46, 
10.163.242.36, 67, 67, 14, 
bioinfo5.ugr.es, 61, 61, 35, 
algorithms.cnag.cat, 57, 57, 18, 
asm08.c01.l.synthgeno.global:8989, 164, 164, 2, 
cbsuss05.tc.cornell.edu, 393, 393, 30, 
arca1, 23, 23, 1, 
gbr3, 772, 772, 5, 
www.xenmine.org, 104, 104, 60, 
chlorella.unl.edu, 147, 147, 22, 
bcaballi-curation.igs.umaryland.edu, 73, 73, 5, 
mtb.wadsworth.org, 379, 379, 128, 
epigen-zhong.discovery.wisc.edu, 1026, 1026, 32, 
headnode-vbox, 380, 380, 12, 
archeranalysis-prod, 135, 135, 2, 
shoofly.bdgp.berkeley.edu, 607, 607, 87, 
whiteflygenomics.org, 5768, 5768, 402, 
naked-mole-rat.org, 427, 427, 183, 
129.186.142.33:8080, 69, 69, 6, 
mockler-jbrowse.mocklerlab.org, 1671, 1671, 921, 
localhost:8085, 608, 608, 34, 
s-az-archer, 144, 144, 3, 
vollbrechtlab.org, 436, 436, 57, 
dgdarcher4.chop.edu, 281, 281, 3, 
www.hymenopteragenome.org, 38, 38, 19, 
birdbeta.isisph.com, 337, 337, 1, 
lis-dev.agron.iastate.edu, 273, 273, 7, 
vinculin.ucd.ie, 3, 3, 2, 
regadb.bahia.fiocruz.br:8080, 230, 230, 52, 
172.21.5.42, 31, 31, 1, 
localhost:8000, 1213, 1213, 76, 
10.10.10.128, 151, 151, 3, 
chogenome.org, 173, 173, 64, 
bioweb1.es.dupont.com:1557, 462, 462, 8, 
dh1981, 32, 32, 2, 
assay.archerdx.com, 1523, 1523, 112, 
54.213.138.252, 617, 617, 22, 
galaxydev.sanbi.ac.za, 36, 36, 5, 
arete, 2177, 2177, 72, 
adenine.bradley.edu, 20108, 20108, 1667, 
bcid.ca, 14, 14, 8, 
jbrowse-hopbase.cgrb.oregonstate.edu, 772, 772, 164, 
bang, 2590, 2590, 38, 
girg.um.edu.my, 163, 163, 33, 
csgenome.sggw.pl, 46, 46, 8, 
www.csgenome.sggw.pl, 2, 2, 1, 
seabassgb.sanbi.ac.za, 133, 133, 67, 
192.168.1.115, 8186, 8186, 21, 
235318.ichengyun.net, 197, 197, 154, 
apollo.koalagenome.org, 23, 23, 5, 
mirlab.sysu.edu.cn, 1122, 1122, 358, 
192.168.34.39, 234, 234, 27, 
www.phyzen-lab.com, 213, 213, 11, 
192.168.5.57, 1342, 1342, 3, 
webapollo.bioinformatics.csiro.au, 1757, 1757, 211, 
10.10.85.105, 239, 239, 4, 
allbt.iptime.org, 12, 12, 9, 
hikakudb.nig.ac.jp, 1008, 1008, 55, 
192.168.99.101:8080, 10, 10, 4, 
jbrowse.jhhlab.tw, 1873, 1873, 114, 
jbrowse.southgreen.fr, 5482, 5482, 1079, 
103.18.1.187, 311, 311, 71, 
na-no-imac.local, 75, 75, 1, 
172.16.1.36, 166, 166, 6, 
10.145.28.203, 125, 125, 21, 
code4dna.com, 152, 152, 13, 
servbio.hpc.ncsu.edu:81, 771, 771, 22, 
210.218.222.110:8080, 47, 47, 1, 
sefapps02.qut.edu.au, 604, 604, 71, 
togogenome.org, 662, 662, 154, 
192.168.0.171:8080, 4, 4, 1, 
jbrowse-test.sgn.cornell.edu, 1229, 1229, 217, 
bigyo, 12, 12, 1, 
bioinf.mind.meiji.ac.jp, 4654, 4654, 303, 
193.200.1.27, 4, 4, 1, 
titin.ucd.ie, 1181, 1181, 93, 
bigyo.btc, 721, 721, 1, 
www.seadb.org, 232, 232, 23, 
peach.fafu.edu.cn, 352, 352, 29, 
boots, 32, 32, 1, 
genomes.missouri.edu:8080, 885, 885, 70, 
172.32.67.158:8080, 184, 184, 14, 
ngs.molgenrug.nl, 497, 497, 26, 
bmi.xmu.edu.cn, 1970, 1970, 148, 
coffee-genome.southgreen.fr, 26, 26, 14, 
users.scicore.unibas.ch, 3, 3, 1, 
peach.igh.cnrs.fr, 1186, 1186, 23, 
133.6.126.90, 242, 242, 4, 
plantgenomics.snu.ac.kr, 1010, 1010, 282, 
www.jbrowse.renlab.org, 258, 258, 36, 
petunia.sgn.cornell.edu:8080, 7, 7, 3, 
pseudomonas.com, 574, 574, 284, 
chlamy.abudhabi.nyu.edu, 52, 52, 21, 
demo.digitalhealthlabs.com:8443, 5, 5, 1, 
ec2-54-67-97-132.us-west-1.compute.amazonaws.com:8080, 31, 31, 1, 
megraw.cgrb.oregonstate.edu, 34, 34, 17, 
amor.cms.hu-berlin.de, 92, 92, 24, 
ec2-52-34-166-222.us-west-2.compute.amazonaws.com, 203, 203, 2, 
iomics-research.interpretomics.co, 179, 179, 14, 
138.37.58.52:8080, 24, 24, 5, 
192.168.99.101:8081, 1, 1, 1, 
microbial.biomax.de:8820, 16, 16, 2, 
cicarvardb.icrisat.org, 153, 153, 40, 
thoba.sanbi.ac.za:8080, 961, 961, 41, 
pave.niaid.nih.gov, 20, 20, 12, 
x-staging.platomics.com, 144, 144, 14, 
mothra.ornl.gov, 114, 114, 28, 
stage.palm-genome-http.cirad.fr, 9, 9, 1, 
www.cassavagenome.org, 731, 731, 140, 
blue.usbod.astrazeneca.net, 326, 326, 31, 
115.145.138.237, 935, 935, 13, 
hank.bio.ed.ac.uk, 224, 224, 33, 
pfizer.bxgenomics.com, 10, 10, 5, 
dev.wormbase.org:10004, 49, 49, 13, 
beta.pseudomonas.com, 80, 80, 56, 
peanutbase.org, 3626, 3626, 396, 
134.192.156.45, 1, 1, 1, 
agripestbase.org, 154, 154, 75, 
tomato-webapollo.sgn.cornell.edu, 145, 145, 71, 
10.35.229.18, 377, 377, 14, 
sysbio.sysu.edu.cn, 2206, 2206, 240, 
chambo.umd.edu, 129, 129, 41, 
amphimedon.qcloud.qcif.edu.au, 176, 176, 91, 
moldxbioinfo.mynetgear.com, 5, 5, 2, 
genomes.missouri.edu, 171, 171, 31, 
ec2-54-84-165-141.compute-1.amazonaws.com, 2, 2, 2, 
eco-blast1:8080, 123, 123, 1, 
www.cazy.org, 886, 886, 221, 
150.254.121.200, 34, 34, 11, 
www.maizeinflorescence.org, 7, 7, 5, 
www.bowhead-whale.org, 867, 867, 196, 
172.21.198.221, 24, 24, 1, 
10.200.150.118, 255, 255, 89, 
www.termitegenome.org:8080, 135, 135, 75, 
10.114.143.20, 514, 514, 138, 
lis-stage.agron.iastate.edu, 1264, 1264, 8, 
grape2, 23, 23, 1, 
gwas-browser.nygenome.org, 233, 233, 154, 
52.7.73.148, 591, 591, 21, 
www.jbrowse.org, 2, 2, 2, 
gbrowse-test.sgn.cornell.edu, 3, 3, 3, 
192.168.122.92, 36, 36, 1, 
plabipd.de, 15, 15, 13, 
jbrowse-dev.corp.zoetis.com:9080, 138, 138, 3, 
arkham.exp.dc.uba.ar, 1287, 1287, 144, 
bacster.phibred.com, 815, 815, 12, 
sysbio.informatics.iupui.edu, 209, 209, 67, 
maizegametophyte.org, 513, 513, 47, 
biogrinder.ims.net, 11, 11, 2, 
results.genoma4u.com, 69, 69, 31, 
apollo-dev.nal.usda.gov, 729, 729, 46, 
10.19.8.178, 9, 9, 1, 
s-az-devarcher, 61, 61, 2, 
apollo.omeally.com, 46, 46, 8, 
results.biomol-ngs.com, 33, 33, 12, 
clover-garden.kazusa.or.jp, 29, 29, 1, 
192.168.5.172, 19, 19, 2, 
compbio.korea.ac.kr, 94, 94, 11, 
192.168.52.169, 82, 82, 9, 
www.actinidia.nz:8080, 116, 116, 2, 
185.45.23.197:5080, 189, 189, 56, 
52.34.131.67, 241, 241, 4, 
www.bioinfor.org, 713, 713, 127, 
als2077a-unix1.science.oregonstate.edu, 40, 40, 17, 
140.109.55.18, 14, 14, 4, 
db.edbc.org, 79, 79, 18, 
cgrd.hzau.edu.cn, 13, 13, 10, 
gensas2.bioinfo.wsu.edu:8080, 8, 8, 4, 
133.26.84.100, 63, 63, 6, 
jbrowse.big.ac.cn, 211, 211, 2, 
beta.burkholderia.com, 25, 25, 22, 
bo.csam.montclair.edu, 92, 92, 8, 
silkbase.ab.a.u-tokyo.ac.jp, 445, 445, 58, 
10.128.48.24:3002, 50, 50, 1, 
spruce.plantphys.umu.se:8105, 162, 162, 83, 
147.99.112.52, 563, 563, 19, 
192.168.103.9, 384, 384, 2, 
192.168.100.62, 180, 180, 2, 
ginsengdb.snu.ac.kr, 368, 368, 18, 
10.88.206.59, 2779, 2779, 20, 
dev.cassava-genome-http.cirad.fr, 55, 55, 4, 
dev.palm-comparomics.southgreen.fr, 117, 117, 11, 
133.26.84.80, 108, 108, 4, 
expose.ethz.ch, 134, 134, 37, 
133.26.84.46, 2669, 2669, 12, 
nicotiana-webapollo.sgn.cornell.edu, 1557, 1557, 27, 
10.68.225.43, 52, 52, 6, 
stage.banana-genome-http.cirad.fr, 34, 34, 5, 
192.168.52.243, 21, 21, 1, 
myosotis, 103, 103, 1, 
192.168.5.129, 281, 281, 2, 
dev.jbrowse.southgreen.fr, 1992, 1992, 46, 
139.165.112.30, 90, 90, 3, 
bioinfo.bas.roche.com:8080, 113, 113, 3, 
jgm-cssc.jax.org, 10, 10, 4, 
nlfij-s2723, 19, 19, 2, 
ngspipelines2.toulouse.inra.fr:9004, 1, 1, 1, 
10.176.253.77, 218, 218, 3, 
jbrowse.ag.epa.gov, 243, 243, 21, 
orca2.tamu.edu, 201, 201, 64, 
urgi.versailles.inra.fr, 143, 143, 27, 
10.0.53.135, 374, 374, 2, 
lipm-hal.toulouse.inra.fr, 40, 40, 1, 
localhost:8090, 4138, 4138, 106, 
als2077-unix1.science.oregonstate.edu, 868, 868, 25, 
smic.reefgenomics.org, 56, 56, 40, 
bovinegenome.org:8080, 12, 12, 9, 
petunia-webapollo.sgn.cornell.edu, 327, 327, 55, 
localhost:5555, 47, 47, 1, 
apollo-dev.nal.usda.gov:8080, 105, 105, 10, 
maize.jcvi.org, 119, 119, 53, 
54.213.211.40, 16, 16, 2, 
informatics, 38, 38, 6, 
bioinfo, 349, 349, 2, 
labbioinfo.ufpel.edu.br, 43, 43, 19, 
datil:8081, 51, 51, 1, 
sunflowergenome.org, 1465, 1465, 393, 
bioinformatics.forsyth.org, 1011, 1011, 39, 
172.16.1.16:8080, 5, 5, 1, 
ec2-54-175-123-106.compute-1.amazonaws.com, 3, 3, 1, 
brd.isisph.com, 58, 58, 1, 
simrbase.sgc.loc, 966, 966, 3, 
biocomp.phibred.com, 681, 681, 27, 
ec2-54-85-252-36.compute-1.amazonaws.com, 18, 18, 3, 
jbrowse-dev.yeastgenome.org, 223, 223, 18, 
10.4.4.3, 286, 286, 1, 
jbrowse.dobzhanskycenter.org, 110, 110, 64, 
10.253.21.10, 66, 66, 1, 
sicily.lanl.gov, 333, 333, 2, 
analysis.dev.archerdx.com, 19, 19, 3, 
efishgenomics.zoology.msu.edu, 91, 91, 55, 
analysis.preview.archerdx.com, 500, 500, 28, 
bartontools.dpb.carnegiescience.edu, 34, 34, 4, 
www.hardwoodgenomics.org, 410, 410, 66, 
genome.arizona.edu, 6, 6, 4, 
zhoulab5.rccc.ou.edu, 185, 185, 104, 
monevbiogen.or.id, 5, 5, 5, 
120.25.220.32:7777, 6, 6, 6, 
10.211.55.6:8080, 36, 36, 1, 
210.36.48.182, 81, 81, 12, 
togodb.kazusa.or.jp, 306, 306, 2, 
i.animalgenome.org, 835, 835, 364, 
ncig-genomebrowser.anu.edu.au, 108, 108, 87, 
10.69.10.234, 1132, 1132, 2, 
pgdbj.jp, 182, 182, 19, 
chicken-repeats.inra.fr, 78, 78, 40, 
137.189.43.55:8080, 3, 3, 1, 
bioinfo2.ugr.es, 9, 9, 8, 
mars.capitolium.net:8080, 4, 4, 2, 
palm-genome-http.cirad.fr, 361, 361, 47, 
vert.fri.uni-lj.si, 114, 114, 20, 
192.168.56.101, 1721, 1721, 38, 
10.85.1.95:8080, 65, 65, 6, 
fungalgenomics.science.uu.nl:8080, 1065, 1065, 71, 
cho-epigenome.boku.ac.at, 633, 633, 96, 
141.40.254.2:7080, 2, 2, 2, 
192.168.100.153, 1, 1, 1, 
www.ibinom.com, 67, 67, 34, 
210.46.85.200, 112, 112, 46, 
gif.biotech.iastate.edu, 26, 26, 8, 
hahn-lab-blast.bio.indiana.edu, 23, 23, 4, 
192.168.50.235, 16, 16, 3, 
betula.biosci.helsinki.fi:8080, 1241, 1241, 59, 
bicresources.jcbose.ac.in, 389, 389, 158, 
192.168.1.8, 34, 34, 12, 
sweetpotato.plantbiology.msu.edu, 1347, 1347, 86, 
sweetpotato-dev.plantbiology.msu.edu, 112, 112, 6, 
homd.org, 59, 59, 1, 
200.239.83.23, 3, 3, 2, 
77.235.253.188:8084, 17, 17, 3, 
localhost:8889, 100, 100, 5, 
dtra-edge-dev-01.biotech.cdc.gov, 1, 1, 1, 
na6, 17, 17, 1, 
dev.rgd.mcw.edu, 506, 506, 13, 
10.10.10.130, 8, 8, 4, 
ec2-54-152-5-199.compute-1.amazonaws.com, 4, 4, 1, 
10.22.55.182, 32, 32, 1, 
sgenome, 44, 44, 1, 
botryllus.stanford.edu, 362, 362, 84, 
10.22.55.192, 99, 99, 1, 
rapsodyn-is.genouest.org, 457, 457, 16, 
10.201.158.202:88, 24, 24, 11, 
sgenomebrowser, 7, 7, 1, 
sc.reefgenomics.org, 44, 44, 29, 
xt.reefgenomics.org, 39, 39, 30, 
10.199.99.101, 945, 945, 23, 
plantomics.mind.meiji.ac.jp, 188, 188, 27, 
boris.dobzhanskycenter.org, 2, 2, 1, 
garfield2.dobzhanskycenter.org, 27, 27, 17, 
garfield2.dobzhanskycenter.ru, 3, 3, 2, 
pallas.bi.up.ac.za:8081, 381, 381, 15, 
ricebase.org, 635, 635, 204, 
bioinfo.vanderbilt.edu, 60, 60, 24, 
172.16.0.171:8080, 21, 21, 3, 
marmoset.dna.bio.keio.ac.jp, 221, 221, 17, 
124.17.27.143, 649, 649, 17, 
140.113.29.227:32770, 4, 4, 2, 
pc404515, 1, 1, 1, 
46.101.243.162, 1, 1, 1, 
albiorix.bioenv.gu.se, 34, 34, 20, 
lifs001.ust.hk, 17, 17, 6, 
dev.pseudomonas.com, 136, 136, 8, 
216.47.151.240:8080, 3917, 3917, 64, 
dnasubway.iplantcollaborative.org, 774, 774, 121, 
dataset-explorer:8082, 7, 7, 1, 
vbrowser.delta18.com:8000, 3, 3, 3, 
vpbrowse.org:8000, 56, 56, 15, 
ecompressa.nig.ac.jp, 11, 11, 3, 
14.139.32.56, 16, 16, 14, 
166.104.77.48, 246, 246, 6, 
jbrowsephoenix.abudhabi.nyu.edu, 215, 215, 36, 
panflam.korea.ac.kr, 246, 246, 11, 
www.picb.ac.cn, 1143, 1143, 288, 
192.168.80.21, 273, 273, 11, 
daudin.icmb.utexas.edu, 224, 224, 76, 
jbrowse-test.genereg.net, 2, 2, 1, 
172.17.1.18, 5, 5, 1, 
mmodev2:8080, 385, 385, 1, 
mmodev.sb-roscoff.fr, 882, 882, 52, 
163.9.71.34, 71, 71, 3, 
ism.ucsd.edu, 350, 350, 10, 
ec2-52-87-216-194.compute-1.amazonaws.com, 4, 4, 1, 
www.cgr.liv.ac.uk, 143, 143, 26, 
137.205.68.42, 666, 666, 79, 
titin.ucd.ie:8080, 18, 18, 1, 
retrogenedb.amu.edu.pl, 920, 920, 54, 
bdg.hfut.edu.cn, 400, 400, 69, 
dev.ngc.mcw.edu, 61, 61, 3, 
www.ashgenome.org, 244, 244, 43, 
134.192.156.48, 3, 3, 1, 
137.131.57.86, 23, 23, 1, 
bioinformatics.sandia.gov, 20, 20, 15, 
langelabtools.wsu.edu, 129, 129, 61, 
genom.litbang.pertanian.go.id, 74, 74, 16, 
192.168.118.225:8080, 107, 107, 13, 
gemdbj.ncc.go.jp, 62, 62, 21, 
genomevolution.org, 12100, 12100, 2165, 
mandolin.caltech.edu, 180, 180, 12, 
p53.hydra.mki.co.jp, 6, 6, 2, 
jbrow.se, 8, 8, 1, 
10.46.33.18:8443, 11, 11, 1, 
10.88.34.207:8443, 158, 158, 1, 
hs-cas.hundsun.com, 1, 1, 1, 
im-dev.wormbase.org, 10, 10, 6, 
abims.sb-roscoff.fr, 1676, 1676, 29, 
efam.nzcorp.net., 2, 2, 2, 
insilico.iari.res.in, 19, 19, 12, 
titin.ucd.ie:8081, 23, 23, 6, 
tcap.pw.usda.gov, 15, 15, 5, 
vm64-60.iplantcollaborative.org, 17, 17, 2, 
