,833699
tesla.pcbi.upenn.edu,1084
fungalgenomics.science.uu.nl:8080,1074
childslab.plantbiology.msu.edu,1068
phytozome-dev.jgi.doe.gov,1067
157.92.24.249,1059
dev.niagads.org,1051
192.168.50.14:1338,1046
192.168.10.200,1044
www.bioinfocabd.upo.es,1044
epigen-zhong.discovery.wisc.edu,1043
www.candidagenome.org,1041
localhost:3000,1020
plantgenomics.snu.ac.kr,1010
www.rgd.mcw.edu,1001
www.genome.arizona.edu,979
thoba.sanbi.ac.za:8080,967
simrbase.sgc.loc,966
bioinformatics.forsyth.org,962
albiorix.bioenv.gu.se:8080,961
115.145.138.237,955
hikakudb.nig.ac.jp,943
192.168.7.11,942
10.199.99.101,936
genome.integragen.com,935
furlonglab.embl.de,922
retrogenedb.amu.edu.pl,920
genomes.missouri.edu:8080,918
pegasus-bioinfo.angers-nantes.inra.fr,914
192.168.0.67:8085,909
www.cazy.org,907
glassdev.phibred.com:8081,907
myers.bioinformatics.nl,903
old-gep.wustl.edu,898
134.245.63.238:8080,894
biocc.hrbmu.edu.cn:82,892
86.50.169.181:8080,889
darter2.westga.edu,883
172.28.1.172:1339,878
mmodev.sb-roscoff.fr,875
mines.legumeinfo.org,875
als2077-unix1.science.oregonstate.edu,865
www.naked-mole-rat.org,864
www.bowhead-whale.org,862
prime-seq.ohsu.edu,858
137.205.123.127,858
ukapdlnx115.ukapd.astrazeneca.net,850
i.animalgenome.org,840
pichiagenome-ext.boku.ac.at,834
bacster.phibred.com,826
10.22.57.121,820
pichiagenome.boku.ac.at,819
10.42.0.5:8080,817
fabienpichon.com,797
servbio.hpc.ncsu.edu:81,796
tripal.feilab.net,796
ziggy.dbi.udel.edu,793
dnasubway.iplantcollaborative.org,785
tokyogw.bits.cc,783
142.3.188.121,777
matsui-lab.riken.jp,776
marmorkrebs.dkfz.de,772
gbr3,768
jbrowse-hopbase.cgrb.oregonstate.edu,768
donald,765
asrp.danforthcenter.org,762
bigyo.btc,761
128.192.99.108:8080,758
genomes.stowers.org:8080,758
172.29.4.215:8080,753
u031331.science.uva.nl,743
apollo-dev.nal.usda.gov,734
wikigenomes.org,727
stiberhad.asuscomm.com,725
210.75.224.168:8080,725
172.28.1.200:1337,724
sacibase.ibb.unesp.br,722
jbrowse.girg.um.edu.my,716
verdant.iplantcollaborative.org,715
jbrowse.insilicogen.com,712
www.bioinfor.org,710
jbrowsevar.renlab.org,707
songyanglab.sysu.edu.cn,706
www.cassavagenome.org,702
www.lmb.cnptia.embrapa.br,701
130.92.155.151:8085,694
137.205.68.42,692
symmacmini.local:8080,692
nobel.gedv.pasteur.fr,686
hanamdg.sial.com:8080,683
genomics.usal.es,682
viewer.shigen.info,677
biocomp.phibred.com,677
133.26.84.168,677
jbrowsedev.com:1337,677
10.46.33.103:8443,676
124.17.27.143,666
jbrowse.roche.com:8080,666
54.201.172.115,652
irhs-001,650
togogenome.org,647
aiptasia.reefgenomics.org,646
vbioimage-jbrowse.ibmp.unistra.fr,645
webapollo.science.uu.nl,642
dev.novocraft.com,638
cho-epigenome.boku.ac.at,626
ced.medisapiens.com,626
localhost:8085,624
54.213.138.252,618
ricebase.org,618
52.7.73.148,614
bmi.xmu.edu.cn:8000,612
sefapps02.qut.edu.au,605
webapollo.science.uu.nl:8080,605
weatherby.genetics.utah.edu,593
dh135,591
172.28.1.169:1339,584
210.46.80.146,582
pseudomonas.com,573
10.88.33.44:8443,572
biol-schen03d.sols.uq.edu.au:8080,569
133.26.84.84,569
10.46.33.101:8443,568
efishgenomics.integrativebiology.msu.edu,567
133.48.62.140,564
www.plabipd.de,563
ccbb.jnu.ac.in,557
cas-ie2-apollo.uoregon.edu,556
shoofly.bdgp.berkeley.edu,552
bioinfo.tsinghua.edu.cn,551
10.0.12.60,550
www.rmbreeding.cn,549
10.0.0.253,549
maizegametophyte.org,548
dnamethylome.org,547
192.168.5.82,547
192.168.1.101,545
133.48.58.6:8080,544
crrd.mcw.edu,543
smegmatis.wadsworth.org,533
bio-dev-jbrowse-01.dev.rd.rijkzwaan.net,532
hymenopteragenome.org:8080,529
210.46.85.174:8011,529
10.42.0.1:8050,526
srv00.recas.ba.infn.it,526
genedenovoweb.ticp.net:81,525
140.110.17.14,525
192.168.1.168:8080,522
localhost:8087,516
asparagus.uga.edu,514
viewer.genomenext.net,514
zoidberg.bi.up.ac.za:8080,500
10.114.143.20,498
analysis.preview.archerdx.com,498
dev.rgd.mcw.edu,498
archer,497
genexpdb.okstate.edu,494
www.biw.kuleuven.be,489
gmod2.sb-roscoff.fr,486
lipm-browsers.toulouse.inra.fr,485
10.34.229.30,484
172.28.1.177:1339,483
bioinformatics.caf.ac.cn,481
137.189.43.231,479
ngs.molgenrug.nl,474
192.168.25.105,473
browse2.big.ac.cn,472
147.99.112.52,471
thines-lab.senckenberg.de,471
headnode,470
172.24.4.35,467
rbp.hgc.jp,465
mmodev2:8085,465
shigen.nig.ac.jp,465
bioweb1.es.dupont.com:1557,464
ceres.snu.ac.kr:9993,462
jcvi.org,460
rapsodyn-is.genouest.org,457
211.69.140.130,457
gmod.ncgas.indiana.edu,457
10.88.34.68:8443,454
cazy208.afmb.local,452
tomatolab.cshl.edu,449
jbrowse.hpcagrogenomics.wur.nl,448
192.168.20.200,448
www.hardwoodgenomics.org,447
52.44.239.15,446
192.168.103.9,445
192.168.138.64,445
ava4.usav1svgend02.ambrygenetics.local,445
maizeinflorescence.org,440
nike.snu.ac.kr:7776,435
naked-mole-rat.org,433
silkbase.ab.a.u-tokyo.ac.jp,433
78.34.25.102:6143,432
localhost:8010,431
inb.bsc.es,429
jbrowse.roche.com,428
jbrowse.cgb.indiana.edu,428
binkley.candidagenome.org,426
collembolomics.nl,418
141.244.133.122,416
rest.rgd.mcw.edu,409
kyle.rgd.mcw.edu,408
genomes.stowers.org,407
rd-jbrowse.app.pmi,405
test-bioinfo,405
snipadev.qatar-med.cornell.edu,404
bcrf-chlorella.unl.edu,402
54.213.96.151,401
www.liub.cn,399
nicotiana.sgn.cornell.edu,398
bdg.hfut.edu.cn,396
mtb.wadsworth.org,393
cbsuss05.tc.cornell.edu,393
bicresources.jcbose.ac.in,391
192.168.56.10:7082,391
pallas.bi.up.ac.za:8081,389
192.168.99.100:8080,389
www.tongjidmb.com,386
mmodev2:8080,385
headnode-vbox,382
taurus.mskcc.org,381
analysis.unlimited.enz.local,380
test.sb-roscoff.fr,380
54.201.156.29,379
10.35.229.18,377
10.0.53.135,374
ginsengdb.snu.ac.kr,369
ivis-dev:8000,364
kitbase.ucdavis.edu,363
gensas.bioinfo.wsu.edu,362
202.127.22.67,362
3dproteome.swan.ac.uk,362
palm-genome-http.cirad.fr,361
lithium.kaust.edu.sa,359
163.26.2.35,359
bioinfo.imtech.res.in,357
blue.usbod.astrazeneca.net,357
bioinfo,357
peach.fafu.edu.cn,355
172.22.15.26,351
ism.ucsd.edu,350
webapollo-pre.vectorbase.org,350
birdbeta.isisph.com,349
dev.dhcp.bhsai.net:8023,348
134.192.156.202:8080,348
218.106.117.181:8714,345
petunia-webapollo.sgn.cornell.edu,343
hanusch-staging.platomics.com:10005,343
botryllus.stanford.edu,342
vollbrechtlab.org,340
brecandb.igib.res.in,338
sicily.lanl.gov,334
10.122.114.30,334
localhost:5800,334
10.1.1.22,333
10.253.21.69,333
besc-portal.ornl.gov,332
217.146.218.134,332
weatherby.genetics.utah.edu:8080,330
cmdcolin.github.io,330
beetlebase.org,327
dictybase.org,327
sunlab.cau.edu.cn,327
ceres.snu.ac.kr:9991,326
tgenomebrowser,325
124.16.129.16:9612,323
intermine.ncgr.org,322
jbrowse-poc.awsv.l.synthgeno.global,322
10.35.229.179,321
sulab.scripps.edu,320
192.168.20.99,320
10.10.10.41:1337,319
hpoly.nematodegenomes.org,318
togodb.kazusa.or.jp,317
salmonella.wadsworth.org,315
localhost:84,314
cmb.bnu.edu.cn:8088,313
172.17.0.2,312
jbrowse.brachypodium.org,311
127.0.0.1:9292,309
192.168.5.129,308
localhost:1234,307
biocenter.sysu.edu.cn,306
civet.nhgri.nih.gov,306
103.18.1.187,305
jorvisvm-lx.igs.umaryland.edu,305
cluster.florimond-desprez.fr,304
10.46.33.102:8443,304
210.34.81.56,303
172.16.10.33:8888,303
192.168.56.5,301
dgdarcher4.chop.edu,299
cgr.liv.ac.uk,299
132.66.114.84,299
141.244.134.147,299
research.nhgri.nih.gov,297
10.11.16.29,297
10.4.4.3,296
172.25.69.30,296
gpsdev.pdx.aws,293
localhost:83,289
222.200.187.174,289
bio-dev-jbrowse.rz.rijkzwaan.net,288
134.121.247.55,288
megabat.nig.ac.jp,288
rgv.genouest.org,287
10.37.0.243,287
aardwolf.bio.indiana.edu:7082,287
ibs-bosiljkat-ux1:8787,286
ec2-54-201-126-170.us-west-2.compute.amazonaws.com,285
ssf-aqg-wsk03,285
axtell-web.science.psu.edu,283
www.seadb.org,282
152.7.99.249,280
dgr.dasmaninstitute.org,278
127.0.0.1:8080,278
ws.g-language.org,278
www.yuyufei.cn,278
gbdev.nig.ac.jp,277
www.interomics.eu,277
www.sunflowergenome.org,276
52.34.131.67,276
aegilops.wheat.ucdavis.edu,276
dog.medisapiens.com,274
localhost:1337,274
lis-dev.agron.iastate.edu,273
192.168.80.21,273
172.28.1.113:8000,273
localhost:8092,270
10.10.56.31:8080,266
172.28.1.169:1338,264
192.168.138.94,264
10.207.146.10,263
genome.lygos.com,263
coffee-genome.org,261
202.90.159.218,260
cr28603.uzbrussel.be:83,259
www.syntheticyeastresource.com,258
www.jbrowse.renlab.org,258
jbrowse.molgenrug.nl,257
10.200.150.118,254
192.168.211.223,254
localhost:9200,253
192.168.1.230:8081,252
nike.snu.ac.kr:7779,250
panflam.korea.ac.kr,248
regadb.bahia.fiocruz.br:8080,248
192.168.100.250,247
166.104.77.48,246
192.168.34.39,245
gpsdevqa.pdx.aws,245
jbrowse.lisanwanglab.org,244
133.6.126.90,243
jbrowse.ag.epa.gov,243
www.ashgenome.org,242
esharkgenome.imcb.a-star.edu.sg:8000,242
192.168.1.9,241
172.16.202.2,241
129.130.90.211,240
regadb.bahia.fiocruz.br,240
latte.nhgri.nih.gov,239
www.burkholderia.com,238
10.10.85.105,237
139.165.112.252,236
lint78.pythonanywhere.com,235
iomics-research.interpretomics.co,234
gwas-browser.nygenome.org,234
192.168.1.203,233
133.26.84.101,233
localhost:81,232
128.104.238.177,232
150.254.122.197,231
192.168.14.85,231
daudin.icmb.utexas.edu,230
172.28.1.200:1338,230
localhost:2000,229
marmoset.dna.bio.keio.ac.jp,228
103.18.1.188,227
rayfin.uoregon.edu,227
219.245.195.47,227
jbrowse-dev.yeastgenome.org,226
apollo.nematodegenomes.org,226
dv-node-02.age.mpg.de:8080,225
10.33.106.121,225
jbrowse.ncgas.indiana.edu,223
hank.bio.ed.ac.uk,222
genomes.missouri.edu,220
szagenann.szbk.hu,220
genome.brain-map.org,220
235318.ichengyun.net,219
genoweb.toulouse.inra.fr,219
genome-browser.indiana.edu,219
172.20.20.240,219
www.scnbase.org,219
192.168.1.101:8080,218
133.26.84.82,218
clogmia.test.crg.eu,218
srv-rz-vm-1.ethz.ch,218
118.159.189.228,217
nina,217
119.15.169.70,217
www.phyzen-lab.com,216
transgenicmutationmodels.badrodent.com,216
emboss.abc.hu,215
genomes.bioinf.nioo.knaw.nl,215
0.0.0.0:1337,214
portal.vartotal.net,214
lfz043.ust.hk,214
jbrowsephoenix.abudhabi.nyu.edu,213
www.angiosperms.org,213
jbrowse.big.ac.cn,211
134.192.156.42,211
sysbio.informatics.iupui.edu,210
115.145.203.19:8080,210
10.176.253.77,209
sgn-test.sgn.cornell.edu,209
ssl.biomax.de,208
orca2.tamu.edu,207
arusha.nhgri.nih.gov,207
10.124.128.172,207
swissregulon.bc2.unibas.ch,207
bitdev.ent.iastate.edu,204
if-plp-haustorium2.ad.ufl.edu,204
olympus.unige.ch:8080,203
ec2-52-34-166-222.us-west-2.compute.amazonaws.com,203
172.16.203.26,202
inil-genome.xcoo.jp,201
jbrowsebios.com,201
simrbasedev.sgc.loc,201
apollo02:8080,200
www.gensas.org:8080,200
ivis-dev:8010,199
192.168.0.7,199
plantomics.mind.meiji.ac.jp,198
archer407.chop.edu,198
solgenomics.org,198
pgdbj.jp,197
210.46.85.201:8080,197
zhoulab5.rccc.ou.edu,195
bf2i126.insa-lyon.fr:1980,193
hentze2.embl.de,192
10.37.0.245,191
stripedbass.animalgenome.org,190
cerbero.ba.itb.cnr.it,190
192.168.78.133:1339,189
172.16.1.36,188
172.32.67.158:8080,188
185.45.23.197:5080,188
ngsnd001.jpn-pharm.ad.local:8080,188
localhost:8098,188
apollo.sgn.cornell.edu,188
210.72.92.144,187
139.165.112.30,186
cosmic.dev.sanger.ac.uk,185
0.0.0.0:8000,185
202.116.90.9,185
localhost:5802,185
localhost:9000,185
webapollo.lepbase.org,183
mandolin.caltech.edu,182
jbrowse.igs.umaryland.edu,182
bw.scottcain.net,182
amphimedon.qcloud.qcif.edu.au,181
10.10.10.128,181
52.18.1.94:9050,181
192.168.100.62,180
zed.tacc.utexas.edu,180
cornut.org,180
192.168.1.201,180
10.4.2.11:9002,180
neuroseq.janelia.org,178
157.92.24.222:8081,177
192.168.2.79,177
77.235.253.122:8084,176
www.phyzen.com,176
207.162.243.6,175
cazy212.afmb.local,175
lbb.cnpae.embrapa.br,174
chogenome.org,173
methusalix.biomax.de:8840,172
10.0.0.29,172
chrx:8080,172
asm08.c01.l.synthgeno.global:8989,171
momo.lanl.gov,171
fierstworms.ua.edu,171
10.47.117.93,170
28.11.141.13,170
10.199.24.250,170
147.99.255.142,170
spruce.plantphys.umu.se:8105,169
hts-etl-01,169
192.168.1.51,168
girg.um.edu.my,168
v22.popgenie.org,168
p00201:8443,168
210.72.92.108,166
jbrowse.deenabio.com,164
140.113.29.227:49998,164
test.parasite.wormbase.org,163
kumamushi.org,162
code4dna.com,161
crdd.osdd.net,161
127.0.0.1:5000,160
10.145.28.203,159
localhost:8002,159
localhost:8302,159
spore.ibb.waw.pl,159
10.113.72.170,159
210.218.222.110:8080,158
10.88.34.207:8443,158
docker:8080,158
jbrowse-nrgene-server,158
s-az-archer,157
linux23.iah.ac.uk,157
222.195.93.172,156
192.64.83.141,156
adama.ifr.ibpc.fr,156
mib.amu.edu.pl,155
199.133.225.19,155
192.168.0.5,155
cicarvardb.icrisat.org,154
chlorella.unl.edu,154
icugi3.feilab.net,154
192.168.0.100,153
192.168.0.21,153
dbsecsys.bhsai.org,153
agripestbase.org,152
153.150.121.50,152
bronco.swmed.edu,152
172.28.1.200:1336,151
localhost:8082,151
gif-server.biotech.iastate.edu,150
111.198.139.96:17436,149
archeranalysis-prod,148
172.31.7.93,148
141.40.254.27:8080,148
www.peanutbase.org,147
129.15.40.234:7997,146
10.234.10.116,146
bioinfo.ihb.ac.cn,146
192.168.1.5,146
tomato-webapollo.sgn.cornell.edu,145
galaxy-epi:8086,145
bf2i300.insa-lyon.fr:8080,145
x-staging.platomics.com,144
10.0.0.193:8080,144
192.168.100.65,144
urgi.versailles.inra.fr,143
jbrowse.jcvi.org,143
www.cgr.liv.ac.uk,143
141.20.62.214,143
158.108.145.118,143
192.168.20.19:8002,143
homestead.faire-dash,141
54.40.223.148:8080,140
x-test.platomics.com:10005,139
jbrowse-dev.corp.zoetis.com:9080,138
musaceae.plantbiology.msu.edu,138
secure.genomenext.net,138
chogenome.am.lilly.com,137
192.168.5.105,137
10.0.0.15,136
ukapdlnx005.ukapd.astrazeneca.net,136
seadb.org,136
gensas.bioinfo.wsu.edu:8080,136
dev.pseudomonas.com,136
knowpulse.usask.ca:8082,136
www.ab.wur.nl,136
172.17.34.21:1002,136
kona.nhgri.nih.gov,135
ceres.snu.ac.kr:9992,135
ion.ctegd.uga.edu,134
seabassgb.sanbi.ac.za,134
langelabtools.wsu.edu,134
webblast.ipk-gatersleben.de,134
chambo.umd.edu,134
www.termitegenome.org:8080,134
expose.ethz.ch,134
browser.porteco.org,134
bioinfo.deinfo.uepg.br,134
biominer-b2b.hci.utah.edu,133
cuarchp.ucdenver.pvt,133
192.168.5.61,132
bugbears.ncbs.res.in,132
10.171.5.38:8081,131
114.242.245.42:8080,131
jjwanglab.org,130
amborella.uga.edu,130
127.0.0.1:3000,130
192.168.14.101,130
10.0.0.91,130
130.192.168.211,129
10.0.7.66,129
nod6,129
localhost:5801,129
ecoevo-db.unit.oist.jp,128
138.4.136.220,128
pipelines.crrd.mcw.edu,128
analysis.caris.archerdx.com,128
193.166.24.75,128
combattb.sanbi.ac.za:8080,128
hpclife.th-wildau.de,127
172.28.1.100:1339,127
apollo.bioinformatics.itb.cnr.it:8080,126
ibeetle-base.uni-goettingen.de,125
genome.monarchinitiative.org,124
jbrowse-test-1,124
192.168.20.109,124
165.91.108.136,123
eco-blast1:8080,123
cmb.bnu.edu.cn:8084,123
211.57.200.66,123
ivis-dev.corp.personalis.com:8081,123
maize.jcvi.org,121
dev.palm-comparomics.southgreen.fr,121
147.100.164.47,121
glassqa.phibred.com:8081,121
cluster-dev.florimond-desprez.fr,121
210.34.84.49,121
galaxy-epi,121
cedarssinaiopsqa.pdx.aws,121
nioo0025.nioo.int,120
10.112.31.15,119
iris.angers.inra.fr,119
124.17.27.214,119
www.actinidia.nz:8080,118
192.168.99.100,118
jcdb.xtbg.ac.cn,118
p00201.genebay.co.jp:8443,118
vert.fri.uni-lj.si,117
dev.www.flyrnai.org,117
bioext02.eva.mpg.de,117
192.168.16.55,116
gb.csdb.cn,116
52.36.33.8:8443,116
caesar.dna.affrc.go.jp,116
scicomp-pc-1-1:8088,116
172.24.4.39,116
mothra.ornl.gov,115
bioinfo.bas.roche.com:8080,114
mmb.pcb.ub.es,114
graveleylab.cam.uchc.edu,114
iomics.interpretomics.co,114
meg.sciencedesigners.com,114
www.angiosperm.org,114
dpuk.digitalhealthlabs.com,113
192.168.0.24,113
192.168.1.103:8080,113
10.200.55.15,113
14.139.59.221,112
sweetpotato-dev.plantbiology.msu.edu,112
sbsngsserver.biochem.uci.edu,112
asm-microsvcs01.l.synthgeno.global:8989,112
www.bio-bigdata.net,111
phylofish.sigenae.org,111
192.168.50.128:1338,111
ncig-genomebrowser.anu.edu.au,110
jbrowse.dobzhanskycenter.org,110
hazelnut.blast.mocklerlab.org,110
91.134.141.45,110
202.195.250.106:8080,110
www.xenmine.org,109
breve.nhgri.nih.gov,109
polebio.lrsv.ups-tlse.fr,109
peanutbase-stage.agron.iastate.edu,109
genseq-h0.science.uva.nl,109
apollo-dev.nal.usda.gov:8080,108
210.46.85.200,108
192.168.87.125,108
data.sciapps.org,108
compute2.bioinfo.wsu.edu,108
chominis-curation.igs.umaryland.edu,108
133.28.110.100:8099,108
10.22.55.192,107
192.168.118.225:8080,107
piton.eb.local:8000,107
abrpi.genome.edu.au,107
scripts-dev.jcvi.org,106
10.11.4.81,106
172.20.20.236:8080,106
10.128.48.24:3002,105
54.200.4.180,105
133.26.84.80,105
proteogenomics.zhang-lab.org,105
www.serioladb.org,105
dev.wormbase.org:9003,104
172.20.20.16:2227,104
localhost:3080,104
10.10.155.175,103
myosotis,103
pieriandxopsqa.pdx.aws,103
210.72.156.24,103
192.168.1.229:8081,103
spore.ibb.waw.pl:8080,103
fernbase.org,103
parasitoids.labs.vu.nl,103
pennycress.umn.edu,102
192.168.1.119,102
localhost:9090,102
genomics.fcav.unesp.br,102
10.118.36.237,101
134.192.156.78:8080,101
hinton-jbrowse.s3-website-eu-west-1.amazonaws.com,101
vbsg-ngyll2.vbsg.slu.se,100
localhost:8889,100
172.16.0.173:8080,100
genome.univ-perp.fr,99
172.17.191.8,99
10.0.10.6,99
139.196.7.224:8080,99
10.103.30.202:8080,99
angiosperms.org,99
192.168.76.54:8080,99
swissregulon.unibas.ch,99
bioinfo.bti.cornell.edu,98
na-no-imac.local,98
export.uppmax.uu.se,98
www.cassavabase.org,98
127.0.1.1,98
124.207.226.177:8081,98
129.186.142.33:8080,97
dev.wormbase.org:10004,97
mary:8080,97
158.109.215.68,97
52.41.107.111:8443,97
compbio.korea.ac.kr,96
122.205.95.122,96
www.thines-lab.senckenberg.de,96
137.215.75.30,96
ellens-macbook:8001,96
10.33.1.179,96
gva.cornut.org,96
59.79.248.217,96
goblin2.medisapiens.com,96
trident.stjude.org,95
www.hentze.embl.de,95
128.233.222.29,95
apollo02:8443,95
chlamy-organelles.ibpc.fr,95
54.166.140.4,95
efishgenomics.zoology.msu.edu,94
140.109.57.178,94
172.20.20.241,94
lxwsdkc017.phibred.com:8080,94
bivouac.rockefeller.edu,93
amor.cms.hu-berlin.de,93
localjbrowse-1.12.0,93
192.168.0.108,93
bis.zju.edu.cn,93
192.168.20.150,93
modem.hzau.edu.cn,92
rmbreeding.net,92
bo.csam.montclair.edu,92
160.36.205.61:8095,92
norstar.usask.ca,92
web.malab.cn,91
10.235.225.248:8080,91
52.38.206.65:8443,91
147.46.172.224,91
www.gensas.org,91
ceres.snu.ac.kr:9990,90
show.genebang.com,90
fernbase-webapollo.sgn.cornell.edu,90
gcc.genome.edu.au,89
localhost:10001,89
plvpatharch1.mskcc.org,89
195.251.21.101,89
35.157.21.46,89
www.asgdb.org,88
134.192.156.201:8080,88
141.42.185.37,88
219.245.196.150,88
opathy.uv.es,88
192.168.52.169,87
antgenomes.org,87
staph.unavarra.es:10080,87
137.189.43.208,87
192.168.59.103,87
hiro.cs.nmsu.edu:8082,87
132.236.156.159,87
192.168.7.11:8080,87
p00701.genebay.co.jp:8443,87
bio.jsm.co.jp,86
heliodor.nki.nl,86
192.168.202.128,86
sponge.bio.indiana.edu,86
chicken-repeats.inra.fr,85
cnidarians.bu.edu,85
52.26.230.25:8443,85
alphagenomixopsqa.pdx.aws,85
203.101.228.52:8080,85
genomesdev.stowers.org,85
119.6.97.227:7076,84
10.200.55.55,84
koke.asrc.kanazawa-u.ac.jp,83
mmo.sb-roscoff.fr,83
africanrice.abudhabi.nyu.edu,83
10.13.200.25,83
sappdev.wurnet.nl,83
piton.eb.local,83
bhgbrpub02.jax.org,83
bf2i300.insa-lyon.fr:1980,83
will_mckinley_laptop.corp.personalis.com:8081,83
steinmetzlab.embl.de,82
jbrowse.yeastgenome.org,82
www.patric.local:3000,82
25.20.236.19,82
www.solgenomics.com,82
