,1322951
130.239.131.199:8080,2479
155.253.6.64,2478
cpt.tamu.edu,2460
webapollo.science.uu.nl,2442
scicomp-pc-1-10gb:8088,2430
bbric-pipelines.toulouse.inra.fr,2403
karp.kws.de,2375
mmb.irbbarcelona.org,2373
www.cgr.liv.ac.uk,2362
gensas2.bioinfo.wsu.edu:8080,2318
genepyramid.stanford.edu,2312
weatherby.genetics.utah.edu,2312
wwww.patricbrc.org,2310
ecoevo.unit.oist.jp,2277
10.69.10.234,2271
bovinegenome.org,2247
daudin.icmb.utexas.edu,2179
www.pseudomonas.com,2179
cgp-jbrowse-dev.internal.sanger.ac.uk:8000,2158
mothra.ornl.gov,2152
ziggy.dbi.udel.edu,2110
pollux:8080,2082
hicp.big.ac.cn,2070
peach.fafu.edu.cn,2066
192.168.5.57,2059
180.208.58.19,2030
phytozome-dev.jgi.doe.gov,2022
192.168.2.17:8080,1993
202.185.98.27,1991
172.16.44.14,1983
dev.jbrowse.southgreen.fr,1980
10.4.4.74,1974
genomics.usal.es,1972
aviangenomes.org,1964
retrogenedb.amu.edu.pl,1959
bugs2.sgul.ac.uk,1945
10.207.4.138,1943
192.168.10.222,1940
jgm-cssc.jax.org,1939
donald,1935
eluxt03,1926
192.168.1.137,1891
nfingb.leibniz-fli.de,1888
140.113.15.121,1881
assay.archerdx.com,1868
genetics.genomicscenter.nl,1866
210.46.85.204:82,1862
www.bioinfor.org,1843
nicotiana-webapollo.sgn.cornell.edu,1829
www.cazy.org,1828
localhost:8085,1804
141.244.40.114,1802
epigen-zhong.discovery.wisc.edu,1799
169.237.215.34,1790
gregorylab.bio.upenn.edu,1789
dna-marker.biocenter.helsinki.fi,1778
137.189.43.160:8080,1771
arkham.exp.dc.uba.ar,1770
127.0.0.1:8888,1768
www.rmbreeding.cn,1766
192.168.7.11,1746
192.168.103.9,1743
seadb.org,1739
rhesus.amu.edu.pl,1737
childslab.plantbiology.msu.edu,1734
lis-dev.agron.iastate.edu,1731
beta.immunobase.org,1717
210.218.217.106,1715
www.naked-mole-rat.org,1710
www.hardwoodgenomics.org,1692
esharkgenome.imcb.a-star.edu.sg:8000,1691
bioinf.eva.mpg.de,1691
omics.hydra.mki.co.jp,1674
shoofly.bdgp.berkeley.edu,1670
115.156.239.3,1657
172.29.4.215:8080,1656
aztec:8080,1656
popfly.uab.cat,1646
59.77.16.70,1644
eco-blast1:8080,1641
abims.sb-roscoff.fr,1632
orca2.tamu.edu,1626
efam.nzcorp.net,1617
hyun-imac.vbi.vt.edu,1616
bioinfolab.miamioh.edu,1615
localhost:84,1610
dynamix.bzh,1591
bicresources.jcbose.ac.in,1586
lis-stage.agron.iastate.edu,1586
192.168.0.67:8085,1586
i.animalgenome.org,1563
v22.popgenie.org,1562
122.224.130.170:8008,1556
bioinfo.jit.edu.cn,1551
192.168.1.35,1538
plantsmallrnagenes.psu.edu,1530
cr28603.uzbrussel.be,1524
10.114.143.20,1522
134.192.156.78:8080,1520
fungalgenomics.science.uu.nl:8080,1518
jcvi.org,1511
141.244.40.209:10005,1511
araport-dev.jcvi.org,1510
triticeaetoolbox.org,1504
algorithms.cnag.cat,1503
jbrowse-hopbase.cgrb.oregonstate.edu,1501
epigenomics.fleming.gr,1501
eqtl.tk,1493
biopvm201.pfr.co.nz:9080,1490
agripestbase.org,1488
diamond.tuebingen.mpg.de,1485
beta.phytozome.net,1461
109.105.115.37,1459
dev.wormbase.org:9003,1451
beetlebase.org,1443
147.99.108.97,1443
192.168.12.91,1438
biocenter.sysu.edu.cn,1433
proteinmodelling-server.swan.ac.uk,1421
genedenovoweb.ticp.net:81,1420
192.168.4.118,1404
dnasubway.iplantcollaborative.org,1392
sweetpotato.plantbiology.msu.edu,1392
123.136.65.117,1391
10.35.229.18,1391
maize-dev.jcvi.org,1388
imethyl.iwate-megabank.org,1375
petunia-webapollo.sgn.cornell.edu,1373
157.92.24.249,1370
10.1.40.249,1364
donking.synpromics.com,1352
10.93.132.25,1345
bioinformatics.unl.edu,1340
cgp-jbrowse-live.internal.sanger.ac.uk:8000,1331
90.0.0.213,1320
dev2.apps.thermofisher.com,1317
dev2.cassava-genome.cirad.fr,1313
dev.rgd.mcw.edu,1303
furlonglab.embl.de,1302
yeastgenome.org,1300
vollbrechtlab.org,1291
10.200.150.118,1288
jbrowse.gcbi.com.cn,1282
tomatolab.cshl.edu,1282
togogenome.org,1282
cho-epigenome.boku.ac.at,1279
148.247.230.43,1277
archer4011ipu.chop.edu,1273
10.71.115.70,1271
apollo.nematodegenomes.org,1261
moffittdev2.pieriandx.com,1256
192.168.240.33,1255
lithium.kaust.edu.sa,1252
cluster.florimond-desprez.fr,1249
54.199.148.45,1236
192.168.80.127,1231
aquarius.mskcc.org,1226
als2077-unix1.science.oregonstate.edu,1223
ec2-54-183-226-37.us-west-1.compute.amazonaws.com,1217
genexpdb.ou.edu,1216
webapollo-dev.jcvi.org:8380,1214
genomearchitect.org,1210
data.koalagenome.org,1209
aiptasia.reefgenomics.org,1205
jbrowse.insilicogen.com,1197
target.sbg.qb.fcen.uba.ar,1196
jbrowse.big.ac.cn,1192
goblin2.medisapiens.com,1180
kona.nhgri.nih.gov,1178
jjwanglab.org,1175
172.16.1.36,1175
garfield2.dobzhanskycenter.org,1174
124.17.27.143,1172
192.168.1.101,1170
botryllus.stanford.edu,1169
simrbase.sgc.loc,1163
jbrowse.dobzhanskycenter.org,1157
localhost:63342,1154
gbrowse2014.biology.gatech.edu,1154
gwas-browser.nygenome.org,1154
140.221.92.212,1148
cgrd.iwhgao.com,1147
apollo.ppglab.org,1139
mullet419server.tamu.edu,1129
150.254.121.200,1129
browse2.big.ac.cn,1119
109.105.115.17,1115
10.35.229.180,1111
songyanglab.sysu.edu.cn,1111
codon.genomics.purdue.edu,1108
gensas.bioinfo.wsu.edu:8080,1106
10.14.65.61,1101
gensas.bioinfo.wsu.edu,1099
hikakudb.nig.ac.jp,1096
133.6.126.90,1090
scripts-dev.jcvi.org,1090
gmod-dev.nal.usda.gov,1089
10.199.99.101,1087
pm.sysu.edu.cn,1086
bioweb1.es.dupont.com:1557,1084
tesla.pcbi.upenn.edu,1084
115.145.138.237,1079
www.tongjidmb.com,1078
inb.bsc.es,1076
apollo.acnfp.org,1073
cosmic.dev.sanger.ac.uk,1061
naked-mole-rat.org,1055
jbrowse.wormbase.org,1053
dev.niagads.org,1051
192.168.50.14:1338,1046
www.bioinfocabd.upo.es,1044
www.candidagenome.org,1041
thoba.sanbi.ac.za:8080,1039
indigo-cultures.cbrc.kaust.edu.sa,1038
www.ebi.ac.uk,1021
www.rgd.mcw.edu,1020
ginsengdb.snu.ac.kr,1019
nioo0025.nioo.int,1007
seabassgb.sanbi.ac.za,1007
hank.bio.ed.ac.uk,1001
gensas2.bioinfo.wsu.edu,998
geco.iplantc.org,995
192.168.80.21,983
birdbeta.isisph.com,983
hidenaga2.nig.ac.jp,981
knowpulse2.usask.ca,981
10.235.225.248:8080,974
lpgws505.nci.nih.gov:48080,973
202.116.74.52,962
albiorix.bioenv.gu.se:8080,961
141.244.40.218:10005,960
viewer.shigen.info,957
als2077a-unix1.science.oregonstate.edu,954
verdant.iplantcollaborative.org,954
127.0.0.1:8080,953
10.207.4.59,952
test.apps.lifetechnologies.com,951
marinegenome.kr,950
www.genome.med.kyoto-u.ac.jp:44445,949
rd-jbrowseqa.app.pmi,947
smegmatis.wadsworth.org,946
galaxy.memphis.edu,945
besc-portal.ornl.gov,943
pegasus-bioinfo.angers-nantes.inra.fr,943
jb.jhhlab.tw,936
silkbase.ab.a.u-tokyo.ac.jp,935
gb.csdb.cn,930
pg6-cosmic.sandbox.sanger.ac.uk,926
rmbreeding.net,925
maize.jcvi.org,918
u031331.science.uva.nl,916
10.0.0.253,915
10.42.0.1,914
ngs.molgenrug.nl,911
beckett.iplantcollaborative.org:8080,908
glassdev.phibred.com:8081,907
sina.lbl.gov,903
jbrowse.igs.umaryland.edu,899
old-gep.wustl.edu,898
archer.archerdx.com,896
webapollo-pre.vectorbase.org,894
134.245.63.238:8080,894
www.jbrowse.renlab.org,892
www.plabipd.de,889
86.50.169.181:8080,889
10.90.75.245:8080,888
planmine-test.mpi-cbg.de:8088,888
172.28.1.172:1339,878
spruce.plantphys.umu.se:8080,876
sefapps02.qut.edu.au,876
mines.legumeinfo.org,875
genomedesigner.freelogy.org,865
trialomics.com,862
172.32.66.195:8080,860
prime-seq.ohsu.edu,858
137.205.123.127,858
137.205.68.42,856
160.10.11.131,855
bf2i300.insa-lyon.fr,854
bcaballi-curation.igs.umaryland.edu,854
103.18.1.187,853
jbrowse-dev.jcvi.org,852
cnidarians.bu.edu,851
ukapdlnx115.ukapd.astrazeneca.net,850
synbio.jgi-psf.org,844
dev.www.flyrnai.org,842
analysis.preview.archerdx.com,842
bacster.phibred.com,842
192.168.52.169,841
fabienpichon.com,840
192.168.1.126,837
52.7.73.148,836
192.168.1.14,835
sgn-test.sgn.cornell.edu,835
dreampipe01.dreamgenics.local:81,834
pichiagenome-ext.boku.ac.at,834
128.192.99.48:8080,833
jbrowse.hpcagrogenomics.wur.nl,832
194.167.36.182,830
localhost:3080,828
localhost:81,827
irhs-001,826
143.169.52.77,824
marxianus.labkm.net,821
10.22.57.121,820
s-az-archer,817
10.42.0.5:8080,817
sysbio.informatics.iupui.edu,815
ecse001001bd.epam.com:81,812
genomes.missouri.edu,807
jbrowse.ncgas.indiana.edu,807
134.192.156.46,805
dev.apps.lifetechnologies.com,803
binf1.memphis.edu,802
tripal.feilab.net,796
asap.kws.de,794
pseudomonas.com,794
caesar.dna.affrc.go.jp,792
bioinfo.tsinghua.edu.cn,791
biol-schen03d.sols.uq.edu.au:8080,789
gbdev.nig.ac.jp,789
133.26.84.100,787
apollo-dev.nal.usda.gov,784
tokyogw.bits.cc,783
172.18.218.201,781
142.3.188.121,777
matsui-lab.riken.jp,776
marmorkrebs.dkfz.de,772
www.maizeinflorescence.org,769
192.168.140.133,768
192.168.192.229:8080,767
sjcchadoweb01.driscolls.com,766
143.169.52.58,764
192.168.25.105,763
bigyo.btc,761
zed.tacc.utexas.edu,758
128.192.99.108:8080,758
genomes.stowers.org:8080,758
evolve.bio.titech.ac.jp,749
vert.fri.uni-lj.si,742
nicotiana.sgn.cornell.edu,740
130.34.188.77:8080,739
beta.pseudomonas.com,739
uk2as251,738
mtb.wadsworth.org,737
maizeinflorescence.org,737
dev:8099,736
bio.jsm.co.jp,736
10.55.60.10,734
www.cassavagenome.org,732
172.28.1.200:1337,729
10.0.2.15,728
wikigenomes.org,727
trident.stjude.org,726
stiberhad.asuscomm.com,725
210.75.224.168:8080,725
bdg.hfut.edu.cn,718
138.102.92.3,715
172.26.27.13:8084,712
localhost:9020,710
www.syntheticyeastresource.com,710
fcgr.memphis.edu,709
210.46.85.205:81,708
jbrowsevar.renlab.org,707
jbrowse-dev.yeastgenome.org,706
130.92.155.151:8085,704
www.lmb.cnptia.embrapa.br,701
129.130.90.211,700
204.14.157.21,699
202.97.205.69:84,699
taurus.mskcc.org,697
pathkb.lanl.gov,695
10.10.119.240,694
genexpdb.okstate.edu,693
symmacmini.local:8080,692
www.termitegenome.org:8080,691
192.168.14.34,690
54.213.138.252,686
nobel.gedv.pasteur.fr,686
130.56.248.230:8080,684
hanamdg.sial.com:8080,683
kitbase.ucdavis.edu,681
localhost:9000,680
133.26.84.168,677
jbrowsedev.com:1337,677
203.239.28.85,676
10.46.33.103:8443,676
141.244.133.122,675
megraw.cgrb.oregonstate.edu,671
reilly.lt.local:8080,669
pallas.bi.up.ac.za:8081,669
crisldev.niagads.org,668
dev.patricbrc.org,667
archer,667
bugbite.ingm.ad,667
jurgen.local,666
jbrowse.roche.com:8080,666
192.168.6.12:81,665
192.168.72.64,665
ec2-54-193-74-199.us-west-1.compute.amazonaws.com,665
54.201.172.115,665
gen100.imb-jena.de,663
bo.csam.montclair.edu,661
web3,659
128.192.99.28,658
petunia.sgn.cornell.edu:8080,658
thines-lab.senckenberg.de,658
cgc.kribb.re.kr,657
ricebase.org,657
ggg.psc.riken.jp,655
hiv-dev.lanl.gov:8081,653
10.176.253.77,652
birdtest.isisph.com,649
bmi.xmu.edu.cn:8000,649
server1.pgb.liv.ac.uk,648
192.168.4.110,645
www.chenlianfu.com:8080,645
vbioimage-jbrowse.ibmp.unistra.fr,645
maizegametophyte.org,644
webapollo-dev.jcvi.org:8280,637
antgenomes.org,637
139.165.112.252,636
10.132.20.21,632
61.152.171.124:9090,628
tools.psc.riken.jp,628
ced.medisapiens.com,626
wren.bcf.ku.edu,625
bcrf-chlorella.unl.edu,624
10.47.117.93,624
rice.medbiodata.com,623
bivouac.rockefeller.edu,620
dev.dhcp.bhsai.net:8023,616
192.168.1.9,614
cbsuss05.tc.cornell.edu,605
webapollo.science.uu.nl:8080,605
webapollo.bioinformatics.csiro.au:8080,600
www.phyzen-lab.com,600
cloud.life.tsinghua.edu.cn,599
p53.hydra.mki.co.jp,598
dictybase.org,598
acic2012.iplantcollaborative.org,596
203.239.28.24,594
dh135,591
mmodev2:8080,590
gbrowse2015.biology.gatech.edu,589
150.164.24.16:8888,588
jbrowse-dev.corp.zoetis.com:9080,588
urgi161,585
172.28.1.169:1339,584
54.186.201.182,583
210.46.80.146,582
www4g.biotec.or.th,579
10.0.0.15,578
202.127.22.67,577
10.145.28.203,577
v0311.nbi.ac.uk:8080,575
134.192.156.42,575
192.168.138.64,575
140.113.111.166,574
10.88.33.44:8443,572
stlubiodscprd01:1080,570
dev.banana-genome.cirad.fr,570
133.26.84.84,569
brecandb.igib.res.in,568
10.46.33.101:8443,568
efishgenomics.integrativebiology.msu.edu,567
dev.palm-comparomics.southgreen.fr,565
172.16.99.53,563
192.168.121.127,562
192.168.1.37,561
boots,561
ccbb.jnu.ac.in,557
cas-ie2-apollo.uoregon.edu,556
srv00.recas.ba.infn.it,555
jbrowsephoenix.abudhabi.nyu.edu,554
www.xenmine.org,552
192.168.5.82,552
spruce.plantphys.umu.se:8102,551
140.113.15.88,550
10.0.12.60,550
cgr.liv.ac.uk,546
syntheticyeastresource.com,545
133.48.58.6:8080,544
crrd.mcw.edu,543
gpweb20.nersc.gov,542
banana,541
cysteine.dbi.udel.edu,541
10.34.229.30,538
assembly.ab.wurnet.nl,536
webapollo.lepbase.org,536
192.168.1.51,535
ms2.chem.yorku.ca,534
tebichi.oist.jp,534
rapsodyn-is.genouest.org,534
salmonella.wadsworth.org,532
bio-dev-jbrowse-01.dev.rd.rijkzwaan.net,532
180.149.49.37,530
spruce.plantphys.umu.se:8105,530
eco-91l:8080,529
210.46.85.174:8011,529
10.30.231.82,528
chogenome.org,525
140.110.17.14,525
192.168.1.168:8080,522
civet.nhgri.nih.gov,520
localhost:8087,519
compbio.korea.ac.kr,516
viewer.genomenext.net,514
erp.novelbio.com,513
138.4.136.220,513
dev.cottongen.org,512
www.seadb.org,511
webblast.ipk-gatersleben.de,510
www.duck8823.net,509
147.100.164.47,509
10.0.0.210,508
mos.nzcorp.net,508
test.apps.thermofisher.com,508
127.0.1.1,503
dgr.dasmaninstitute.org,503
10.0.96.180,502
zoidberg.bi.up.ac.za:8080,500
jbrowse111.tgac.ac.uk,499
jbrowse.molgenrug.nl,499
heptamer.tamu.edu,497
gmod.ncgas.indiana.edu,495
147.99.112.52,495
ecoevo-db.unit.oist.jp,492
jbrowse.gdcb.iastate.edu:8080,491
www.liub.cn,491
www.biw.kuleuven.be,489
arabica.nhgri.nih.gov,486
192.168.225.100,485
tomato-webapollo.sgn.cornell.edu,485
192.168.8.246:7777,485
lipm-browsers.toulouse.inra.fr,485
ubupilus.calsnet.cornell.edu,484
acnfp.org,484
i5k.nal.usda.gov,484
rpcazy.afmb.univ-mrs.fr,484
headnode,483
172.28.1.177:1339,483
210.46.85.200,482
localhost:9292,481
bio-dev-jbrowse.rz.rijkzwaan.net,481
bioinformatics.caf.ac.cn,481
jbrowse.localhost,480
137.189.43.231,479
54.213.96.151,478
10.88.36.208:8080,477
apollo.bioinfo.hr,477
bio-dev.local,474
sugar.epfl.ch,473
10.88.34.68:4003,473
www.patric.local:3000,473
rbp.hgc.jp,472
george.missouri.edu,471
blue.usbod.astrazeneca.net,471
127.0.0.1:5000,468
informatics,468
52.34.131.67,468
bobby.embl.de,467
amborella.uga.edu,467
172.24.4.35,467
10.75.119.205,466
orygenesdb.cirad.fr,465
192.168.34.39,465
mmodev2:8085,465
shigen.nig.ac.jp,465
54.235.177.158,464
bioinfo.vanderbilt.edu,463
202.97.205.69:82,462
ceres.snu.ac.kr:9993,462
10.88.37.0:8080,461
genomes.chemie.uni-greifswald.de:8080,461
meta.uoregon.edu,461
zdglab.iimcb.gov.pl,459
192.168.99.100:8080,459
archeranalysis-prod,457
assest.maze.co.jp,457
211.69.140.130,457
132.236.156.168,456
panflam.korea.ac.kr,456
160.129.143.178:8080,455
10.88.34.68:8443,454
v11.popgenie.org,448
103.18.1.188,448
192.168.20.200,448
amphimedon.qcloud.qcif.edu.au,447
10.10.56.31:8080,447
ec2-54-201-126-170.us-west-2.compute.amazonaws.com,447
chimayo:8010,446
52.44.239.15,446
ava4.usav1svgend02.ambrygenetics.local,445
172.16.4.29,444
localhost:8050,444
rcshigen2.lab.nig.ac.jp,443
ox-dev.medisapiens.com,443
bioinfo.imtech.res.in,442
rd-jbrowse.app.pmi,439
tauber1.haifa.ac.il:3000,437
solgenomics.org,437
10.10.70.106,436
147.47.106.128,435
cicarvardb.icrisat.org,435
nike.snu.ac.kr:7776,435
jbrowse.fungalgenomes.org,434
192.168.0.161,432
78.34.25.102:6143,432
tetrahymena.jcvi.org,431
localhost:8010,431
145.18.222.224,430
sicily.lanl.gov,429
jbrowse.roche.com,428
jbrowse.cgb.indiana.edu,428
10.88.36.143:8080,426
binkley.candidagenome.org,426
www.ashgenome.org,425
aegilops.wheat.ucdavis.edu,425
jbrowse-devel.igs.umaryland.edu,421
rbpome.ncrnalab.org,420
clex.medisapiens.com,419
210.46.85.180:8080,419
sharchaea.life.illinois.edu,419
collembolomics.nl,418
172.18.50.215,417
192.168.1.50,417
db.edbc.org,417
lncrna.smu.edu.cn,416
biobox:90,414
amor.cms.hu-berlin.de,413
im-crop.snu.ac.kr,412
nb7-cosmic.sandbox.sanger.ac.uk,409
rest.rgd.mcw.edu,409
dev.cassava-genome.cirad.fr,408
kyle.rgd.mcw.edu,408
10.0.53.135,407
genomes.stowers.org,407
edgeset.lanl.gov,406
10.35.229.179,406
localhost:8082,405
zhoulab5.rccc.ou.edu,405
test-bioinfo,405
snipadev.qatar-med.cornell.edu,404
bioinformatics.sandia.gov,403
192.168.16.55,403
ukapdlnx005.ukapd.astrazeneca.net,402
192.168.1.114,401
192.168.100.62,400
138.37.58.52:8080,398
147.46.224.209:8080,397
192.168.1.27,396
jbrowse.jcvi.org,395
epi-pc628.epi.bris.ac.uk,393
10.0.0.193:8080,392
192.168.56.10:7082,391
genomics.si.edu.s3-website-us-east-1.amazonaws.com,390
moffittdev3.pieriandx.com,389
vbioinfoval,389
107.170.50.123,388
www.iomics.in,387
ism.ucsd.edu,387
iodice.niagads.org,385
jbrowse.sviridis.org,385
10.128.48.24:8080,385
pipeline-dev.dnalc.org:8080,384
modem.hzau.edu.cn,384
headnode-vbox,384
beta.bowhead-whale.org,383
gbrowse.bcid.ca,383
ec2-54-212-83-22.us-west-2.compute.amazonaws.com,382
172.16.1.23,380
192.168.0.100,380
tgenomebrowser,380
analysis.unlimited.enz.local,380
test.sb-roscoff.fr,380
54.201.156.29,379
bioinfo.bti.cornell.edu,378
mmb.pcb.ub.es,377
localhost:20005,376
mmo.sb-roscoff.fr,375
www.rosaceae.org,375
bioinfo,375
ix.bi.up.ac.za:8080,374
192.168.1.7,374
nfmc.res.in,374
163.9.71.34,373
ts41,372
172.16.1.164,370
stripedbass.animalgenome.org,370
gif.biotech.iastate.edu,370
pdev-bac.ncgr.org,366
ivis-dev:8000,364
iomics-research.interpretomics.co,363
bf2i300.insa-lyon.fr:8080,362
160.36.207.15:8888,362
3dproteome.swan.ac.uk,362
77.235.253.122:8084,361
10.71.224.80:8080,361
palm-genome-http.cirad.fr,361
jbrowse-test,360
192.168.1.148,360
192.168.25.16,359
163.26.2.35,359
ai-jbrowsedev1.niaid.nih.gov,358
marmome-dev,357
scicomp-pc-1-1:8088,356
www.cbrc.kaust.edu.sa,355
clex.medisapiens.org,351
compute2.bioinfo.wsu.edu,351
10.10.85.105,351
172.22.15.26,351
52.5.56.20,349
134.192.156.202:8080,349
zoopsych-57.umd.edu,348
ec2-54-88-15-231.compute-1.amazonaws.com,348
amereslab.imba.oeaw.ac.at,347
10.4.4.3,347
csiro.webapollo.helicoverpa.org:8080,346
archer.preview.enzymatics.com,346
218.106.117.181:8714,345
ec2-54-243-201-231.compute-1.amazonaws.com,344
134.99.200.47,343
hanusch-staging.platomics.com:10005,343
sswap.dendrome.ucdavis.edu,341
172.16.0.171:8080,340
hlbws.sgn.cornell.edu,340
web1.dev.cloudalign.accetia.com,339
marmoset.dna.bio.keio.ac.jp,339
10.102.20.171:8080,338
141.244.140.101,338
genebrowser.lifemodules.org,338
210.46.85.207:8080,336
beta.burkholderia.com,335
10.122.114.30,334
localhost:5800,334
129.100.19.239,333
10.90.75.247:8080,333
10.1.1.22,333
10.253.21.69,333
217.146.218.134,332
cmdcolin.github.io,330
www.eqtl.tk,329
10.88.34.68:8080,328
172.32.67.158:8080,327
