host,mean,count
queitsch-jbrowse.gs.washington.edu,268.5524,315
furlonglab.embl.de,268.0094,1486
mirlab.sysu.edu.cn,260.1183,1124
210.46.85.201:8080,257.7461,3277
medicago.toulouse.inra.fr,251.1972,5912
brecandb.igib.res.in,245.0000,128
192.168.34.39,243.8816,642
plant1.kazusa.or.jp,236.8296,223
browse.yeastgenome.org,234.3814,46958
www.yeastgenome.org,233.9266,21635
yeastgenome.org,232.7162,881
141.244.134.147:11000,231.5144,208
jbrowse.cirad.fr,219.9684,190
cassavabase.org,216.8396,187
bio.driscolls.com,214.4259,108
159.226.67.237:6080,213.5081,431
regulomics.mimuw.edu.pl,211.1765,895
10.113.72.170,210.6793,736
yzlab.lhgene.cn:8082,205.4713,174
binkley.candidagenome.org,205.3226,155
donald,202.9307,952
staging.wormbase.org,197.7671,6671
10.112.31.15,196.1509,974
www.candidagenome.org,189.6850,2184
jbrowse-qa.adpa3.local,185.4873,158
10.10.116.28,182.7863,365
eclipse.biotec.or.th,182.4054,148
www.genomevolution.org,175.1077,130
delta.big.ac.cn,161.3637,1339
jbrowse.brachypodium.org,160.0000,341
strawberry-garden.kazusa.or.jp,159.4432,176
124.16.129.16:9612,158.1734,640
10.75.119.196,155.0061,163
www.cgr.liv.ac.uk,154.0000,150
lulab.life.tsinghua.edu.cn,152.0631,1744
sysbio.sysu.edu.cn,150.9783,1520
137.189.43.231,149.3679,473
elrh6gene01.dow.com,145.7621,206
genomevolution.org,145.1179,13041
www.picb.ac.cn,141.7422,1439
jbrowse.intranet.dow.com,141.3711,1361
epigen-zhong.discovery.wisc.edu,141.2010,388
hymenopteragenome.org,139.7721,2005
gbr3,137.1393,1005
10.200.150.118,136.9632,136
192.168.3.253,135.8878,3386
10.1.0.2:8001,135.0000,260
crobiad.agwine.adelaide.edu.au,129.0466,236
xdlab.duckdns.org:18085,129.0093,107
wheat.it.csiro.au:8080,127.7331,236
togodb2.kazusa.or.jp,127.4995,949
zed.tacc.utexas.edu,126.7704,196
172.28.1.172:1339,124.2782,133
jbrowse-dev2.acpfg.local,123.0146,1233
10.1.0.2:8085,122.6754,912
137.189.43.55,122.6117,1692
sohi.ecology.kyoto-u.ac.jp,122.0455,572
colossus.biotec.or.th,121.3623,1002
www.tomatogenome.net,121.0000,722
192.168.1.14,120.6528,1011
apollo.tgac.ac.uk,119.7696,3233
genomes.stowers.org,117.7701,3227
bcg.abrc.sinica.edu.tw,117.2655,177
www252.lamp.le.ac.uk,116.0000,191
180.208.58.19,113.9117,3522
10.9.5.14:8080,112.9892,369
mmb.irbbarcelona.org,112.4948,386
222.200.187.174,112.4256,484
137.189.43.109,111.7168,1296
rgd.mcw.edu,109.1821,90369
titin.ucd.ie,108.2222,549
pipelines.rgd.mcw.edu,107.9009,9255
varitome.sgn.cornell.edu,107.6842,114
210.75.224.168:8080,107.5182,606
localhost:11000,106.9602,377
122.112.248.194,106.9059,1583
jbrowse.latrobe.edu.au,105.2482,282
jbrowse.org,103.1891,30109
13.113.77.198:8000,102.5106,284
10.4.0.11:6080,101.3776,196
jbrowse.roche.com:8080,101.0547,7363
glent-qa-1.be.bayercropscience,99.0333,1590
heliodor.nki.nl,98.5251,179
localhost,93.8368,25670
localhost:8080,93.5556,25448
146.118.105.131,91.9023,215
vre.multiscalegenomics.eu,91.1529,1020
apollo.vectorbase.org,91.0978,5215
10.245.128.39,90.9417,240
jbrowsevar.renlab.org,90.6862,615
150.164.24.16:8888,89.3248,274
10.254.253.53,89.2818,110
seeders.iptime.org:4880,88.7105,114
www.rgd.mcw.edu,88.4940,2184
jbrowse-dev2,88.2851,249
jbrowse.cgb.indiana.edu,87.7878,2059
192.168.1.39,87.5294,119
dev.rgd.mcw.edu,87.5272,808
10.75.206.133,86.9646,113
genome.monarchinitiative.org,84.8455,110
webapollo2.vectorbase.org,84.2359,4456
mmodev.sb-roscoff.fr,83.9246,1061
bmi.xmu.edu.cn,82.5699,579
129.194.89.207:8080,82.5036,137
139.224.10.167,82.2500,168
rest.rgd.mcw.edu,81.5777,476
10.71.115.210,81.5217,161
jbrowse.southgreen.fr,81.1095,16094
genome.igib.res.in,80.4337,671
inno.npz.local,80.2677,508
u031331.science.uva.nl,79.8342,374
130.220.208.2,79.2656,674
sacibase.ibb.unesp.br,78.7242,631
10.114.143.20,78.4277,809
aklppr31.pfr.co.nz.:8080,77.8303,919
jbrowse-test.sgn.cornell.edu,77.2357,980
192.168.56.1,76.3295,176
sysbio.gzzoc.com,75.0879,330
pathos:8080,74.2667,510
hpoly.nematodegenomes.org,74.0549,182
sweetpotato.plantbiology.msu.edu,73.6638,3474
biocomplx.phibred.com,72.1143,814
rcug-galaxy1.mh-hannover.local,71.1462,930
133.26.84.46,71.0816,490
aklppr31.pfr.co.nz.:19080,70.8537,123
bioinfo.cgiarad.org,70.6757,111
browser.porteco.org,69.9426,122
129.130.89.51,69.6699,724
192.168.140.186,69.3822,348
sollab.cshl.edu,67.3468,1116
147.46.172.224,66.7163,215
10.18.24.49,66.0403,124
10.200.0.171,65.8489,417
paramecium.i2bc.paris-saclay.fr,63.8632,1089
koke.asrc.kanazawa-u.ac.jp,63.8364,220
paramecium-beta.i2bc.paris-saclay.fr,63.6344,2943
genseq-h0.science.uva.nl,63.5614,1058
pc-biotech62.biologie.uni-greifswald.de,63.3488,129
p00701.genebay.co.jp:8443,63.1088,294
jbrowse.informatics.jax.org,62.7730,13302
jbrowse.bioinformatics.danforthcenter.org,61.7123,219
www.titinviewer.net,60.6593,135
www.niagads.org,60.1526,2903
genomes.stowers.org:8080,59.0919,653
nobel.gedv.pasteur.fr,58.8555,1682
hinton-jbrowse.s3-website-eu-west-1.amazonaws.com,58.6809,376
141.244.133.122,57.6563,160
wormbase.org,57.3107,280
bioinf.gen.tcd.ie,56.5645,6645
bcg.abrc.sinica.edu.tw:443,56.4841,347
localhost:50070,56.2914,151
tomatolab.cshl.edu,55.8852,427
137.205.123.127,54.9058,2230
211.69.140.130,54.8772,1979
10.4.1.101,54.8480,1191
202.127.22.67,54.8430,1236
128.146.132.152,54.2637,421
maizeinflorescence.org,54.0625,272
cnidarians.bu.edu,54.0000,172
bioinformatics.caf.ac.cn,53.9375,112
ibeetle-base.uni-goettingen.de,53.6286,140
www.scnbase.org,53.5093,108
jbrowse.intermine.org,52.9371,9001
apollo-stage.nal.usda.gov,52.8388,335
marchantia.info,52.4936,9814
www.syntheticyeastresource.com,52.4231,156
localhost:8888,52.4100,2405
203.101.225.212:8080,52.0000,134
brie.cshl.edu:8080,51.4371,151
ngs.molgenrug.nl,51.3032,498
matsui-lab.riken.jp,50.7093,8212
apollo-dev.nal.usda.gov,50.6705,1038
www.tetrans.ethz.ch,50.6571,175
www.wormbase.org,48.8271,1532157
ziggy.dbi.udel.edu,48.7744,164
coppolalab.ucla.edu,47.8593,135
apollo.nal.usda.gov,47.4815,243
www.citrusgenomedb.org,47.4459,1850
code4dna.com,47.3386,127
tfiid.med.harvard.edu,47.3072,345
icebox.lbl.gov,46.4988,2027
www.syntheticyeastresource.com:13080,46.4333,150
pgdbj.jp,46.1732,127
10.10.20.88,46.0870,207
ange-data-08.calcul.i2bc.paris-saclay.fr,46.0191,2043
simrbase.stowers.org,45.6777,757
localhost:8081,45.3321,533
10.0.0.253,45.1818,110
simrbase.stowers.org:8080,45.0286,105
210.27.97.108,44.6981,583
60.205.203.178:8082,44.6398,186
34.227.0.63,44.4298,121
hank.bio.ed.ac.uk,44.2672,393
152.7.99.230,44.1031,223
data.maizecode.org,43.8435,690
172.28.1.172:1002,43.6867,233
www.xwensoft.com,43.3191,141
old-gep.wustl.edu,43.2589,2387
data.koalagenome.org,43.0663,181
mines.legumeinfo.org,42.6398,2049
tcap.pw.usda.gov,42.2821,156
172.30.184.31,41.9591,171
10.0.0.48,41.9225,1032
silkbase.ab.a.u-tokyo.ac.jp,41.8450,4807
10.74.186.113,41.0185,108
lipm-browsers.toulouse.inra.fr,40.6983,2350
147.99.108.97,40.6741,313
,40.4782,162082
192.168.64.23,40.3984,123
phytozome.jgi.doe.gov,40.3267,552954
myers.bioinformatics.nl,39.9094,276
www.heliagene.org,39.9006,9151
147.99.112.52,39.5909,1413
antgenomes.org,39.2218,293
192.168.118.25,39.1930,114
localhost:5802,39.1284,109
sinin.kps.ku.ac.th,38.5490,204
10.4.4.74,38.3867,362
cpt.tamu.edu,38.1395,7088
bioinfo.florimond-desprez.fr,38.0640,328
hazelnut.blast.mocklerlab.org,38.0000,120
jcdb.xtbg.ac.cn,38.0000,218
dev.niagads.org,37.9525,1706
i.animalgenome.org,37.5584,711
dev.jbrowse.southgreen.fr,37.5119,2512
wolferine.ucd.ie,37.5046,878
172.19.35.54,37.4034,119
10.10.20.22,37.1656,163
docker-jbrowse-adebali.cloudapps.unc.edu,37.1342,149
192.168.1.220:3015,37.0086,116
101.200.190.143:8080,36.9800,451
140.109.183.233,36.9688,353
jbrowse.plantdhs.org,36.5714,1288
10.4.19.128,36.3005,183
www.pristionchus.org,36.1248,2107
blade05,36.0980,102
crrd.mcw.edu,35.9787,235
www.facebase.org,35.7141,766
genome.integragen.com,35.6486,259
agwg.rockefeller.edu:8080,35.1272,464
apollo.berkeleybop.io,35.0075,1738
150.254.123.119,34.8905,137
ssr,34.7838,569
aklppr31.pfr.co.nz.:9080,34.6204,216
arete,34.5775,1768
solgenomics.org,34.5551,254
dev.facebase.org,34.5092,489
jbrowse.xenbase.org,34.5078,4699
als2077-unix1.science.oregonstate.edu,34.4476,353
10.84.2.212,34.3750,104
192.168.0.69:8080,34.3533,368
192.168.1.50,34.2475,497
localhost:5801,34.1745,384
www.alfalfatoolbox.org,33.8426,1843
phytozome-dev.jgi.doe.gov,33.7361,2084
localhost:1337,33.6399,833
127.0.0.1,33.4352,2022
10.49.95.73,33.2030,133
bioinformatics.forsyth.org,32.9150,718
10.90.75.247:8080,32.7216,176
10.200.1.241,32.6402,403
172.24.105.32,32.1607,417
jbrowse.amyris.local,31.7816,1067
d-annotator.interomics.eu,31.5271,442
cucurbitgenomics.org,31.5200,49638
geneart.med.unideb.hu,31.1552,335
denovo.cnag.cat,31.1530,2275
172.29.2.74,31.0472,106
genolab.inp-toulouse.fr,31.0021,473
petunia-webapollo.sgn.cornell.edu,30.9326,386
p00201.genebay.co.jp:8443,30.7862,276
www.solgenomics.org,30.6928,293
172.29.2.99,30.5400,813
prime-seq.ohsu.edu,30.4172,755
plantdhs.org,30.4015,1771
192.168.25.167,30.3849,239
hikakudb.nig.ac.jp,30.1708,3793
lithium.kaust.edu.sa,30.1535,254
localhost:5800,30.1507,2972
asparagus.uga.edu,30.0000,138
research.nhgri.nih.gov,29.8154,130
phytozome-staging.jgi.doe.gov,29.7063,286
cap.ensemblgenomes.org,29.5906,1380
jbrowse.ncgas.indiana.edu,29.5795,302
192.168.56.101:8080,29.5438,160
jbrowse.ilweb01.lt.local,29.4356,101
bioinf.mind.meiji.ac.jp,29.3766,3956
dubcovskylab.ucdavis.edu,29.3361,4284
iris.angers.inra.fr,29.0193,2639
10.42.0.5:8081,29.0157,254
www.hgvd.genome.med.kyoto-u.ac.jp,29.0000,8772
mockler-jbrowse.mocklerlab.org,28.9905,846
www.flyrnai.org,28.8867,7624
jbrowse.molgenrug.nl,28.8417,1491
dev-a.smestorage.com,28.6748,329
irhs-001,28.5425,424
test-bioinfo,28.4505,182
10.10.19.184,28.4453,128
ricebase.org,28.4266,647
de.cyverse.org,28.3209,134
128.214.53.152:3838,28.2469,162
demo.genomearchitect.org,28.0652,506
localhost:2001,27.9662,148
115.146.89.73,27.9423,711
funbiotox.fafu.edu.cn,27.8018,217
www.sgn.cornell.edu,27.6606,3117
marmorkrebs.dkfz.de,27.6580,345
openstack-192-168-101-219.genouest.org,27.5041,246
njp-dev.jgi.doe.gov,27.3582,698
10.200.20.103:8082,27.3188,160
10.100.22.6,27.2440,959
spruce.plantphys.umu.se:8105,27.0000,132
www.solgenomics.net,26.9804,8863
www.lmb.cnptia.embrapa.br,26.9433,141
arusha.nhgri.nih.gov,26.5932,1303
solgenomics.net,26.4832,223573
exploreageno.me,26.3003,303
jbrowsedev.com:1337,26.2142,635
annotation-prod.scilifelab.se:8080,26.1617,1818
ibi.zju.edu.cn,26.0633,2260
ginsengdb.snu.ac.kr,26.0000,128
bf2i300.insa-lyon.fr:8080,25.7086,755
sgn.cornell.edu,25.6564,844
128.32.218.181:7070,25.5182,16288
10.75.119.195,25.5094,106
plantsmallrnagenes.science.psu.edu,25.4820,139
dictybase.org,25.4769,390
chogenome.org,25.4595,296
localhost:8098,25.4320,456
192.168.1.100:8080,25.2065,833
sas-us-leb-seq,25.1946,370
ihpe-249.univ-perp.fr,25.1849,119
dash,24.9193,4684
genomebrowser.uams.edu,24.6114,507
192.168.1.101,24.5542,323
peach.fafu.edu.cn,24.5259,580
aestivum.accwi.org.au:8080,24.3647,425
hymenopteragenome.org:8080,24.3115,427
133.48.62.140,24.1002,449
nfingb.leibniz-fli.de,24.0000,1009
www.forestrylab.org,23.9946,2609
10.176.253.77,23.8438,128
216.47.151.96:8085,23.7113,2917
59.79.232.11,23.6503,286
10.0.0.15,23.5535,215
maizegametophyte.org,23.4950,402
gbf.toulouse.inra.fr,23.4048,951
www.chogenome.org,23.1897,2135
localhost:9001,23.1296,108
10.200.37.235,23.0680,309
legumeinfo.org,23.0678,5306
sunflowergenome.org,22.9444,1528
dove.ceh.uvic.ca,22.9272,577
pegasus-bioinfo.angers-nantes.inra.fr,22.8575,1270
labby,22.7081,781
apollo.sgn.cornell.edu,22.2881,5960
imethyl.iwate-megabank.org,22.2594,1095
dev.www.flyrnai.org,22.0837,239
biotrainee.com,22.0472,127
lymedisease.med.ucf.edu,22.0000,192
pichiagenome-ext.boku.ac.at,21.9226,323
10.42.0.7:8081,21.9069,1697
jbrowse-test.xenbase.org,21.7866,5304
localhost:8090,21.6988,5308
bicresources.jcbose.ac.in,21.4577,1597
lis-stage.usda.iastate.edu,21.3811,509
www.collembolomics.nl,21.3777,188
134.245.63.238:8080,21.3038,879
mandolin.caltech.edu,21.2913,460
147.99.34.11,21.1061,132
bioinf.eva.mpg.de,21.0011,3763
134.192.156.202:8080,21.0000,1123
mmo.sb-roscoff.fr,20.9369,111
genoweb.toulouse.inra.fr,20.8972,253
bbric-pipelines.toulouse.inra.fr,20.8479,4689
latte.nhgri.nih.gov,20.7902,1001
194.199.242.6,20.7572,276
193.219.91.103:12497,20.6389,108
iris.ensembl.org,20.5379,132
litchi.xialab.org:8080,20.4010,202
genomicsal.es,20.3982,550
vbrighttools01x.uzbrussel.be,20.0543,221
192.168.0.118,20.0345,464
gif-server.biotech.iastate.edu,20.0183,219
www.biw.kuleuven.be,20.0000,173
collembolomics.nl,19.9541,109
bipaa.genouest.org,19.9463,19411
ssl.biomax.de,19.8789,380
cr28603.uzbrussel.be:83,19.7922,563
www185.lamp.le.ac.uk,19.7568,222
localhost:8900,19.7403,462
peanutbase-stage.usda.iastate.edu,19.7059,408
peanutbase-dev.usda.iastate.edu,19.6944,108
chewbacca.bi.up.ac.za:8080,19.6556,932
cluster-dev.florimond-desprez.fr,19.6414,145
aspgd.broadinstitute.org,19.6031,1693
cr28603.uzbrussel.be,19.5999,6558
ds.genome.med.kyoto-u.ac.jp,19.5132,417
dev-y.smestorage.com,19.4286,357
bioinfo.imtech.res.in,19.3267,150
gevd01.hosting.pasteur.fr,19.3238,105
ava4.usav1svgend02.ambrygenetics.local,19.2999,727
141.244.40.114,19.1788,1286
cgr-referencegenome.boku.ac.at,19.0149,201
www.immunobase.org,19.0000,16751
immunobase.org,19.0000,1442
beta.immunobase.org,19.0000,277
192.168.12.160,19.0000,132
t1dbase.org,19.0000,170
www.t1dbase.org,19.0000,522
lyre.cin.ucsf.edu:8080,18.9729,442
peanutbase.org,18.8571,4066
158.109.126.93:7000,18.8037,270
igenomed4.stanford.edu,18.7319,138
cas-ie2-apollo.uoregon.edu,18.6908,663
efishgenomics.integrativebiology.msu.edu,18.6738,843
ann-nblrrome.tuebingen.mpg.de,18.6709,1492
www.peanutbase.org,18.5512,1397
jbrowse.smu.edu.cn,18.5467,781
phylofish.sigenae.org,18.4741,116
115.145.203.19:8080,18.4192,551
betula.biosci.helsinki.fi:8080,18.2448,433
tubic.tju.edu.cn,18.1795,156
192.168.0.67:8085,18.0223,269
jbrowse.igs.umaryland.edu,18.0102,196
86.50.169.181:8080,18.0000,602
dna-marker.biocenter.helsinki.fi,17.9994,1642
bcrf-chlorella.unl.edu,17.9722,144
54.175.12.55,17.9606,355
beagle.windows.ebi.ac.uk:8888,17.8736,546
www.icugi.org,17.7765,8509
albiorix.bioenv.gu.se:8080,17.7299,2621
192.168.211.200,17.6056,142
127.0.0.1:5000,17.5690,413
10.59.21.27,17.5211,284
www.melonomics.net,17.4611,694
lymediseasedev.med.ucf.edu,17.4051,316
192.168.56.1:8080,17.3918,194
blade05.platomics.com,17.2837,215
compbio.tongji.edu.cn,17.2530,589
galaxy.dna.affrc.go.jp,17.2482,137
apollo.ips2.u-psud.fr:8080,17.2116,397
edge-dev-master.lanl.gov,17.1333,165
apollo.wormbase.org,17.0265,14396
by0pkv.emea.agrogroup.net:8080,17.0256,351
nicotiana-webapollo.sgn.cornell.edu,17.0136,808
marmoset.dna.bio.keio.ac.jp,17.0000,211
structurome.bb.iastate.edu,16.8839,982
158.108.145.124,16.8409,176
genomics.usal.es,16.6444,135
metazome.jgi.doe.gov,16.6352,3158
crispr.technology,16.5531,1412
jbrowse.cebitec.uni-bielefeld.de,16.4925,266
nod6:8080,16.4638,138
159.226.89.116:8080,16.4615,221
childslab.plantbiology.msu.edu,16.4238,722
137.215.73.215,16.3493,146
dnamethylome.org,16.3020,298
tpla.psc.ac.cn:5000,16.0538,130
jbrowse-hopbase.cgrb.oregonstate.edu,16.0309,777
133.48.58.6:8080,16.0059,506
parasite.wormbase.org,15.8545,1430
brachypan.jgi.doe.gov,15.7255,408
192.168.1.5,15.7009,107
hardwoodgenomics.org,15.5576,217
fungalgenomics.science.uu.nl:8080,15.5444,1172
203.230.60.182,15.4456,1167
brachypan-dev.jgi.doe.gov,15.4324,111
jt6-cosmic.sandbox.sanger.ac.uk,15.3800,842
128.192.99.108:8080,15.3758,1035
apollo.phibred.com:8080,15.2342,333
mockaitis.ncgas.org,15.1775,445
216.47.151.240:8085,15.1752,6096
beagle.windows.ebi.ac.uk:8889,15.1742,132
128.233.222.29,15.1732,1103
jbrowse-dev.lisanwanglab.org,15.0748,107
edge-prod.lanl.gov,15.0265,340
134.130.28.14,15.0029,1716
biocc.hrbmu.edu.cn:82,15.0000,729
combattb.sanbi.ac.za,15.0000,669
cosmic.dev.sanger.ac.uk,14.9308,679
www.hardwoodgenomics.org,14.9299,271
cancer.sanger.ac.uk,14.8377,424695
134.130.28.14:8080,14.8141,651
tools.genxpro.net,14.8052,1047
wanglab.info,14.6636,107
192.168.211.77,14.6286,175
test.parasite.wormbase.org,14.6256,219
140.109.32.56,14.6067,178
jbrowse.plant-biotech.biologie.privat,14.6034,290
cancer-beta.sanger.ac.uk,14.5775,15717
ngsnd001.jpn-pharm.ad.local:8080,14.5556,135
jbrowse.abolis.loc,14.4724,199
datacenter.oceanridgebio.com,14.3209,215
tgwebdev.cam.uchc.edu,14.2814,167
localhost:8082,14.2190,105
137.189.133.76,14.2160,162
cr10-cosmic.sandbox.sanger.ac.uk,14.1667,138
glassdev.phibred.com:8081,14.1464,936
grch37-cancer-beta.sanger.ac.uk,14.0868,288
tnr2911.tnrad.local:8000,14.0368,353
apollo-qa.phibred.com:8080,14.0132,303
www.termitegenome.org:8080,14.0000,139
us-643jj72.ddnet1.net,14.0000,299
www.gewusci.com,14.0000,151
srv00.recas.ba.infn.it,13.9862,508
210.34.81.56,13.9680,1375
cancer-legacy.sanger.ac.uk,13.9679,218
jbrestel.plasmodb.org,13.9490,196
bmap-dev.jgi.doe.gov,13.8027,299
www.fishbrowser.org,13.7771,1072
staph.unavarra.es:10080,13.6623,154
nicotiana.sgn.cornell.edu,13.6583,120
dirac.basc.science.depi.vic.gov.au,13.6473,275
127.0.1.1:7777,13.4779,136
grch37-cancer.sanger.ac.uk,13.3736,6622
jbrowse.insilicogen.com,13.2662,556
fuchshai.geomar.de,13.1866,134
dgr.dasmaninstitute.org,13.1509,106
grch37-cancer-legacy.sanger.ac.uk,13.1197,1462
glass.phibred.com:8081,13.0091,14866
www.gensas.org:8443,12.8940,1274
triticeaetoolbox.org,12.8467,1605
35.8.198.84,12.8467,150
139.196.7.224,12.8361,122
www.bioinformatics.nl,12.8075,717
asrp.danforthcenter.org,12.7997,669
192.168.0.113,12.7568,111
acedb3:8080,12.7217,115
192.168.56.102,12.6989,279
210.27.97.107:7777,12.6339,814
gpsdev.pdx.aws,12.5412,1020
pieriandxtest.pieriandx.com,12.5246,753
172.17.64.102:3232,12.5246,122
pieriandxproddevqa.pdx.aws,12.4651,802
lbb.cnpae.embrapa.br,12.4244,172
www.novodb.com,12.3851,174
emboss.abc.hu,12.3762,202
oboe.caltech.edu,12.3017,116
crdd.osdd.net,12.2059,136
39.106.204.218,12.1516,838
bioxm.beyondbio.com,12.1378,225
122.205.95.116:8080,12.1182,110
192.168.50.14:1338,12.0416,481
cmb.bnu.edu.cn:8088,12.0135,592
biol-schen03d.sols.uq.edu.au:8080,12.0073,137
bdg.hfut.edu.cn,12.0000,590
vw-genomebrowser.central.yale.internal,11.9675,308
aegilops.wheat.ucdavis.edu,11.9530,1213
ebi-cli-002:8080,11.9172,157
chlamy-organelles.ibpc.fr,11.9032,444
bioxm-hotfix.beyondbio.com,11.7320,153
pseudomonas.com,11.6980,788
192.168.1.229:8081,11.6833,341
dev.lungmap.net,11.6014,148
cherry.kazusa.or.jp,11.5120,416
10.49.121.5,11.3322,575
data.sciapps.org,11.3155,187
stab.st-andrews.ac.uk,11.2083,216
10.200.50.178,11.1935,124
rs30012539.reg.skane.se,11.1671,353
192.168.56.18:8080,11.1609,317
59.79.248.25,11.1408,824
www.echinobase.org,11.1294,22410
cloud5.galaxyproject.org,11.1175,349
ftflowsvr01:8080,11.0837,466
www.bowhead-whale.org,11.0000,849
bowhead-whale.org,11.0000,221
www.pseudomonas.com,10.9065,1529
bnlvarcaqa.labcorp.com,10.8504,127
www.angiosperms.org,10.7848,669
plantomics.mind.meiji.ac.jp,10.7665,805
plantpolya.org,10.7638,127
133.6.22.12,10.7625,421
archer.biopticka.local,10.7312,398
ipomoea-genome.org,10.6879,519
secure.genomenext.net,10.6313,217
abims.sb-roscoff.fr,10.4721,1182
icuginew.feilab.net,10.4688,753
medicinalplantgenomics.msu.edu,10.4362,2235
apollo.ppglab.org,10.3985,261
www.plabipd.de,10.3182,484
rapsodyn-is.genouest.org,10.2393,117
192.168.70.116:8080,10.1799,417
urgi148:8080,10.0602,133
160.36.205.61:8095,10.0204,539
urgi.versailles.inra.fr,10.0000,275
zhoulab5.rccc.ou.edu,10.0000,209
sgt.cnag.cat,10.0000,156
217.146.218.134,10.0000,128
172.20.20.228,10.0000,353
172.20.20.244,10.0000,178
134.192.156.203:8080,9.9857,140
192.168.1.76,9.9724,4920
localhost:8000,9.8259,5421
gds-reports-web.science-at-scale.io,9.7804,683
tigriopus.synology.me:8080,9.7550,751
d15hswjloo3c4x.cloudfront.net,9.6578,3127
geneious-test:8888,9.6330,109
shigen.nig.ac.jp,9.6173,405
192.168.20.85,9.5524,391
bioinfor.scu.edu.cn,9.5505,109
localhost:11001,9.5217,322
localhost:8383,9.4130,753
10.0.0.100,9.3520,304
194.199.55.39,9.2678,295
gmod.github.io,9.2301,617
158.109.126.93,9.1687,581
knowpulse.usask.ca,9.0830,2422
bioinfo.ihb.ac.cn,9.0000,481
webapollo.science.uu.nl:8080,9.0000,328
whiteflygenomics.org,8.9752,3794
192.168.5.82,8.9427,1048
www.whiteflygenomics.org,8.9339,1786
192.168.1.115,8.9189,5847
xieslab.org,8.8955,134
backend.clingon-mds.com,8.8393,112
assay.archerdx.com,8.8243,1508
www.burkholderia.com,8.8140,242
150.254.121.200,8.8019,106
192.168.1.11:8085,8.7872,235
10.10.20.130,8.7586,116
headnode,8.7541,183
analysis.archerdx.com,8.7356,8446
dev.citrusgenomedb.org,8.7265,245
10.37.0.250,8.7160,1553
xenopus.lab.nig.ac.jp,8.6969,320
141.20.62.214,8.6618,207
cugr.dev,8.6473,2183
dnasubway.iplantcollaborative.org,8.6253,451
weatherby.genetics.utah.edu,8.6231,1292
v22.popgenie.org,8.5968,124
biogenlink.digicon.com,8.5476,168
115.146.85.22:8080,8.5281,356
dev.novocraft.com,8.4665,881
web.bioinformatics.ic.ac.uk,8.4326,141
teabrowser.shengxin.ren,8.4079,152
analysis.preview.archerdx.com,8.3960,1611
hkudisc.synology.me,8.2827,237
54.68.127.47,8.2737,179
hegemon.ucsd.edu,8.1785,717
ijgvd.megabank.tohoku.ac.jp,8.1724,3022
localhost:8085,8.1617,235
10.93.132.25,8.1613,905
127.0.0.1:8080,8.1595,2935
gph.niid.go.jp,8.1550,4640
mycobrowser.epfl.ch,8.1312,65077
52.42.178.206,8.0860,465
www.genomics.verinomics.com,8.0646,480
www.thines-lab.senckenberg.de,8.0539,167
ivis-dev:8010,8.0374,4282
192.168.142.129,8.0311,225
10.37.0.245,8.0096,104
www.jcvi.org,8.0000,283
apollo.nematodegenomes.org,8.0000,747
www.bio-bigdata.net,8.0000,137
knowpulse.usask.ca:8080,8.0000,119
gbrowse2017a.biology.gatech.edu,7.9493,375
bang,7.9481,616
analysis.previous.archerdx.com,7.9403,268
uw.analysis.archerdx.com,7.8963,164
csbl.bmb.uga.edu,7.7958,21058
