trackCount separated into bins (last 12 months, > 100 hits)
host,'0-100,'100-200,'200-500,'500-1000,'1000-2000,'2000-5000,'5000-10000,'10000-20000,'>20000,trackCount,hits
jbrowse-qa.adpa3.local,144,0,0,0,14,0,0,0,0,158,
localhost:8888,2240,2,4,156,3,0,0,0,0,2405,
browse.yeastgenome.org,464,0,46447,0,47,0,0,0,0,46958,
127.0.0.1:8080,2927,0,0,4,4,0,0,0,0,2935,
childslab.plantbiology.msu.edu,719,0,0,0,3,0,0,0,0,722,
pc-biotech62.biologie.uni-greifswald.de,125,0,0,0,4,0,0,0,0,129,
cherry.kazusa.or.jp,415,0,0,0,1,0,0,0,0,416,
bcg.abrc.sinica.edu.tw,167,0,0,0,10,0,0,0,0,177,
10.157.216.34,355,0,0,0,1,0,0,0,0,356,
localhost:8090,5307,0,0,0,2,0,0,0,0,5309,
222.200.187.174,299,22,160,0,3,0,0,0,0,484,
10.4.19.128,180,0,0,0,3,0,0,0,0,183,
13.113.77.198:8000,270,0,0,0,14,0,0,0,0,284,
de.cyverse.org,133,0,0,0,1,0,0,0,0,134,
togodb2.kazusa.or.jp,569,16,356,4,4,0,0,0,0,949,
101.200.190.143:8080,444,0,0,0,7,0,0,0,0,451,
172.30.184.31,169,0,0,0,2,0,0,0,0,171,
159.226.67.237:6080,137,147,48,98,1,0,0,0,0,431,
jbrowsevar.renlab.org,221,393,0,0,1,0,0,0,0,615,
localhost:11000,292,16,52,11,6,0,0,0,0,377,
genoweb.toulouse.inra.fr,252,0,0,0,1,0,0,0,0,253,
122.112.248.194,1327,143,0,81,32,0,0,0,0,1583,
sas-us-leb-seq,366,0,0,0,4,0,0,0,0,370,
localhost:8081,523,0,0,0,10,0,0,0,0,533,
docker-jbrowse-adebali.cloudapps.unc.edu,148,0,0,0,1,0,0,0,0,149,
159.226.67.237,92,46,0,335,3,0,0,0,0,476,
localhost:9000,3128,0,0,0,514,0,0,0,0,3642,
www.fishbrowser.org,1070,0,0,0,2,0,0,0,0,1072,
ssr,561,0,0,0,8,0,0,0,0,569,
epigenome.genetics.uga.edu,4033,561,366,1803,781,0,0,0,0,7544,
172.19.35.54,117,0,0,0,2,0,0,0,0,119,
inno.npz.local,348,6,151,0,3,0,0,0,0,508,
60.205.203.178:8082,182,0,0,0,4,0,0,0,0,186,
172.29.2.74,105,0,0,0,1,0,0,0,0,106,
10.49.95.73,131,0,0,0,2,0,0,0,0,133,
dev-y.smestorage.com,356,0,0,0,1,0,0,0,0,357,
10.49.121.5,573,0,0,0,2,0,0,0,0,575,
dev-a.smestorage.com,326,0,0,0,3,0,0,0,0,329,
plant1.kazusa.or.jp,76,50,87,0,10,0,0,0,0,223,
gph.niid.go.jp,4632,7,0,0,1,0,0,0,0,4640,
193.219.91.103:12497,107,0,0,0,1,0,0,0,0,108,
varitome.sgn.cornell.edu,91,22,0,0,1,0,0,0,0,114,
localhost:50070,147,0,0,0,4,0,0,0,0,151,
bcg.abrc.sinica.edu.tw:443,337,0,0,0,10,0,0,0,0,347,
192.168.56.102,278,0,0,0,1,0,0,0,0,279,
jbrestel.plasmodb.org,195,0,0,0,1,0,0,0,0,196,
tubic.tju.edu.cn,155,0,0,0,1,0,0,0,0,156,
192.168.56.1,170,0,0,0,6,0,0,0,0,176,
10.75.206.133,109,0,0,0,4,0,0,0,0,113,
10.75.119.196,120,33,0,0,10,0,0,0,0,163,
ibi.zju.edu.cn,2112,146,0,0,2,0,0,0,0,2260,
colossus.biotec.or.th,609,60,332,0,1,0,0,0,0,1002,
localhost:2001,147,0,0,0,1,0,0,0,0,148,
seeders.iptime.org:4880,109,0,0,0,5,0,0,0,0,114,
140.109.183.233,348,0,0,0,5,0,0,0,0,353,
10.71.115.210,155,0,0,0,6,0,0,0,0,161,
192.168.118.25,112,0,0,0,2,0,0,0,0,114,
192.168.56.1:8080,193,0,0,0,1,0,0,0,0,194,
147.99.34.11,131,0,0,0,1,0,0,0,0,132,
jbrowse.cgb.indiana.edu,1245,588,224,0,2,0,0,0,0,2059,
suhanggo.seeders.co.kr,478,0,0,0,1,0,0,0,0,479,
coppolalab.ucla.edu,132,0,0,0,3,0,0,0,0,135,
jbrowse.ilweb01.lt.local,99,0,0,0,1,0,0,0,0,100,
jbrowse,5,0,0,0,509,0,0,0,0,514,
54.40.223.139:8080,7,0,0,0,140,0,0,0,0,147,
jbrowse.merck.com:8080,14,0,0,0,142,0,0,0,0,156,
biocomp.phibred.com,30,4,73,19,10,0,0,0,0,136,
152.7.99.249,67,43,39,63,30,0,0,0,0,242,
137.205.123.127,2049,54,83,40,5,0,0,0,0,2231,
137.189.43.160:8080,994,1192,1769,648,403,0,0,0,0,5006,
staging.wormbase.org,5620,0,0,517,531,0,0,0,0,6668,
www.wormbase.org,1504413,0,0,9579,18159,0,0,0,0,1532151,
wormbase.org,272,0,0,7,1,0,0,0,0,280,
54.210.66.87,320,0,0,0,127,0,0,0,0,447,
strawberry-garden.kazusa.or.jp,155,0,0,0,21,0,0,0,0,176,
pophuman.uab.cat,0,28,0,287,3462,0,0,0,0,3777,
gbr3,937,0,0,0,68,0,0,0,0,1005,
jbrowse.hpcagrogenomics.wur.nl,200,19,47,412,133,0,0,0,0,811,
cloud.limgroup.eu,358,160,0,582,863,0,0,0,0,1963,
peach.igh.cnrs.fr,10,0,0,1525,37,0,0,0,0,1572,
10.10.83.81,395,0,0,257,0,0,0,0,0,652,
202.127.22.67,1187,0,0,49,0,0,0,0,0,1236,
www.bovinegenome.org,2,0,0,732,0,0,0,0,0,734,
bovinegenome.org,41,0,225,387,0,0,0,0,0,653,
jbrowse.jhhlab.tw,220,0,136,931,0,0,0,0,0,1287,
wukong,121,0,0,213,0,0,0,0,0,334,
furlonglab.embl.de,822,34,334,296,0,0,0,0,0,1486,
10.0.0.20,63,106,36,1017,0,0,0,0,0,1222,
10.84.2.11,13,12,0,132,0,0,0,0,0,157,
10.84.2.157,51,7,0,64,0,0,0,0,0,122,
141.244.134.147:11000,120,9,24,55,0,0,0,0,0,208,
visual.ic4r.org,1843,22,285,22557,0,0,0,0,0,24707,
jbrower.vardetect.com,43,0,0,71,0,0,0,0,0,114,
10.4.0.11:6080,112,15,63,6,0,0,0,0,0,196,
172.28.1.172:1339,91,0,32,10,0,0,0,0,0,133,
ibeetle-base.uni-goettingen.de,131,0,0,9,0,0,0,0,0,140,
jbrowse.intranet.dow.com,868,209,146,138,0,0,0,0,0,1361,
hymenopteragenome.org,1488,0,509,8,0,0,0,0,0,2005,
genome.integragen.com,236,20,2,1,0,0,0,0,0,259,
10.0.0.29,472,0,855,2,0,0,0,0,0,1329,
glent-qa-1.be.bayercropscience,1026,358,78,128,0,0,0,0,0,1590,
128.206.234.23:8080,0,0,13,115,0,0,0,0,0,128,
chambo.umd.edu,10,17,0,117,0,0,0,0,0,144,
mmodev.sb-roscoff.fr,881,17,61,102,0,0,0,0,0,1061,
genexpdb.okstate.edu,0,0,256,56,0,0,0,0,0,312,
10.4.1.101,1067,0,124,0,0,0,0,0,0,1191,
10.10.19.184,114,12,2,0,0,0,0,0,0,128,
jbrowse.amyris.local,1024,31,12,0,0,0,0,0,0,1067,
gwas-browser.nygenome.org,0,0,141,0,0,0,0,0,0,141,
dev.facebase.org,473,4,12,0,0,0,0,0,0,489,
152.7.99.230,222,0,1,0,0,0,0,0,0,223,
10.113.72.170,315,111,310,0,0,0,0,0,0,736,
bio.driscolls.com,30,28,50,0,0,0,0,0,0,108,
www.alfalfatoolbox.org,1737,0,106,0,0,0,0,0,0,1843,
129.130.89.51,597,34,93,0,0,0,0,0,0,724,
mirlab.sysu.edu.cn,181,149,794,0,0,0,0,0,0,1124,
mmb.irbbarcelona.org,187,174,25,0,0,0,0,0,0,386,
192.168.34.39,3,134,505,0,0,0,0,0,0,642,
medicago.toulouse.inra.fr,766,373,4773,0,0,0,0,0,0,5912,
solgenomics.net,221444,0,2120,0,0,0,0,0,0,223564,
www.sgn.cornell.edu,3084,0,33,0,0,0,0,0,0,3117,
www.solgenomics.net,8798,0,64,0,0,0,0,0,0,8862,
solgenomics.org,246,0,8,0,0,0,0,0,0,254,
www.solgenomics.org,289,0,4,0,0,0,0,0,0,293,
sgn.cornell.edu,842,0,2,0,0,0,0,0,0,844,
elrh6gene01.dow.com,113,13,80,0,0,0,0,0,0,206,
jbrowse-test.sgn.cornell.edu,554,404,22,0,0,0,0,0,0,980,
apollo.vectorbase.org,4124,559,531,0,0,0,0,0,0,5214,
matsui-lab.riken.jp,7893,72,247,0,0,0,0,0,0,8212,
yzlab.lhgene.cn:8082,0,113,61,0,0,0,0,0,0,174,
webapollo2.vectorbase.org,3599,424,433,0,0,0,0,0,0,4456,
edge-prod.lanl.gov,338,0,2,0,0,0,0,0,0,340,
137.189.43.109,891,22,383,0,0,0,0,0,0,1296,
192.168.50.14:1338,479,0,2,0,0,0,0,0,0,481,
141.244.134.147,0,0,505,0,0,0,0,0,0,505,
www.tongjidmb.com,9,0,173,0,0,0,0,0,0,182,
titin.ucd.ie,269,181,99,0,0,0,0,0,0,549,
137.189.43.55,946,198,548,0,0,0,0,0,0,1692,
regulomics.mimuw.edu.pl,133,55,707,0,0,0,0,0,0,895,
137.189.43.231,188,57,228,0,0,0,0,0,0,473,
www.bio-bigdata.com,0,0,1246,0,0,0,0,0,0,1246,
wolferine.ucd.ie,824,21,33,0,0,0,0,0,0,878,
172.28.1.172:1002,200,0,33,0,0,0,0,0,0,233,
queitsch-jbrowse.gs.washington.edu,0,0,315,0,0,0,0,0,0,315,
10.4.4.74,328,0,34,0,0,0,0,0,0,362,
10.84.2.212,96,0,8,0,0,0,0,0,0,104,
cho-epigenome.boku.ac.at,0,0,1276,0,0,0,0,0,0,1276,
donald,18,261,673,0,0,0,0,0,0,952,
eclipse.biotec.or.th,32,42,74,0,0,0,0,0,0,148,
150.164.24.16:8888,165,90,19,0,0,0,0,0,0,274,
lipm-browsers.toulouse.inra.fr,2264,25,61,0,0,0,0,0,0,2350,
180.208.58.19,1940,267,1315,0,0,0,0,0,0,3522,
sysbio.sysu.edu.cn,499,106,915,0,0,0,0,0,0,1520,
10.112.31.15,111,207,656,0,0,0,0,0,0,974,
binkley.candidagenome.org,34,0,121,0,0,0,0,0,0,155,
www.candidagenome.org,619,0,1565,0,0,0,0,0,0,2184,
bmi.xmu.edu.cn,441,34,104,0,0,0,0,0,0,579,
nobel.gedv.pasteur.fr,1074,589,19,0,0,0,0,0,0,1682,
prime-seq.ohsu.edu,705,44,6,0,0,0,0,0,0,755,
cassavabase.org,22,0,165,0,0,0,0,0,0,187,
brecandb.igib.res.in,0,0,128,0,0,0,0,0,0,128,
www.picb.ac.cn,196,1202,41,0,0,0,0,0,0,1439,
sacibase.ibb.unesp.br,452,27,153,0,0,0,0,0,0,632,
jbrowse.molgenrug.nl,1470,2,19,0,0,0,0,0,0,1491,
genomes.stowers.org,777,2005,445,0,0,0,0,0,0,3227,
simrbase.stowers.org,726,16,15,0,0,0,0,0,0,757,
10.245.128.39,117,88,35,0,0,0,0,0,0,240,
dev.jbrowse.southgreen.fr,2303,44,165,0,0,0,0,0,0,2512,
jbrowse.cirad.fr,0,0,190,0,0,0,0,0,0,190,
124.16.129.16:9612,12,625,3,0,0,0,0,0,0,640,
pathos:8080,223,285,2,0,0,0,0,0,0,510,
sohi.ecology.kyoto-u.ac.jp,256,14,302,0,0,0,0,0,0,572,
bioinfo.cgiarad.org,99,0,12,0,0,0,0,0,0,111,
jbrowse.southgreen.fr,13276,2327,490,0,0,0,0,0,0,16093,
genomes.stowers.org:8080,517,135,1,0,0,0,0,0,0,653,
10.9.5.14:8080,231,0,138,0,0,0,0,0,0,369,
10.100.22.6,844,53,62,0,0,0,0,0,0,959,
sysbio.gzzoc.com,237,1,92,0,0,0,0,0,0,330,
192.168.0.118,448,14,2,0,0,0,0,0,0,464,
bioinformatics.caf.ac.cn,81,31,0,0,0,0,0,0,0,112,
rgd.mcw.edu,28698,61666,0,0,0,0,0,0,0,90364,
dev.rgd.mcw.edu,409,399,0,0,0,0,0,0,0,808,
pipelines.rgd.mcw.edu,3143,6106,0,0,0,0,0,0,0,9249,
www.rgd.mcw.edu,1384,800,0,0,0,0,0,0,0,2184,
rest.rgd.mcw.edu,336,140,0,0,0,0,0,0,0,476,
sollab.cshl.edu,853,263,0,0,0,0,0,0,0,1116,
tomatolab.cshl.edu,359,68,0,0,0,0,0,0,0,427,
10.42.0.7:8081,1652,45,0,0,0,0,0,0,0,1697,
lulab.life.tsinghua.edu.cn,307,1438,0,0,0,0,0,0,0,1745,
vre.multiscalegenomics.eu,531,489,0,0,0,0,0,0,0,1020,
10.0.0.48,1031,1,0,0,0,0,0,0,0,1032,
blade05.platomics.com,201,14,0,0,0,0,0,0,0,215,
blade05,89,13,0,0,0,0,0,0,0,102,
zed.tacc.utexas.edu,56,140,0,0,0,0,0,0,0,196,
rcug-galaxy1.mh-hannover.local,730,200,0,0,0,0,0,0,0,930,
delta.big.ac.cn,6,1333,0,0,0,0,0,0,0,1339,
epigen-zhong.discovery.wisc.edu,46,342,0,0,0,0,0,0,0,388,
10.42.0.5:8081,251,3,0,0,0,0,0,0,0,254,
10.200.20.103:8082,140,20,0,0,0,0,0,0,0,160,
jbrowse-dev2.acpfg.local,205,1028,0,0,0,0,0,0,0,1233,
10.114.143.20,670,139,0,0,0,0,0,0,0,809,
jbrowse.brachypodium.org,0,341,0,0,0,0,0,0,0,341,
apollo.tgac.ac.uk,899,2334,0,0,0,0,0,0,0,3233,
www.cgr.liv.ac.uk,0,150,0,0,0,0,0,0,0,150,
wheat.it.csiro.au:8080,35,201,0,0,0,0,0,0,0,236,
crobiad.agwine.adelaide.edu.au,7,229,0,0,0,0,0,0,0,236,
130.220.208.2,322,352,0,0,0,0,0,0,0,674,
210.75.224.168:8080,356,250,0,0,0,0,0,0,0,606,
bbric-pipelines.toulouse.inra.fr,4389,300,0,0,0,0,0,0,0,4689,
jbrowse-test.xenbase.org,4608,693,0,0,0,0,0,0,0,5301,
jbrowse.xenbase.org,3622,1077,0,0,0,0,0,0,0,4699,
10.200.150.118,5,131,0,0,0,0,0,0,0,136,
heliodor.nki.nl,49,130,0,0,0,0,0,0,0,179,
xdlab.duckdns.org:18085,6,101,0,0,0,0,0,0,0,107,
10.1.0.2:8001,0,260,0,0,0,0,0,0,0,260,
cr28603.uzbrussel.be,6557,1,0,0,0,0,0,0,0,6558,
cpt.tamu.edu,6905,175,0,0,0,0,0,0,0,7080,
cr28603.uzbrussel.be:83,562,1,0,0,0,0,0,0,0,563,
bioinfo.imtech.res.in,135,15,0,0,0,0,0,0,0,150,
crrd.mcw.edu,223,12,0,0,0,0,0,0,0,235,
bipaa.genouest.org,19358,53,0,0,0,0,0,0,0,19411,
annotation-prod.scilifelab.se:8080,1813,5,0,0,0,0,0,0,0,1818,
www.tomatogenome.net,0,722,0,0,0,0,0,0,0,722,
141.244.133.122,127,33,0,0,0,0,0,0,0,160,
by0pkv.emea.agrogroup.net:8080,348,3,0,0,0,0,0,0,0,351,
icebox.lbl.gov,1774,270,0,0,0,0,0,0,0,2044,
genome.monarchinitiative.org,33,77,0,0,0,0,0,0,0,110,
34.227.0.63,113,8,0,0,0,0,0,0,0,121,
www185.lamp.le.ac.uk,190,32,0,0,0,0,0,0,0,222,
www252.lamp.le.ac.uk,0,191,0,0,0,0,0,0,0,191,
aestivum.accwi.org.au:8080,416,9,0,0,0,0,0,0,0,425,
10.200.1.241,301,102,0,0,0,0,0,0,0,403,
115.146.85.22:8080,353,3,0,0,0,0,0,0,0,356,
www.heliagene.org,9020,131,0,0,0,0,0,0,0,9151,
10.200.0.171,236,181,0,0,0,0,0,0,0,417,
www.forestrylab.org,2589,20,0,0,0,0,0,0,0,2609,
bioinfo.florimond-desprez.fr,255,73,0,0,0,0,0,0,0,328,
cluster-dev.florimond-desprez.fr,130,15,0,0,0,0,0,0,0,145,
150.254.123.119,129,8,0,0,0,0,0,0,0,137,
u031331.science.uva.nl,358,16,0,0,0,0,0,0,0,374,
koke.asrc.kanazawa-u.ac.jp,155,65,0,0,0,0,0,0,0,220,
192.168.56.101:8080,130,30,0,0,0,0,0,0,0,160,
jbrowse.latrobe.edu.au,2,280,0,0,0,0,0,0,0,282,
genome.igib.res.in,547,124,0,0,0,0,0,0,0,671,
sweetpotato.plantbiology.msu.edu,2006,1468,0,0,0,0,0,0,0,3474,
hinton-jbrowse.s3-website-eu-west-1.amazonaws.com,348,28,0,0,0,0,0,0,0,376,
dev.niagads.org,1706,0,0,0,0,0,0,0,0,1706,
hpoly.nematodegenomes.org,182,0,0,0,0,0,0,0,0,182,
bioinformatics.forsyth.org,718,0,0,0,0,0,0,0,0,718,
www.niagads.org,2903,0,0,0,0,0,0,0,0,2903,
192.168.64.23,123,0,0,0,0,0,0,0,0,123,
137.189.133.76,162,0,0,0,0,0,0,0,0,162,
myers.bioinformatics.nl,276,0,0,0,0,0,0,0,0,276,
ngs.molgenrug.nl,498,0,0,0,0,0,0,0,0,498,
phytozome-dev.jgi.doe.gov,2084,0,0,0,0,0,0,0,0,2084,
phytozome-staging.jgi.doe.gov,286,0,0,0,0,0,0,0,0,286,
phytozome.jgi.doe.gov,552933,0,0,0,0,0,0,0,0,552933,
www.bioinformatics.nl,715,0,0,0,0,0,0,0,0,715,
jbrowse.bioinformatics.danforthcenter.org,219,0,0,0,0,0,0,0,0,219,
denovo.cnag.cat,2275,0,0,0,0,0,0,0,0,2275,
antgenomes.org,293,0,0,0,0,0,0,0,0,293,
150.254.121.200,106,0,0,0,0,0,0,0,0,106,
labby,781,0,0,0,0,0,0,0,0,781,
10.0.0.15,214,0,0,0,0,0,0,0,0,214,
35.8.198.84,150,0,0,0,0,0,0,0,0,150,
211.69.140.130,1979,0,0,0,0,0,0,0,0,1979,
paramecium-beta.i2bc.paris-saclay.fr,2943,0,0,0,0,0,0,0,0,2943,
paramecium.i2bc.paris-saclay.fr,1089,0,0,0,0,0,0,0,0,1089,
njp-dev.jgi.doe.gov,698,0,0,0,0,0,0,0,0,698,
129.194.89.207:8080,137,0,0,0,0,0,0,0,0,137,
www.citrusgenomedb.org,1850,0,0,0,0,0,0,0,0,1850,
aklppr31.pfr.co.nz.:8080,919,0,0,0,0,0,0,0,0,919,
147.46.172.224,215,0,0,0,0,0,0,0,0,215,
www.facebase.org,764,0,0,0,0,0,0,0,0,764,
dev.citrusgenomedb.org,245,0,0,0,0,0,0,0,0,245,
apollo-dev.nal.usda.gov,1038,0,0,0,0,0,0,0,0,1038,
apollo-stage.nal.usda.gov,335,0,0,0,0,0,0,0,0,335,
aklppr31.pfr.co.nz.:19080,123,0,0,0,0,0,0,0,0,123,
aklppr31.pfr.co.nz.:9080,216,0,0,0,0,0,0,0,0,216,
apollo.nal.usda.gov,243,0,0,0,0,0,0,0,0,243,
128.32.218.181:7070,16288,0,0,0,0,0,0,0,0,16288,
code4dna.com,127,0,0,0,0,0,0,0,0,127,
133.26.84.46,490,0,0,0,0,0,0,0,0,490,
192.168.25.167,239,0,0,0,0,0,0,0,0,239,
genomebrowser.uams.edu,507,0,0,0,0,0,0,0,0,507,
133.48.62.140,449,0,0,0,0,0,0,0,0,449,
192.168.0.69:8080,368,0,0,0,0,0,0,0,0,368,
cas-ie2-apollo.uoregon.edu,663,0,0,0,0,0,0,0,0,663,
10.0.0.253,110,0,0,0,0,0,0,0,0,110,
irhs-001,424,0,0,0,0,0,0,0,0,424,
147.99.112.52,1413,0,0,0,0,0,0,0,0,1413,
210.27.97.108,583,0,0,0,0,0,0,0,0,583,
dubcovskylab.ucdavis.edu,4282,0,0,0,0,0,0,0,0,4282,
browser.porteco.org,122,0,0,0,0,0,0,0,0,122,
ziggy.dbi.udel.edu,164,0,0,0,0,0,0,0,0,164,
172.24.105.32,417,0,0,0,0,0,0,0,0,417,
cap.ensemblgenomes.org,1380,0,0,0,0,0,0,0,0,1380,
arete,1768,0,0,0,0,0,0,0,0,1768,
triticeaetoolbox.org,1605,0,0,0,0,0,0,0,0,1605,
10.74.186.113,108,0,0,0,0,0,0,0,0,108,
lithium.kaust.edu.sa,254,0,0,0,0,0,0,0,0,254,
www.titinviewer.net,135,0,0,0,0,0,0,0,0,135,
92.222.82.29,100,0,0,0,0,0,0,0,0,100,
chogenome.org,296,0,0,0,0,0,0,0,0,296,
www.chogenome.org,2135,0,0,0,0,0,0,0,0,2135,
tcap.pw.usda.gov,156,0,0,0,0,0,0,0,0,156,
jbrowse.informatics.jax.org,13302,0,0,0,0,0,0,0,0,13302,
hymenopteragenome.org:8080,427,0,0,0,0,0,0,0,0,427,
134.245.63.238:8080,879,0,0,0,0,0,0,0,0,879,
mines.legumeinfo.org,2049,0,0,0,0,0,0,0,0,2049,
jbrowse.intermine.org,9001,0,0,0,0,0,0,0,0,9001,
147.99.108.97,313,0,0,0,0,0,0,0,0,313,
10.200.50.178,124,0,0,0,0,0,0,0,0,124,
genedenovoweb.ticp.net:81,340,0,0,0,0,0,0,0,0,340,
als2077-unix1.science.oregonstate.edu,353,0,0,0,0,0,0,0,0,353,
wheat.pw.usda.gov,2506,0,0,0,0,0,0,0,0,2506,
apollo.sgn.cornell.edu,5959,0,0,0,0,0,0,0,0,5959,
gds-reports-web.science-at-scale.io,683,0,0,0,0,0,0,0,0,683,
p00701.genebay.co.jp:8443,294,0,0,0,0,0,0,0,0,294,
data.koalagenome.org,181,0,0,0,0,0,0,0,0,181,
dash,4684,0,0,0,0,0,0,0,0,4684,
59.79.248.25,824,0,0,0,0,0,0,0,0,824,
csbl.bmb.uga.edu,21059,0,0,0,0,0,0,0,0,21059,
test.parasite.wormbase.org,219,0,0,0,0,0,0,0,0,219,
parasite.wormbase.org,1430,0,0,0,0,0,0,0,0,1430,
glass.phibred.com:8081,14867,0,0,0,0,0,0,0,0,14867,
albiorix.bioenv.gu.se:8080,2621,0,0,0,0,0,0,0,0,2621,
lis-stage.usda.iastate.edu,509,0,0,0,0,0,0,0,0,509,
legumeinfo.org,5306,0,0,0,0,0,0,0,0,5306,
localhost:5801,384,0,0,0,0,0,0,0,0,384,
localhost:5802,109,0,0,0,0,0,0,0,0,109,
localhost:5800,2972,0,0,0,0,0,0,0,0,2972,
mandolin.caltech.edu,460,0,0,0,0,0,0,0,0,460,
pichiagenome-ext.boku.ac.at,323,0,0,0,0,0,0,0,0,323,
141.244.40.114,1286,0,0,0,0,0,0,0,0,1286,
sinin.kps.ku.ac.th,204,0,0,0,0,0,0,0,0,204,
maizeinflorescence.org,272,0,0,0,0,0,0,0,0,272,
old-gep.wustl.edu,2387,0,0,0,0,0,0,0,0,2387,
bioinfo.bti.cornell.edu,1408,0,0,0,0,0,0,0,0,1408,
www.scnbase.org,108,0,0,0,0,0,0,0,0,108,
